230907-10:39:48
2
torque,speed
7830,7934
7847,7931
7829,7969
7871,7955
7840,7985
7843,7973
7836,7967
7842,7952
7845,7986
7849,7951
7841,7975
7844,7931
7852,7972
7841,7942
7846,7945
7849,7958
7855,7944
7874,7969
7855,7967
7863,7954
7866,7962
7848,7971
7843,7965
7848,7954
7871,7945
7840,7957
7817,7960
7850,7980
7852,7963
7852,7998
7838,7948
7855,7958
7847,7957
7867,7946
7849,7955
7847,7966
7860,7951
7857,7959
7864,7953
7850,7959
7863,7955
7859,7939
7855,7960
7855,7957
7863,7942
7852,7962
7857,7950
7842,7959
7865,7955
7856,7975
7843,7990
7852,7944
7833,7967
7855,7957
7840,7969
7843,7945
7883,7951
7839,7956
7863,7985
7869,7952
7832,7955
7860,7954
7825,7946
7843,7946
7842,7965
7847,7970
7843,7978
7830,7960
7829,7964
7855,7967
7854,7951
7853,7953
7840,7941
7871,7970
7839,7952
7847,7972
7843,7966
7862,7962
7835,7969
7849,7931
7850,7957
7839,7950
7855,7950
7838,7957
7832,7976
7871,7947
7844,7951
7858,7962
7865,7968
7843,7955
7839,7951
7843,7965
7862,7944
7853,7950
7867,7962
7858,7960
7883,7953
7830,7952
7861,7957
7845,7957
7831,7936
7844,7961
7849,7970
7824,7951
7868,7955
7852,7958
7847,7977
7846,7955
7833,7939
7844,7952
7860,7963
7834,7950
7856,7948
7864,7958
7867,7959
7833,7959
7857,7959
7841,7954
7851,7948
7856,7951
7835,7974
7852,7976
7848,7946
7856,7966
7855,7944
7858,7956
7858,7943
7838,7946
7851,7945
7849,7936
7857,7959
7843,7939
7850,7967
7839,7956
7850,7950
7841,7962
7825,7961
7862,7953
7837,7963
7838,7972
7848,7959
7864,7958
7856,7939
7865,7965
7858,7953
7853,7969
7837,7966
7876,7949
7846,7978
7867,7962
7867,7983
7864,7952
7820,7944
7854,7974
7866,7947
7843,7960
7842,7952
7861,7954
7845,7970
7837,7930
7829,7943
7858,7940
7855,7971
7853,7939
7852,7973
7877,7971
7844,7984
7857,7952
7846,7944
7857,7962
7850,7944
7831,7965
7845,7969
7867,7951
7835,7985
7860,7960
7838,7948
7866,7959
7845,7951
7837,7943
7847,7956
7852,7946
7870,7955
7855,7931
7845,7944
7860,7966
7847,7939
7846,7937
7853,7972
7842,7954
7831,7957
7845,7941
7847,7983
7857,7947
7864,7955
7853,7935
7841,7955
7845,7964
7834,7932
7842,7964
7854,7953
7817,7956
7854,7950
7835,7975
7845,7949
7837,7964
7862,7969
7834,7949
7857,7967
7841,7950
7868,7974
7844,7974
7842,7984
7859,7975
7856,7958
7840,7971
7848,7965
7819,7980
7861,7953
7821,7966
7877,7970
7876,7972
7871,7975
7839,7959
7848,7952
7848,7968
7863,7971
7855,7954
7833,7965
7860,7986
7850,7984
7859,7951
7836,7961
7853,7951
7836,7967
7860,7960
7848,7964
7853,7956
7848,7964
7851,7971
7846,7947
7857,7961
7852,7972
7858,7942
7839,7959
7866,7949
7856,7971
7843,7958
7837,7976
7861,7957
7826,7982
7846,7948
7854,7981
7854,7987
7830,7936
7847,7943
7847,7965
7846,7980
7859,7964
7844,7938
7851,7959
7837,7962
7860,7964
7845,7953
7851,7960
7850,7950
7877,7967
7843,7953
7864,7945
7853,7951
7868,7954
7874,7943
7840,7963
7854,7949
7852,7965
7836,7965
7845,7955
7830,7966
7855,7967
7850,7961
7828,7949
7841,7931
7879,7954
7857,7952
7855,7986
7838,7974
7866,7964
7857,7959
7843,7948
7844,7959
7850,7963
7833,7981
7865,7958
7851,7977
7834,7949
7877,7934
7823,7955
7843,7960
7860,7959
7847,7947
7875,7927
7835,7927
7837,7968
7870,7958
7837,7949
7836,7952
7853,7953
7842,7972
7833,7963
7845,7968
7858,7982
7860,7962
7840,7941
7863,7947
7840,7983
7870,7961
7828,7959
7868,7971
7861,7959
7871,7962
7842,7952
7831,7960
7856,7953
7839,7972
7827,7950
7836,7972
7820,7950
7856,7955
7828,7965
7836,7962
7854,7960
7856,7975
7838,7960
7830,7930
7848,7952
7861,7974
7852,7980
7860,7960
7854,7975
7868,7965
7848,7949
7842,7957
7834,7951
7842,7965
7867,7951
7854,7973
7874,7954
7855,7946
7849,7969
7841,7960
7854,7947
7847,7954
7849,7954
7821,7953
7851,7953
7852,7951
7866,7965
7849,7969
7849,7948
7853,7963
7859,7961
7844,7980
7843,7937
7859,7964
7882,7947
7834,7945
7857,7944
7852,7934
7858,7938
7842,7948
7857,7976
7850,7963
7846,7972
7855,7963
7862,7947
7864,7956
7848,7982
7859,7966
7857,7954
7865,7953
7850,7959
7832,7968
7825,7971
7881,7968
7865,7966
7855,7954
7854,7989
7855,7958
7843,7960
7852,7967
7846,7965
7863,7959
7822,7951
7849,7968
7821,7946
7862,7966
7852,7961
7857,7956
7836,7952
7859,7957
7867,7946
7858,7933
7859,7954
7844,7949
7860,7928
7851,7976
7841,7967
7845,7944
7861,7955
7834,7969
7860,7969
7834,7945
7861,7971
7836,7953
7893,7962
7846,7972
7866,7955
7833,7985
7857,7971
7847,7968
7835,7967
7863,7958
7846,7948
7837,7954
7856,7965
7848,7967
7865,7958
7861,7937
7852,7949
7851,7946
7861,7963
7859,7945
7858,7968
7842,7967
7832,7964
7842,7946
7834,7956
7861,7947
7845,7977
7853,7961
7847,7941
7875,7962
7825,7994
7860,7956
7839,7954
7850,7968
7868,7949
7844,7954
7852,7986
7842,7974
7843,7951
7855,7951
7831,7972
7838,7971
7880,7946
7840,7943
7855,7957
7866,7969
7837,7967
7846,7973
7869,7947
7831,7951
7844,7956
7847,7968
7840,7958
7849,7968
7864,7946
7831,7943
7860,7959
7843,7948
7858,7969
7854,7965
7850,7959
7847,7962
7851,7937
7857,7985
7843,7952
7823,7967
7848,7961
7838,7977
7820,7972
7837,7954
7847,7940
7851,7952
7850,7972
7862,7965
7850,7950
7876,7967
7814,7985
7834,7962
7846,7951
7868,7965
7864,7963
7844,7949
7818,7960
7857,7949
7869,7954
7824,7968
