230907-10:31:37
2
torque,speed
7965,7977
7946,7978
7953,7983
7968,7961
7956,7960
7960,7965
7969,8014
7942,7986
7969,7952
7946,7979
7966,7949
7966,7965
7964,7987
7937,7984
7973,7971
7961,7983
7989,8003
7962,7965
7977,7983
7980,7959
7957,7984
7928,7953
7967,7967
7988,7976
7967,7972
7963,7975
7977,7957
7983,7961
7953,7982
7960,7993
7954,7986
7987,7997
7958,7974
7973,7981
7963,7960
7981,7973
7966,7944
7924,7987
7937,7978
7966,7971
7987,7990
7982,7988
7973,7981
7990,7969
7983,7972
7959,7982
7957,7974
7986,7988
7967,7991
7976,7974
7973,7956
7959,7985
7988,7992
7959,7974
7944,7984
7948,7961
7984,7996
7981,7948
7952,7961
7959,7981
7982,7963
7948,7988
7951,7971
7967,7985
7987,7979
7967,7996
7962,7997
7968,7981
7980,7987
7982,7969
7956,8002
7956,7958
7971,7985
7980,7975
7961,7999
7952,7981
7927,7986
7973,7983
7980,7984
7978,7969
7964,7980
7958,7978
7974,7990
7977,7995
7972,7970
7974,7994
7962,7927
7941,7982
7971,7982
7995,7990
7950,7982
7962,7969
7965,7997
7981,7973
7961,7975
7981,7985
7977,7949
7970,7984
7958,7970
7981,7980
7946,7993
7982,7974
7948,7983
7929,8006
7954,7942
7986,7985
7948,7983
7952,7984
7967,7983
7991,7967
7962,7977
7960,7972
7971,7956
7976,7999
8007,7987
7963,7971
7980,7994
7965,7974
7976,7972
7959,8007
7948,7943
7959,7998
7975,7993
7972,7974
7975,7997
7969,7982
7984,7985
7950,8001
7987,8002
7949,7966
8000,7994
7933,7970
7976,7959
7965,7954
7967,7996
7963,7987
7953,7997
7960,7981
7972,7976
7967,7992
7956,7970
7948,7970
7992,7995
7968,7979
7965,7977
7963,7978
7967,7990
7967,7961
7965,7992
7944,7989
7977,7989
7978,7971
7973,7989
7948,7980
7955,7990
7956,7975
7937,7988
7978,7974
7994,7991
7977,7956
7970,7976
7969,7985
7988,7967
7949,7990
7948,7980
7969,7962
7971,7977
7952,7976
7968,8004
7988,7969
7973,8001
7967,7975
7980,7965
7963,7965
7979,7966
7967,7973
7982,7957
7949,7981
7988,7977
7965,7988
7973,7989
7964,7985
7975,7979
7972,7987
7960,7984
7967,7976
7957,7979
7963,7956
7967,7973
7989,7990
7973,7954
7975,7980
7961,7991
7967,7978
7959,7969
7964,7981
7977,8003
7957,7985
7962,7997
7984,7979
7972,7973
7975,7981
7948,7979
7940,7986
7951,7973
7955,7968
7957,7979
7978,8002
7959,7985
7959,7963
7958,7986
7988,7968
7975,7958
7975,7964
7981,7973
7969,7982
7948,8005
7967,7989
7959,7972
7962,7976
7968,7980
7980,7986
7948,7974
7965,7984
7969,7976
7959,7979
7945,7972
7963,8004
7971,7977
7960,7977
7961,7975
7964,7996
7977,7999
7964,7954
7975,7987
7962,7991
7961,7962
7947,7972
7995,7958
7964,7973
7969,7974
7962,7976
7965,7979
7958,7974
7984,8001
7956,7971
7995,7984
7956,7958
7976,7967
7962,8009
7989,7974
7957,7971
7951,7982
8000,7986
7965,7970
7936,7966
7966,7971
7963,7974
7975,7989
7952,7974
7984,7990
7974,7992
7964,7964
7950,7973
7976,7965
7958,7955
7955,7988
7976,7977
7952,7982
7957,7977
7965,7964
7987,7975
7977,7983
7973,7966
7954,7951
7979,7966
7960,7984
7985,7954
7972,7987
8006,7974
7933,7974
7983,8012
7961,7981
7970,7984
7955,7977
7980,7955
7965,7974
7976,7966
7983,7980
7975,7961
7988,7963
7971,7937
7970,7966
7952,7984
7990,7953
7993,7957
7945,7978
7946,7985
7964,7966
7962,7965
7966,7969
7983,7981
7989,7982
7965,7964
7970,7981
7958,7990
7985,7984
7970,7958
7964,8003
7972,7978
7953,7971
7968,7977
7942,7978
7981,7983
7975,7970
7974,7975
