230907-11:03:26
2
torque,speed
8040,7964
8054,7941
8027,7956
8066,7936
8051,7935
8022,7943
8054,7930
8050,7941
8048,7926
8054,7937
8027,7946
8014,7934
8036,7945
8029,7957
8049,7933
8043,7942
8024,7941
8042,7914
8035,7937
8049,7944
8053,7931
8041,7929
8056,7937
8050,7937
8006,7939
8032,7929
8038,7919
8028,7917
8054,7929
8019,7947
8042,7945
8053,7924
8033,7951
8043,7946
8050,7938
8011,7911
8048,7921
8046,7964
8015,7941
8042,7944
8026,7929
8007,7951
8048,7921
8048,7914
8053,7925
8037,7939
8043,7940
8043,7910
8025,7943
8026,7947
8031,7958
8039,7936
8082,7918
8030,7928
8022,7941
8058,7932
8037,7909
8044,7962
8030,7954
8029,7931
8016,7930
8054,7936
8025,7955
8042,7940
8047,7934
8042,7944
8036,7944
8042,7955
8044,7940
8052,7929
8018,7954
8044,7936
8029,7947
8035,7919
8039,7946
8056,7971
8011,7926
8054,7938
8040,7949
8044,7929
8045,7953
8028,7959
8047,7936
8043,7944
8042,7934
8035,7944
8038,7947
8025,7935
8061,7931
8041,7914
8046,7953
8049,7932
8055,7948
8020,7952
8059,7953
8030,7942
8036,7934
8026,7938
8028,7920
8040,7951
8048,7929
8025,7954
8058,7956
8054,7945
8033,7922
8035,7934
8023,7948
8042,7931
8039,7930
8021,7949
8062,7944
8033,7949
8035,7943
8053,7942
8012,7953
8045,7943
8050,7947
8053,7934
8052,7961
8024,7934
8020,7931
8048,7949
8015,7936
8039,7968
8044,7919
8035,7942
8044,7945
8058,7927
8028,7930
8067,7942
8040,7957
8014,7943
8041,7933
8044,7975
8045,7929
8054,7959
8035,7942
8079,7933
8056,7940
8034,7888
8034,7936
8046,7936
8048,7933
8042,7927
8039,7949
8032,7932
8044,7942
8019,7949
8023,7935
8042,7951
8049,7935
8043,7952
8029,7923
8018,7941
8056,7932
8024,7946
8018,7914
8043,7954
8048,7956
8024,7931
8036,7955
8032,7946
8037,7939
8022,7948
8011,7937
8033,7949
8031,7940
8041,7954
8038,7917
8066,7910
8049,7946
8038,7923
8027,7919
8064,7976
8045,7935
8052,7935
8051,7941
8013,7932
8061,7936
8015,7923
8013,7931
8058,7912
8044,7963
8048,7944
8029,7947
8043,7944
8043,7943
8055,7955
8017,7920
8051,7949
8048,7953
8048,7949
8025,7917
8051,7921
8016,7940
8056,7935
8029,7946
8030,7918
8062,7951
8031,7925
8008,7945
8049,7916
8024,7950
8025,7944
8045,7944
8025,7936
8071,7947
8044,7921
8035,7928
8041,7939
8043,7944
8028,7942
8043,7954
8033,7927
8036,7938
8055,7933
8021,7932
8047,7936
8057,7947
8031,7925
8046,7921
8029,7926
8045,7943
8046,7946
8036,7936
8005,7958
8045,7924
8034,7943
8050,7921
8022,7952
8022,7951
8059,7949
8051,7932
8015,7948
8038,7956
8035,7968
8023,7980
8037,7928
8029,7920
8030,7950
8059,7925
8024,7940
8050,7938
8041,7955
8024,7934
8051,7916
8029,7929
8035,7936
8041,7936
8038,7935
8020,7921
8058,7950
8028,7918
8023,7934
8028,7957
8059,7959
8084,7926
8049,7948
8025,7967
8029,7949
8039,7933
8060,7946
8037,7941
8050,7937
8050,7947
8011,7920
8047,7949
8039,7938
8017,7924
8086,7938
8039,7933
8009,7932
8047,7953
8019,7939
8020,7908
8041,7915
8049,7972
8070,7923
8058,7939
8037,7950
8057,7944
8039,7939
8025,7932
8046,7930
8047,7953
8017,7903
8046,7933
8020,7953
8049,7938
8032,7952
8011,7927
8034,7971
8050,7936
8042,7923
8020,7947
8031,7953
8040,7936
8049,7925
7998,7941
8033,7932
8057,7934
8015,7937
8064,7914
8038,7950
8056,7952
8050,7951
8029,7932
8016,7934
8051,7941
8045,7949
8049,7938
8019,7942
8029,7925
8051,7947
8038,7941
8040,7941
8052,7951
8043,7970
8035,7934
8034,7961
8029,7943
8053,7955
8018,7925
8030,7906
8032,7947
8036,7954
8034,7951
8032,7905
8032,7939
8048,7942
8023,7931
8012,7930
8046,7943
8034,7942
8015,7950
8050,7957
8020,7925
8037,7930
8048,7926
8033,7947
8051,7939
8040,7941
8019,7960
8046,7945
8047,7960
8038,7939
8054,7961
8037,7956
8030,7945
8043,7921
8030,7943
8050,7936
8049,7934
8038,7940
8031,7942
8023,7950
8065,7946
8051,7949
8011,7918
8031,7934
8034,7932
8028,7947
8046,7925
8039,7930
8051,7938
8042,7948
8047,7928
8020,7934
8036,7953
8021,7943
8040,7930
8019,7921
8046,7920
8055,7948
8055,7950
8026,7954
8044,7939
8031,7907
8058,7933
8031,7943
8037,7947
8054,7930
8055,7923
8023,7947
8037,7938
8035,7947
8031,7954
8031,7945
8023,7916
8068,7940
8018,7918
8020,7928
8039,7953
8035,7949
8037,7936
8029,7943
8031,7934
8047,7931
8035,7948
8037,7932
8013,7910
8039,7951
8040,7942
8043,7943
8034,7931
8024,7950
8069,7929
8042,7933
8041,7948
8046,7946
8027,7940
8034,7932
8036,7955
8032,7939
8073,7925
8031,7937
8027,7938
8050,7938
8032,7948
8076,7935
8044,7960
8042,7909
8053,7934
8048,7906
8022,7951
8009,7930
8055,7932
8039,7947
8046,7916
8041,7954
8061,7915
8048,7935
8049,7903
8050,7974
8045,7929
8019,7950
8026,7948
8041,7947
8047,7918
8054,7940
8032,7931
8045,7934
8036,7941
8062,7958
8046,7936
8048,7923
8031,7938
8041,7936
8048,7937
8052,7961
8032,7947
8046,7936
8053,7931
8040,7935
8024,7937
8033,7954
8053,7948
8044,7942
8043,7937
8040,7931
8051,7924
8050,7932
8016,7951
8049,7949
8046,7946
8047,7920
8036,7928
8034,7949
8031,7942
8059,7968
8041,7946
8021,7937
8051,7933
8046,7914
8032,7931
8048,7926
8037,7927
8046,7892
8057,7940
8017,7932
8054,7944
8035,7935
8027,7956
8039,7945
8043,7920
8009,7919
8032,7930
8020,7948
8069,7932
8028,7933
8032,7957
8039,7941
8046,7942
8044,7938
8062,7936
8031,7947
8035,7943
8043,7940
8037,7960
8050,7919
8044,7917
8054,7939
8021,7921
8034,7957
7990,7916
8043,7952
8033,7931
8049,7940
8040,7933
8043,7969
8026,7949
8029,7942
8032,7932
8042,7948
8031,7916
8047,7940
8029,7953
8047,7948
8040,7938
8039,7928
8027,7934
8037,7947
8034,7936
8031,7925
8058,7908
8049,7955
8020,7928
8045,7937
8017,7957
8030,7943
8043,7954
8039,7930
8046,7973
8057,7942
8027,7924
8035,7952
8018,7945
8030,7941
8045,7951
8024,7954
8044,7941
8049,7946
8037,7945
8043,7953
8039,7947
8031,7947
8052,7945
8040,7934
8031,7938
8057,7939
8030,7938
8038,7951
8064,7914
8039,7952
8042,7954
8021,7943
8036,7936
8049,7945
8052,7945
8013,7925
8052,7928
8019,7959
8056,7943
8041,7936
8038,7928
8049,7929
8054,7938
8025,7960
8040,7941
8036,7931
8053,7931
8052,7931
8022,7937
8027,7958
8059,7949
8050,7913
8007,7937
8046,7960
8025,7908
8026,7942
8027,7940
8020,7934
8041,7946
8055,7945
8009,7936
8058,7925
8030,7939
8052,7964
8038,7936
8043,7952
8052,7962
8056,7927
8031,7931
8028,7926
8023,7938
8047,7941
8034,7933
8024,7939
8031,7955
8054,7950
8056,7951
8038,7960
8037,7931
8051,7966
8048,7930
8022,7959
8056,7933
8067,7979
8041,7925
8046,7960
8024,7949
8034,7946
8047,7960
8024,7961
8057,7962
8051,7958
8055,7924
8031,7932
8044,7964
8046,7941
8029,7932
8039,7942
8033,7935
8055,7949
8054,7946
8027,7948
8048,7965
8040,7941
8048,7923
8030,7950
8029,7955
8067,7935
8050,7931
8023,7948
8044,7939
8055,7938
8046,7949
8040,7947
8028,7938
8039,7936
8040,7940
8038,7929
8046,7947
8062,7943
8017,7945
8036,7939
8045,7924
8046,7935
8039,7915
8036,7937
8022,7931
8052,7934
8029,7951
8035,7950
8061,7944
8046,7946
8048,7937
8028,7970
8050,7955
8046,7932
8045,7944
8026,7946
8028,7934
8030,7930
8062,7941
8059,7944
8048,7944
8041,7931
8046,7949
8044,7937
8041,7928
8042,7938
8071,7950
8050,7938
8022,7916
8036,7952
8049,7924
8034,7930
8070,7957
8031,7944
8042,7947
8056,7937
8011,7952
8044,7950
8026,7941
8048,7955
8038,7949
8040,7937
8024,7947
8051,7933
8024,7941
8031,7922
8044,7957
8036,7927
8068,7965
8056,7952
8026,7930
8045,7943
8037,7921
8022,7935
8041,7949
8026,7937
8048,7957
8041,7929
8034,7930
8052,7923
8037,7939
8016,7956
8039,7944
8055,7942
8043,7940
8037,7925
8036,7949
8048,7940
8032,7933
8017,7935
8034,7950
8051,7911
8029,7935
8050,7958
8010,7923
8066,7940
8034,7919
8012,7952
8053,7960
8038,7933
8023,7953
8041,7933
8027,7952
8027,7941
8045,7947
8040,7944
8028,7959
8047,7945
8035,7940
8025,7945
8055,7939
8040,7942
8053,7934
8047,7923
8034,7924
8055,7951
8053,7949
8030,7951
8045,7927
8032,7933
8057,7945
8037,7941
8025,7935
8028,7946
8064,7932
8040,7948
8043,7925
8016,7944
8055,7934
8039,7930
8018,7953
8059,7917
8059,7949
8010,7948
8037,7926
8047,7931
8014,7943
8042,7945
8030,7918
8032,7918
8040,7925
8040,7937
8041,7940
8064,7958
8036,7947
8036,7930
8048,7934
8032,7951
8081,7915
8044,7923
8024,7937
8043,7946
8041,7926
8042,7945
8040,7928
8025,7909
8058,7917
8043,7950
8044,7943
8034,7947
8038,7927
8034,7952
8039,7938
8034,7933
8023,7939
8048,7957
8029,7930
8038,7917
8044,7964
8023,7961
8036,7941
8028,7932
8016,7936
8050,7937
8037,7940
8037,7934
8033,7933
8008,7946
8055,7930
8039,7946
8037,7925
8039,7929
8039,7921
8021,7920
8041,7929
8043,7941
8048,7950
8037,7949
8031,7948
8069,7935
8054,7913
8046,7916
8046,7933
8060,7939
8049,7957
8043,7934
8036,7933
8054,7947
8034,7902
8046,7954
8039,7972
8051,7927
8043,7957
8046,7939
8040,7964
8047,7938
8043,7962
8049,7922
8041,7932
8063,7945
8022,7942
8050,7949
8031,7935
8043,7941
8042,7931
8035,7948
8065,7943
8052,7936
8007,7909
8040,7913
8049,7946
8035,7934
8053,7929
8042,7955
8032,7952
8048,7963
8039,7941
8056,7913
8037,7948
8038,7946
8027,7917
8043,7927
8053,7936
8045,7950
8042,7964
8014,7936
8039,7957
8035,7940
8038,7953
8038,7951
8042,7973
8013,7927
8055,7941
8029,7967
8048,7927
8034,7950
8022,7946
8041,7945
8009,7947
8023,7945
8041,7939
8045,7938
8064,7916
8036,7931
8028,7929
8044,7945
8052,7923
8019,7932
8038,7924
8042,7939
8036,7936
8032,7938
8025,7922
8065,7923
8045,7948
8048,7935
8026,7938
8041,7943
8013,7944
8047,7931
8032,7923
8056,7941
8059,7933
8015,7949
8070,7960
8058,7930
8033,7948
8067,7947
8026,7949
8042,7936
8024,7933
8030,7944
8024,7923
8029,7920
8033,7916
8032,7949
8060,7961
8028,7956
8051,7951
8029,7900
8017,7954
8030,7943
8047,7951
8018,7932
8047,7940
8032,7945
8054,7942
8050,7948
8021,7935
8047,7938
8051,7963
8041,7955
8047,7945
8028,7923
8028,7942
8052,7947
8034,7930
8027,7931
8038,7955
8061,7936
8044,7945
8046,7964
8037,7915
8051,7949
8014,7949
8000,7955
8029,7934
8048,7949
8027,7943
8038,7932
8030,7936
8031,7954
8042,7941
8015,7933
8021,7922
8044,7942
8048,7943
8050,7924
8028,7944
8042,7941
8051,7951
8030,7949
8037,7935
8043,7941
8034,7939
8024,7934
8034,7947
8040,7944
8050,7936
8045,7928
8024,7951
8033,7938
8037,7929
8030,7946
8043,7938
8036,7939
8036,7935
8046,7933
8021,7913
8034,7948
8053,7931
8037,7943
8036,7935
8043,7933
8028,7944
8048,7927
8031,7930
8022,7946
8048,7915
8010,7937
8026,7945
8030,7964
8035,7946
8044,7944
8019,7935
7999,7943
8049,7963
8051,7930
8031,7936
8033,7924
8020,7945
8031,7939
8041,7949
8041,7968
8042,7940
8034,7946
8023,7949
8012,7952
8022,7942
8051,7930
8021,7933
8016,7944
8044,7941
8050,7921
8028,7944
8042,7956
8039,7939
8043,7939
8028,7935
8011,7962
8043,7976
8031,7955
8016,7950
8042,7959
8016,7962
8049,7947
8036,7944
8043,7934
8059,7946
8043,7937
8039,7921
8041,7933
8046,7916
8017,7942
8056,7917
8038,7915
8046,7930
8036,7947
8028,7920
8061,7940
8038,7934
8020,7941
8049,7925
8035,7931
8025,7943
8046,7925
8047,7965
8055,7950
8047,7920
8041,7928
8038,7948
8026,7944
8034,7931
8033,7911
8055,7940
8016,7936
8054,7936
8030,7956
8028,7938
8024,7934
8014,7955
8047,7952
8054,7940
8044,7929
8035,7926
8024,7928
8019,7950
8035,7945
8020,7959
8049,7937
8061,7920
8030,7944
8016,7940
8040,7952
8017,7928
8057,7928
8039,7944
8038,7940
8046,7930
8048,7962
8025,7923
8056,7965
8022,7936
8031,7937
8022,7962
8042,7949
8055,7948
8027,7942
8044,7942
8044,7955
8047,7939
8045,7917
8043,7949
8023,7927
8078,7938
8041,7930
8033,7942
8053,7931
8040,7943
8044,7946
8040,7915
8040,7936
8059,7939
8041,7948
8045,7942
8035,7954
8053,7945
8024,7952
8048,7954
8041,7928
8043,7941
8028,7924
8024,7940
8040,7925
8056,7918
8025,7946
8048,7927
8030,7929
8029,7942
8039,7929
8017,7937
8039,7953
8065,7934
8052,7947
8058,7931
8031,7946
8028,7943
8036,7938
8028,7939
8012,7945
8044,7958
8045,7925
8022,7947
8045,7944
8030,7955
8048,7914
8021,7966
8038,7948
8043,7910
8031,7930
8056,7950
8041,7971
8030,7927
8034,7938
8031,7935
8044,7955
8042,7951
8024,7927
8027,7945
8023,7925
8034,7939
8062,7944
8020,7944
8043,7931
8034,7949
8042,7930
8020,7939
8019,7953
8046,7952
8056,7958
8035,7938
8009,7940
8048,7927
8036,7951
8036,7942
8049,7954
8036,7943
8033,7928
8018,7936
8034,7941
8058,7936
8049,7963
8014,7940
8048,7928
8022,7911
8063,7927
8037,7936
8027,7933
8039,7936
8052,7935
8027,7938
8030,7922
8031,7952
8015,7925
8037,7921
8024,7939
8046,7921
8048,7948
8036,7927
8044,7938
8040,7947
8019,7943
8031,7940
8030,7925
8040,7924
8046,7927
8048,7918
8023,7950
8048,7932
8004,7958
8040,7927
8029,7960
8046,7963
8023,7934
8048,7939
8038,7923
8044,7957
8032,7931
8049,7934
8038,7940
8042,7945
8055,7946
8036,7933
8015,7947
8047,7937
8031,7963
8047,7928
8039,7956
8034,7954
8085,7925
8008,7920
8027,7935
8046,7956
8061,7942
8050,7951
8038,7938
8033,7939
8056,7938
8046,7974
8042,7938
8030,7927
8037,7937
8032,7936
8065,7949
8033,7943
8049,7954
8060,7910
8059,7899
8012,7943
8047,7932
8038,7924
8040,7957
8031,7933
8039,7965
8053,7936
8017,7933
8026,7926
8045,7937
8036,7936
8025,7913
8048,7930
8023,7957
8047,7919
8038,7945
8030,7950
8049,7936
8024,7925
8027,7955
8032,7921
8032,7932
8053,7941
8034,7941
8004,7929
8041,7950
8039,7963
8046,7937
8024,7939
8030,7946
8026,7948
8037,7951
8019,7949
8051,7950
8060,7941
8029,7949
8041,7928
8039,7942
8045,7929
8022,7963
8048,7918
8055,7948
8057,7940
8037,7945
8021,7920
8033,7935
8036,7928
8075,7931
8024,7930
8031,7962
8036,7921
8037,7946
8038,7927
8042,7952
8047,7967
8037,7950
8023,7917
8029,7938
8029,7931
8052,7945
8015,7958
8055,7928
8031,7921
8076,7942
8034,7902
8024,7942
8035,7932
8062,7925
8018,7928
8053,7916
8030,7953
8038,7932
8038,7946
8023,7923
8055,7940
8045,7928
8022,7961
8019,7944
8037,7948
8022,7950
8044,7934
8027,7948
8037,7960
8052,7928
8020,7946
8043,7935
8057,7934
8053,7929
8050,7951
8020,7944
8018,7944
8054,7956
8058,7939
8050,7930
8049,7942
8031,7965
8038,7944
8027,7953
8043,7936
8056,7950
8048,7932
8028,7956
8044,7928
8028,7960
8045,7974
8011,7953
8033,7929
8051,7975
8039,7954
8012,7957
8043,7914
8034,7939
8045,7947
8047,7944
8018,7955
8064,7944
8051,7964
8013,7919
8038,7950
8033,7945
8028,7972
8037,7945
8038,7925
8053,7912
8046,7930
8017,7926
8045,7925
8035,7934
8034,7931
8043,7933
8013,7927
8034,7948
8038,7924
8035,7930
8045,7921
8045,7941
8020,7968
8024,7931
8026,7944
8070,7946
8049,7946
8033,7936
8028,7907
8039,7924
8048,7922
8043,7944
8040,7940
8055,7940
8031,7944
8051,7894
8021,7928
8046,7943
8049,7952
8068,7920
8025,7948
8057,7933
8040,7934
8031,7932
8036,7930
8053,7929
8035,7927
8041,7921
8042,7960
8026,7927
8059,7953
8037,7959
8024,7942
8048,7957
8036,7939
8044,7925
8055,7967
8044,7944
8046,7945
8031,7945
8051,7930
8044,7931
8048,7923
7994,7933
8058,7932
8048,7934
8045,7927
8020,7925
8033,7943
8039,7949
8042,7949
8019,7922
8030,7950
8014,7946
8058,7947
8039,7939
8020,7940
8048,7942
8048,7915
8055,7957
8031,7961
8039,7949
8043,7943
8024,7952
8029,7938
8046,7928
8046,7937
8040,7954
8037,7947
8040,7952
8038,7955
8042,7953
8030,7934
8043,7944
8046,7925
8048,7932
8037,7935
8051,7938
8038,7934
8049,7945
8037,7947
8034,7937
8030,7948
8062,7950
8020,7919
8053,7957
8025,7946
8060,7962
8046,7957
8024,7940
8059,7932
8042,7936
8046,7934
8044,7924
8018,7926
8035,7942
8046,7943
8036,7937
8056,7935
8054,7961
8011,7951
8046,7940
8041,7953
8068,7956
8035,7932
8045,7950
8030,7921
8035,7954
8022,7954
8016,7939
8033,7918
8027,7949
8045,7928
8025,7916
8042,7944
8039,7943
8051,7944
8045,7924
8045,7959
8027,7929
8056,7942
8027,7948
8050,7936
8037,7925
8030,7947
8005,7939
8033,7944
8040,7954
8051,7951
8027,7955
8034,7935
8058,7949
8029,7943
8007,7950
8048,7940
8037,7920
8047,7934
8037,7949
8034,7963
8052,7941
8041,7944
7997,7922
8038,7948
8037,7936
8018,7934
8041,7942
8036,7907
8051,7943
8050,7937
8040,7929
8038,7935
8045,7925
8017,7954
8053,7943
8029,7943
8055,7932
8053,7943
8030,7929
8016,7928
8043,7935
8026,7956
8039,7948
8020,7939
8027,7953
8028,7940
8022,7923
8005,7955
8044,7946
8028,7943
8019,7930
8029,7939
8040,7954
8046,7945
8036,7948
8029,7937
8046,7931
8045,7942
8053,7953
8039,7937
8027,7944
8031,7944
8032,7939
8034,7939
8036,7938
8055,7946
8043,7936
8050,7946
8022,7928
8042,7936
8031,7933
8019,7928
8027,7947
8039,7910
8037,7932
8058,7949
8026,7919
8049,7959
8060,7932
8031,7939
8038,7933
8054,7937
8029,7950
8046,7948
8042,7934
8059,7939
8053,7954
8027,7905
8063,7915
8057,7936
8026,7933
8050,7951
8041,7941
8034,7950
8040,7942
8033,7927
8056,7967
8037,7934
8022,7954
8052,7949
8017,7945
8041,7921
8025,7921
8034,7935
8024,7968
8057,7950
8047,7933
8047,7923
8044,7912
8018,7946
8046,7934
8033,7936
8048,7940
8051,7921
8055,7958
7999,7922
8043,7946
8028,7948
8050,7962
8036,7924
8029,7930
8057,7938
8049,7918
8025,7929
8045,7951
8058,7948
8034,7931
8045,7976
8006,7945
8047,7940
8041,7922
8024,7934
8045,7935
8048,7942
8037,7935
8043,7957
8013,7930
8047,7928
8028,7952
8016,7938
8046,7946
8046,7958
8027,7968
8047,7927
8044,7937
8022,7938
8061,7920
8029,7902
8031,7962
8047,7938
8011,7943
8040,7950
8038,7956
8071,7941
8024,7921
8049,7911
8006,7936
8036,7947
8027,7939
8054,7954
8019,7955
8041,7951
8039,7958
8028,7957
8024,7927
8046,7957
8046,7952
8037,7929
8026,7955
8030,7945
8045,7940
8026,7949
8021,7962
8044,7917
8040,7921
8051,7948
8041,7932
8015,7928
8048,7937
8030,7934
8060,7935
8039,7941
8034,7947
8033,7950
8038,7964
8034,7915
8051,7937
8026,7927
8008,7941
8031,7928
8041,7943
8000,7973
8029,7923
8031,7943
8051,7944
8039,7931
8026,7938
8013,7938
8054,7942
8038,7946
8049,7938
8033,7933
8024,7933
8038,7925
8032,7910
7987,7947
8050,7931
8029,7924
8023,7924
8044,7925
8051,7953
8042,7956
8015,7927
8017,7964
8054,7941
8034,7929
8057,7936
8044,7949
8030,7947
8067,7931
8019,7946
8041,7953
8035,7937
8063,7945
8000,7945
8041,7946
8029,7949
8057,7931
8023,7935
8027,7954
8051,7951
8059,7924
8020,7928
8051,7915
8033,7938
8051,7948
8032,7945
8040,7937
8048,7926
8039,7947
8027,7943
8044,7952
8033,7941
8017,7906
8035,7931
8040,7943
8052,7936
8050,7963
8019,7973
8049,7922
8039,7927
8047,7948
8042,7938
8023,7951
8022,7938
8031,7945
8020,7944
8027,7949
8035,7937
8056,7942
8063,7945
8021,7932
8045,7938
8038,7959
8042,7949
8010,7942
8043,7946
8030,7951
8072,7923
8029,7928
8040,7957
8052,7921
8047,7942
8042,7943
8046,7917
8035,7941
8065,7964
8029,7959
8015,7948
8056,7939
8030,7935
8055,7958
8029,7928
8042,7926
8046,7949
8044,7946
8008,7944
8037,7947
8047,7939
8037,7952
8036,7956
8040,7955
8008,7951
8045,7936
8026,7940
8055,7943
8037,7926
8020,7951
8032,7933
8052,7958
8037,7967
8049,7943
8045,7951
8044,7943
8054,7938
8036,7951
8047,7959
8043,7939
8032,7908
8027,7962
8046,7926
8020,7945
8048,7932
8032,7970
8008,7939
8050,7958
8040,7948
8017,7979
8047,7945
8043,7943
8061,7935
8015,7970
8021,7945
8044,7941
8027,7944
8033,7927
8029,7950
8043,7937
8060,7917
8029,7939
8031,7953
8037,7927
8051,7944
8060,7937
8053,7951
8034,7945
8049,7942
8041,7945
8021,7927
8029,7920
8044,7913
8029,7928
8053,7943
8049,7928
8023,7949
8042,7956
8029,7952
8032,7956
8031,7939
8029,7918
8053,7940
8019,7953
8020,7940
8048,7947
8036,7938
8026,7952
8042,7950
8052,7941
7995,7926
8034,7948
8026,7911
8047,7936
8032,7932
8022,7911
8039,7948
8045,7927
8053,7944
8033,7939
8027,7950
8040,7947
8018,7934
8023,7946
8059,7970
8045,7948
8025,7960
8052,7920
8030,7927
8043,7938
8022,7954
8025,7923
8024,7932
8045,7916
8042,7951
8028,7951
8034,7917
8046,7947
8030,7919
8019,7955
8012,7939
8046,7962
8044,7923
8001,7935
7899,7933
7739,7953
7676,7924
7669,7924
7580,7932
7522,7911
7519,7903
7462,7880
7392,7897
7387,7877
7388,7863
7370,7868
7363,7864
7388,7828
