230915-12:09:44
2
torque,speed
7818,7952
7817,7930
7819,7933
7814,7945
7837,7941
7825,7904
7815,7940
7809,7928
7815,7929
7828,7944
7835,7923
7830,7927
7813,7943
7801,7941
7841,7945
7835,7949
7821,7921
7823,7945
7818,7940
7801,7911
7828,7926
7820,7931
7816,7956
7817,7954
7819,7940
7827,7942
7831,7948
7821,7949
7794,7935
7811,7940
7818,7933
7812,7935
7814,7949
7818,7928
7816,7946
7828,7941
7818,7918
7815,7936
7834,7960
7813,7927
7820,7947
7799,7948
7827,7926
7798,7937
7846,7920
7823,7926
7799,7926
7816,7930
7824,7902
7815,7922
7802,7944
7832,7946
7804,7935
7814,7937
7806,7918
7834,7930
7824,7943
7831,7954
7805,7929
7812,7953
7798,7926
7810,7938
7843,7910
7826,7941
7827,7950
7829,7936
7832,7940
7830,7928
7810,7929
7834,7921
7822,7933
7834,7915
7834,7941
7804,7956
7802,7953
7817,7914
7822,7944
7829,7918
7825,7918
7823,7938
7841,7945
7829,7931
7805,7939
7822,7917
7805,7930
7811,7936
7828,7934
7812,7919
7802,7919
7820,7933
7844,7937
7814,7925
7837,7923
7818,7941
7814,7932
7822,7912
7819,7937
7811,7907
7824,7935
7817,7937
7829,7919
7799,7939
7799,7927
7827,7921
7805,7943
7814,7952
7822,7946
7797,7944
7821,7915
7828,7936
7810,7913
7850,7951
7807,7919
7832,7938
7828,7948
7803,7928
7826,7922
7828,7919
7832,7940
7817,7920
7834,7952
7818,7942
7841,7931
7841,7915
7829,7930
7804,7948
7810,7927
7824,7923
7805,7930
7820,7964
7819,7935
7835,7945
7843,7924
7831,7931
7815,7922
7815,7930
7827,7939
7799,7937
7835,7944
7815,7946
7797,7909
7830,7932
7825,7957
7828,7924
7830,7915
7814,7932
7791,7942
7829,7921
7801,7961
7829,7934
7822,7923
7829,7921
7788,7934
7825,7935
7835,7946
7818,7935
7829,7925
7831,7955
7827,7927
7816,7942
7831,7938
7814,7936
7812,7903
7814,7926
7809,7928
7816,7891
7824,7927
7821,7938
7818,7914
7823,7926
7796,7941
7823,7925
7808,7918
7838,7961
7799,7942
7807,7923
7825,7924
7826,7952
7813,7970
7817,7923
7820,7943
7824,7961
7776,7931
7809,7935
7812,7940
7835,7935
7805,7944
7835,7923
7821,7948
7835,7932
7802,7952
7830,7946
7816,7936
7815,7942
7788,7917
7824,7946
7820,7933
7796,7946
7832,7937
7835,7943
7804,7945
7820,7954
7811,7949
7809,7910
7826,7933
7843,7949
7819,7939
7845,7963
7818,7941
7850,7933
7827,7942
7840,7936
7822,7920
7822,7920
7823,7934
7815,7925
7843,7927
7816,7944
7824,7931
7836,7927
7829,7953
7808,7930
7836,7947
7830,7918
7827,7935
7831,7933
7836,7945
7817,7922
7831,7948
7812,7949
7822,7950
7821,7942
7798,7917
7815,7922
7815,7946
7824,7934
7825,7926
7832,7938
7824,7925
7827,7926
7816,7929
7837,7953
7823,7927
7818,7927
7818,7955
7818,7911
7816,7928
7816,7938
7836,7945
7837,7937
7836,7938
7812,7937
7809,7930
7826,7947
7821,7941
7827,7939
7826,7935
7806,7950
7821,7925
7821,7930
7810,7921
7812,7935
7829,7907
7810,7934
7834,7950
7822,7938
7807,7918
7802,7950
7833,7942
7820,7952
7818,7938
7819,7929
7816,7948
7825,7929
7823,7927
7825,7930
7809,7909
7816,7911
7799,7948
7817,7945
7821,7947
7823,7932
7850,7925
7822,7954
7827,7940
7819,7913
7824,7934
7794,7927
7844,7950
7809,7921
7800,7923
7824,7926
7824,7934
7817,7948
7814,7944
7835,7925
7814,7931
7825,7943
7815,7922
7828,7937
7821,7954
7833,7932
7806,7936
7842,7962
7822,7920
7816,7927
7832,7931
7828,7943
7808,7933
7815,7937
7838,7941
7821,7924
7823,7913
7809,7928
7828,7941
7830,7949
7819,7937
7835,7927
7832,7960
7827,7925
7829,7932
7820,7940
7814,7948
7801,7928
7831,7947
7824,7966
7821,7927
7842,7943
7822,7920
7821,7935
7827,7908
7822,7930
7818,7934
7808,7922
7840,7939
7822,7945
7825,7944
7808,7939
7825,7927
7827,7931
7798,7903
7811,7943
7829,7943
7814,7932
7810,7927
7825,7933
7823,7946
7818,7933
7831,7933
7820,7964
7801,7927
7813,7946
7824,7939
7833,7935
7836,7946
7824,7911
7828,7928
7847,7926
7821,7944
7799,7932
7788,7939
7807,7920
7813,7922
7828,7927
7822,7930
7830,7914
7826,7952
7831,7930
7799,7930
7823,7911
7815,7937
7817,7940
7821,7924
7818,7940
7800,7935
7815,7925
7819,7917
7821,7945
7829,7939
7793,7927
7817,7942
7820,7929
7798,7946
7811,7911
7803,7919
7826,7945
7820,7936
7822,7919
7817,7923
7823,7940
7827,7930
7796,7929
7795,7914
7825,7922
7820,7945
7809,7971
7814,7938
7808,7962
7839,7936
7838,7945
7820,7932
7805,7934
7818,7928
7785,7938
7824,7926
7833,7930
7807,7930
7847,7930
7830,7938
7830,7947
7808,7928
7819,7943
7819,7936
7827,7935
7824,7928
7797,7930
7819,7960
7816,7917
7826,7917
7819,7928
7818,7906
7822,7946
7806,7949
7819,7916
7815,7939
7810,7929
7814,7932
7813,7945
7831,7931
7823,7938
7828,7929
7829,7940
7817,7927
7816,7933
7823,7924
7817,7927
7839,7933
7837,7929
7829,7933
7827,7921
7840,7923
7828,7926
7806,7955
7814,7942
7818,7930
7816,7903
7814,7915
7806,7946
7823,7939
7826,7926
7830,7918
7794,7939
7826,7932
7809,7947
7825,7949
7810,7950
7794,7937
7813,7920
7844,7931
7827,7930
7813,7954
7829,7936
7794,7926
7821,7912
7846,7927
7796,7925
7860,7924
7799,7938
7825,7934
7801,7930
7846,7928
7805,7930
7838,7955
7825,7929
7805,7934
7810,7936
7804,7932
7826,7945
7833,7950
7829,7930
7801,7928
7820,7916
7829,7948
7826,7942
7819,7930
7818,7927
7822,7946
7840,7936
7826,7934
7801,7921
7809,7927
7831,7942
7824,7924
7812,7942
7831,7944
7792,7915
7827,7934
7823,7930
7828,7910
7816,7924
7827,7936
7817,7936
7824,7927
7831,7928
7818,7932
7818,7949
7816,7937
7813,7930
7826,7948
7840,7944
7827,7931
7823,7928
7819,7918
7816,7942
7829,7939
7829,7941
7816,7931
7828,7922
7832,7945
7818,7925
7839,7939
7848,7941
7809,7936
7829,7936
7825,7937
7825,7922
7812,7912
7824,7936
7824,7924
7824,7927
7810,7924
7817,7936
7828,7961
7851,7952
7814,7939
7821,7943
7834,7963
7783,7936
7813,7936
7829,7939
7806,7928
7796,7931
7814,7945
7807,7942
7828,7926
7844,7930
7815,7941
7836,7928
7820,7936
7825,7925
7805,7918
7829,7938
7809,7946
7816,7934
7821,7929
7791,7945
7826,7930
7821,7943
7826,7944
7814,7935
7833,7935
7834,7935
7836,7907
7826,7934
7802,7936
7835,7917
7836,7941
7822,7948
7814,7916
7813,7935
