230919-12:38:52
2
torque,speed
8016,7920
7976,7986
8016,7934
8002,7934
8027,7936
8025,7962
8000,7913
7982,7909
8024,7942
8028,7934
8003,7941
8004,7925
8005,7930
8019,7931
8013,7921
8017,7940
7998,7930
8025,7950
8033,7928
8010,7922
8014,7921
8026,7936
8043,7936
8042,7931
8011,7938
8013,7920
8025,7936
7998,7914
8021,7921
8004,7922
7991,7936
8028,7922
8023,7954
8007,7925
8028,7943
8007,7928
7997,7926
8032,7936
8002,7934
8017,7946
8014,7909
8015,7936
7985,7954
8028,7928
7993,7920
8014,7929
8002,7911
7988,7933
7990,7945
8017,7922
8023,7947
8012,7920
8005,7931
8011,7935
8033,7923
8008,7939
7986,7943
7986,7930
8022,7923
8020,7945
8032,7921
8022,7937
8020,7931
8017,7949
8037,7950
8010,7935
8007,7937
8014,7918
8018,7925
8054,7935
8009,7935
8030,7945
8019,7921
8031,7916
8001,7933
8007,7945
8020,7930
8021,7949
8029,7931
8016,7926
8023,7941
8018,7942
8023,7918
8006,7918
8034,7928
7993,7913
8026,7925
8039,7925
8000,7964
8029,7940
8016,7906
8000,7912
7991,7936
8007,7908
8001,7904
8024,7900
8001,7952
8000,7907
8011,7917
8012,7933
8017,7929
8016,7937
8025,7921
8010,7936
8031,7928
7994,7953
7950,7918
8005,7933
8028,7935
8024,7913
8010,7924
8007,7914
8025,7929
8004,7920
8001,7935
7979,7933
8034,7923
8020,7925
8012,7935
8000,7940
7997,7938
7997,7927
8027,7921
7985,7885
8018,7915
8008,7932
7995,7909
8002,7911
8004,7927
8009,7927
8032,7923
8039,7944
8003,7941
8016,7929
8013,7930
7997,7942
8016,7918
8018,7931
8007,7925
8032,7952
8023,7928
8028,7926
8018,7926
8012,7922
8031,7928
8022,7937
7988,7940
8009,7928
8025,7945
8033,7934
8010,7917
8014,7914
8014,7940
8014,7919
8015,7929
8003,7920
8025,7937
8025,7924
8001,7933
7985,7932
8023,7946
7992,7927
8021,7908
7991,7930
8004,7930
8007,7928
8016,7950
8045,7925
8037,7963
8028,7937
8002,7901
8020,7941
8016,7916
8017,7930
8003,7945
8023,7939
8001,7940
8017,7926
8000,7941
8006,7940
8015,7919
8021,7937
7989,7933
7998,7931
8018,7926
8019,7926
8020,7932
8025,7946
8038,7928
8026,7936
8021,7942
7995,7920
8022,7919
8011,7931
8000,7934
8010,7918
7977,7933
8024,7939
8030,7949
8015,7922
8008,7945
8027,7911
8022,7939
8026,7940
8001,7930
8004,7927
8000,7930
8002,7928
8001,7922
8013,7951
8027,7932
8012,7924
8028,7948
8014,7927
8014,7910
8026,7918
8020,7927
7980,7940
7986,7921
8016,7924
8000,7941
8017,7935
7986,7940
8019,7946
8030,7916
8036,7937
8006,7930
8021,7941
8019,7939
8017,7939
8021,7935
8007,7933
8023,7913
8022,7943
8024,7918
7993,7896
8013,7930
8005,7929
8013,7933
8019,7927
8015,7916
8017,7939
8017,7940
8011,7939
8029,7957
8013,7947
7997,7928
8032,7941
8009,7928
8006,7957
8009,7905
8019,7951
8019,7940
8022,7953
7992,7918
8014,7919
8014,7928
7994,7927
8023,7943
8006,7928
8003,7913
8015,7917
8015,7912
8018,7935
7996,7915
8034,7915
8036,7919
8033,7916
8020,7909
8027,7935
8030,7917
8017,7949
8005,7944
8007,7917
8025,7935
8020,7942
7988,7943
8024,7928
8012,7939
8034,7925
8008,7928
8017,7950
8013,7936
8038,7912
7991,7916
8003,7934
8003,7936
8010,7938
8046,7919
8005,7925
7981,7927
8004,7915
8019,7938
8006,7921
8014,7919
8007,7942
7995,7927
8016,7933
8007,7926
8005,7943
8009,7931
8026,7930
8001,7915
8005,7936
7987,7929
8021,7953
7998,7931
8027,7927
7991,7942
8010,7924
7990,7935
8010,7949
8015,7910
7996,7937
7996,7946
8024,7935
8011,7931
7996,7935
8024,7940
7998,7909
8025,7917
7990,7941
7966,7933
8022,7928
8009,7923
7975,7921
8009,7937
8002,7919
8022,7945
8006,7933
8006,7920
8001,7905
8021,7939
8021,7920
7982,7936
8039,7955
8002,7924
8046,7923
8015,7926
8007,7945
8011,7941
8017,7927
7998,7929
8021,7946
8015,7936
8016,7926
8023,7927
8011,7939
8006,7951
8000,7927
8025,7935
8029,7936
8042,7944
8002,7927
8002,7918
8059,7928
8020,7924
8021,7957
8018,7910
8009,7926
8008,7900
8035,7927
8004,7926
8001,7933
8007,7926
8006,7934
8010,7903
8005,7925
8028,7945
7977,7957
8006,7919
8004,7931
7993,7915
7995,7974
8023,7921
8022,7917
7991,7934
8036,7942
8018,7912
8022,7939
8000,7923
8009,7937
8008,7929
8022,7947
8005,7934
8045,7940
8013,7928
7997,7939
8007,7939
8008,7939
8017,7905
8014,7923
8023,7935
7995,7953
8042,7934
7989,7932
8043,7950
8005,7914
8012,7911
7997,7939
8008,7931
7993,7931
8019,7930
7996,7936
8018,7920
8015,7928
8009,7912
8004,7926
8006,7934
8019,7928
8002,7929
8016,7946
8019,7926
8018,7922
8024,7939
8010,7929
8033,7932
8011,7927
8020,7909
8016,7911
8006,7948
8015,7933
8015,7905
8023,7906
8019,7916
8029,7929
8015,7927
8001,7912
7997,7926
8006,7919
7997,7920
7999,7944
8017,7932
8040,7924
8008,7954
8030,7922
8015,7967
7996,7920
8015,7926
7998,7939
8020,7917
8030,7936
8020,7927
8008,7927
8012,7934
8011,7940
8020,7937
8003,7929
8034,7928
7989,7943
8014,7927
8019,7933
7988,7942
8017,7939
7989,7942
8018,7921
7996,7939
