230919-11:34:36
2
torque,speed
8077,7937
8068,7949
8086,7956
8066,7946
8087,7950
8069,7962
8076,7936
8085,7941
8083,7944
8071,7960
8083,7941
8088,7949
8069,7961
8083,7968
8069,7941
8056,7978
8073,7922
8099,7947
8078,7951
8079,7962
8079,7963
8078,7944
8086,7948
8047,7953
8066,7945
8059,7965
8073,7948
8069,7941
8103,7956
8070,7929
8054,7956
8064,7943
8079,7963
8082,7950
8060,7943
8065,7944
8027,7956
8067,7934
8064,7932
8092,7952
8067,7942
8061,7931
8075,7941
8080,7942
8073,7961
8052,7946
8085,7947
8073,7942
8080,7961
8056,7925
8097,7951
8058,7922
8054,7917
8087,7931
8081,7963
8074,7939
8055,7941
8078,7926
8065,7933
8081,7942
8062,7953
8090,7949
8074,7940
8088,7957
8069,7943
8071,7962
8082,7952
8072,7945
8090,7946
8064,7952
8074,7948
8061,7955
8067,7938
8080,7948
8065,7937
8060,7969
8082,7944
8071,7952
8042,7960
8044,7962
8062,7951
8061,7932
8084,7953
8087,7967
8090,7938
8045,7933
8090,7939
8085,7942
8083,7946
8070,7934
8048,7961
8057,7952
8093,7956
8076,7950
8096,7926
8057,7963
8060,7963
8049,7930
8071,7933
8062,7900
8045,7951
8087,7929
8078,7941
8070,7906
8076,7947
8074,7962
8085,7940
8063,7944
8083,7932
8032,7953
8080,7936
8073,7943
8076,7954
8080,7953
8061,7909
8085,7956
8071,7955
8053,7945
8072,7948
8073,7942
8078,7929
8087,7955
8063,7945
8084,7942
8074,7954
8078,7938
8065,7949
8088,7949
8072,7964
8066,7937
8068,7943
8080,7935
8068,7952
8072,7937
8075,7941
8075,7939
8049,7937
8077,7943
8058,7938
8058,7962
8075,7972
8070,7959
8045,7962
8075,7928
8069,7942
8070,7969
8085,7940
8077,7945
8089,7950
8086,7946
8080,7960
8066,7925
8090,7949
8064,7916
8058,7960
8066,7933
8060,7948
8074,7929
8100,7947
8066,7971
8049,7965
8103,7959
8071,7941
8094,7966
8075,7967
8060,7941
8090,7969
8089,7937
8070,7933
8061,7934
8080,7955
8076,7932
8088,7952
8067,7964
8074,7938
8058,7941
8081,7940
8067,7952
8083,7949
8075,7964
8068,7949
8090,7975
8066,7966
8074,7944
8076,7956
8086,7951
8064,7945
8074,7953
8058,7938
8060,7953
8106,7933
8075,7949
8072,7942
8080,7937
8075,7935
8073,7948
8106,7935
8082,7944
8063,7955
8088,7969
8082,7950
8064,7949
8093,7929
8080,7964
8071,7953
8081,7940
8069,7981
8063,7959
8080,7947
8088,7944
8072,7957
8052,7945
8067,7964
8060,7941
8088,7946
8066,7940
8045,7934
8062,7946
8085,7934
8085,7947
8048,7926
8074,7949
8073,7963
8081,7946
8075,7926
8062,7921
