230919-11:31:43
2
torque,speed
7971,7946
7989,7941
7966,7945
7969,7935
7965,7942
7994,7953
7955,7963
7982,7950
7980,7953
7953,7931
7972,7935
7976,7968
7982,7953
7946,7944
7976,7948
7996,7948
7985,7944
7971,7940
7965,7950
7945,7956
7968,7958
7994,7939
7954,7953
7993,7955
7979,7949
7979,7962
7981,7960
7974,7939
7968,7952
7970,7954
7997,7961
7989,7959
7980,7938
7971,7953
7998,7947
7982,7951
7981,7960
7971,7964
7993,7929
7991,7919
7960,7908
7985,7946
7978,7955
7996,7947
7969,7952
8001,7956
7951,7935
7989,7951
7961,7959
7986,7946
7992,7934
7951,7966
7982,7966
7993,7952
7991,7974
7984,7956
7972,7945
7965,7931
7966,7960
7968,7953
7966,7980
7974,7954
7989,7958
7986,7940
7976,7942
7999,7947
7970,7950
7988,7956
7975,7955
7974,7962
7967,7969
7981,7958
7982,7958
7995,7969
7979,7946
7961,7961
7993,7958
7982,7929
7988,7949
7966,7917
7989,7952
7971,7975
7989,7966
7955,7980
7987,7957
7981,7950
7982,7933
7972,7960
7973,7949
7980,7938
7972,7953
7974,7952
7976,7921
7973,7940
7970,7953
7990,7945
7973,7952
7970,7941
7985,7948
7964,7954
8004,7944
7957,7954
7988,7954
7959,7951
7984,7945
7975,7957
7976,7923
7974,7929
7950,7938
7991,7950
7971,7952
7947,7941
7983,7925
7975,7937
7949,7928
7969,7961
7981,7946
7965,7954
8006,7980
7967,7958
7964,7925
7978,7952
7978,7959
7980,7953
7974,7957
7975,7953
7996,7953
7999,7941
7990,7948
7957,7962
7964,7950
7982,7937
7999,7976
7995,7962
7961,7936
7977,7968
7981,7957
7998,7949
7959,7954
7971,7947
7981,7929
7964,7969
7968,7950
7964,7943
7982,7956
7975,7926
7986,7937
7976,7963
7985,7943
7975,7951
7986,7933
7997,7951
7972,7964
7940,7953
7978,7951
7984,7947
7958,7954
7964,7993
7965,7953
7965,7915
7989,7966
7979,7934
7966,7944
7985,7967
7984,7940
7985,7964
7993,7959
7959,7958
7982,7933
7992,7962
7978,7935
7971,7967
7968,7958
7972,7932
7996,7936
7956,7961
7971,7953
7979,7953
7984,7939
7987,7954
7959,7938
7989,7960
7986,7945
7973,7938
7967,7973
7986,7951
7957,7930
7983,7953
7974,7963
7987,7949
7979,7944
7971,7953
7964,7953
7974,7962
7966,7966
7965,7943
7992,7939
7999,7956
7980,7973
7993,7940
7967,7956
7979,7956
7972,7945
7978,7929
7966,7946
7981,7949
7969,7960
8005,7954
7979,7948
7980,7942
7985,7959
7999,7927
7968,7949
7969,7922
7981,7949
7963,7954
7983,7944
7967,7924
7982,7950
7985,7929
7992,7937
7948,7950
7981,7952
7972,7944
7980,7965
8000,7960
7963,7947
7979,7967
7997,7941
7978,7961
7976,7964
7966,7947
7984,7955
7991,7945
7967,7948
7971,7969
7986,7957
7980,7934
7990,7977
7980,7955
7995,7969
7956,7950
7980,7935
7968,7956
7955,7962
7972,7938
7982,7947
7965,7949
7987,7945
8000,7960
7970,7947
8002,7958
7983,7938
7983,7952
7974,7945
7990,7944
7991,7948
7995,7962
7976,7944
7972,7963
7992,7941
7970,7959
7984,7961
7957,7940
7990,7957
7969,7941
7959,7956
7980,7941
7978,7948
7989,7932
7988,7929
8021,7949
7970,7960
7991,7930
7979,7929
7972,7936
7956,7935
7955,7966
7976,7962
7984,7957
7979,7962
7949,7951
7970,7959
7968,7944
7969,7942
7970,7962
7973,7939
7978,7936
7985,7935
7989,7942
7989,7975
7991,7939
7991,7963
7991,7933
7978,7941
7991,7937
7974,7938
8000,7958
7969,7971
7997,7932
7982,7942
7968,7944
7999,7972
7952,7959
7960,7947
7962,7954
7990,7956
7951,7959
7996,7962
7980,7966
7955,7962
7974,7970
7984,7955
7980,7948
7969,7967
7961,7934
7965,7942
7993,7945
7971,7951
7948,7965
7965,7944
7975,7951
7992,7950
7976,7969
7962,7971
7944,7956
7988,7967
7974,7941
7956,7947
7920,7927
8003,7937
7974,7952
7977,7964
7985,7962
7994,7936
7983,7949
7988,7975
7987,7959
7972,7946
7987,7970
7993,7964
7983,7939
7969,7954
7988,7966
7998,7965
7977,7943
7963,7943
7974,7951
8004,7965
7971,7957
7981,7948
7955,7959
7985,7936
7980,7951
7974,7945
7972,7941
7971,7934
7984,7953
7951,7931
7985,7957
7963,7945
7951,7935
7977,7911
7983,7954
7986,7963
7983,7930
7960,7963
7986,7961
7980,7947
7968,7942
7960,7958
7977,7962
7985,7935
7973,7951
7964,7935
7989,7962
7969,7962
7964,7964
7984,7943
7965,7945
7975,7937
7989,7962
7939,7936
8006,7947
7962,7955
7980,7956
7992,7927
7975,7951
7970,7936
7984,7958
7975,7979
7976,7938
7973,7950
7962,7937
7991,7929
7977,7945
8000,7936
7952,7934
7994,7950
7973,7957
7971,7936
7983,7917
7974,7953
7962,7938
7980,7939
7998,7944
7974,7952
7987,7951
7975,7933
7971,7953
7991,7942
7964,7950
7964,7953
7969,7955
7986,7937
7967,7949
7956,7943
7985,7970
7993,7963
7956,7946
7988,7951
7959,7964
7982,7962
7977,7952
7962,7966
7974,7943
7963,7948
7995,7952
7972,7953
7979,7959
7974,7959
7987,7934
7967,7944
7980,7951
7969,7952
7978,7964
7977,7970
7980,7946
8026,7948
7959,7933
7987,7954
7966,7939
7990,7951
7966,7937
7982,7938
7981,7950
7969,7948
7936,7960
7963,7919
8002,7941
7974,7948
7979,7946
7962,7925
8004,7941
7977,7956
7988,7962
7978,7953
7984,7932
7979,7963
7989,7938
7982,7973
7978,7955
7960,7944
7966,7942
7980,7958
8000,7958
7999,7937
7976,7935
7984,7937
7982,7963
7973,7976
7975,7957
7975,7949
7986,7934
7970,7940
7978,7937
7964,7955
7964,7975
7977,7955
7979,7947
8011,7945
7981,7958
7967,7934
7990,7939
7980,7938
7965,7960
7982,7963
8002,7956
7989,7947
7973,7956
7973,7951
7986,7939
8000,7945
7981,7946
7978,7944
7975,7978
7974,7961
7995,7960
7956,7953
7991,7952
7972,7965
7956,7928
8001,7966
7961,7970
7981,7958
7970,7953
7998,7933
7964,7950
7978,7939
7975,7950
7997,7938
7995,7932
7997,7975
7933,7944
7991,7951
7996,7930
7984,7949
7972,7946
7976,7947
7959,7922
7960,7962
7966,7941
7957,7951
7986,7943
7961,7945
7973,7966
7967,7948
7983,7943
7964,7939
7989,7933
7974,7961
7963,7945
7987,7953
7971,7940
7975,7951
7976,7958
7975,7934
7975,7960
7993,7944
7985,7948
7954,7936
7976,7942
7959,7939
7989,7928
7984,7955
7960,7954
7974,7951
7988,7942
7968,7958
8000,7958
7974,7944
7972,7961
8005,7935
7991,7927
7968,7944
7977,7947
7995,7974
7958,7966
7993,7953
7956,7953
7964,7954
7994,7949
7990,7939
7972,7948
7965,7936
7984,7957
8008,7957
8006,7941
7968,7945
7992,7940
7983,7958
7990,7954
7953,7957
7977,7946
7985,7953
7996,7944
7987,7950
7979,7948
7963,7959
7982,7958
7985,7972
7991,7950
7976,7971
7973,7974
7980,7959
7984,7943
7962,7960
7953,7953
7970,7950
7996,7945
7953,7949
7973,7931
7975,7948
7987,7937
7979,7932
7985,7963
7964,7936
8006,7943
7974,7963
7991,7972
7980,7955
7961,7950
7981,7960
7982,7968
7969,7951
7970,7964
7976,7960
7990,7938
7981,7965
7991,7960
7955,7953
7989,7934
7987,7948
7969,7930
7958,7960
7992,7941
7965,7952
7996,7944
7978,7946
7981,7960
7998,7941
7989,7945
7949,7930
7970,7951
7984,7954
7965,7942
7973,7958
7972,7945
7982,7944
7968,7951
7981,7949
8003,7967
7955,7968
7967,7949
7952,7948
7989,7950
7952,7945
7959,7958
7969,7933
7984,7940
7982,7952
8007,7972
7979,7952
7978,7929
7990,7955
7963,7956
7987,7941
7979,7930
7992,7953
7987,7931
8006,7954
7974,7941
8000,7940
7992,7959
7973,7946
7974,7955
7980,7959
7986,7954
7975,7959
7989,7972
7968,7938
7995,7946
8002,7969
7997,7955
7961,7976
7975,7946
7981,7938
7974,7955
7987,7946
7966,7947
7979,7964
7967,7946
7984,7971
7956,7961
7977,7958
7971,7963
7986,7945
7991,7938
7978,7955
7974,7956
7969,7954
7995,7959
7977,7964
7989,7929
7945,7949
7987,7953
7980,7950
7952,7963
7965,7929
7987,7934
7991,7952
7993,7936
7971,7946
7996,7960
8011,7932
7977,7963
7992,7936
7951,7939
7996,7948
7958,7939
7933,7948
7973,7952
7968,7949
7986,7965
7976,7971
8002,7956
7968,7950
7994,7961
7981,7938
7973,7967
7961,7952
7962,7947
7988,7937
7983,7950
7990,7951
7964,7888
7981,7959
7968,7943
7993,7956
7975,7961
8009,7948
7995,7952
7992,7950
7977,7946
7997,7951
7990,7963
7964,7968
7999,7939
7970,7952
7965,7937
7978,7954
7984,7962
7984,7930
7982,7959
7965,7937
7969,7956
7985,7954
7976,7948
7981,7931
7985,7949
7989,7945
7990,7966
7955,7962
7969,7944
7973,7949
7993,7930
7982,7946
7971,7935
7979,7946
7984,7931
7974,7953
7989,7956
7965,7950
7957,7939
7985,7941
7991,7979
8008,7948
7971,7937
7990,7937
7965,7945
8007,7946
7977,7966
7963,7933
7957,7946
7994,7942
7992,7952
7992,7952
7972,7955
7972,7949
7990,7932
7999,7929
7978,7969
7973,7961
7985,7956
7990,7957
7992,7963
7963,7934
7956,7954
7978,7953
7975,7911
7996,7951
7971,7958
8000,7950
7972,7961
7983,7959
7951,7974
7980,7936
7975,7931
7990,7944
7929,7920
7992,7923
7977,7947
7954,7953
7968,7947
7979,7949
7992,7944
7997,7948
7980,7941
7923,7959
7987,7955
7970,7967
7983,7946
7987,7955
7983,7947
7964,7934
7968,7937
7987,7960
7962,7951
7991,7954
7970,7941
8008,7934
7985,7952
7975,7942
7979,7964
7985,7942
7978,7950
7980,7960
7998,7939
7965,7968
7951,7933
7976,7962
7974,7956
7968,7960
7986,7965
7984,7970
7963,7975
7987,7946
7965,7947
7965,7956
7978,7958
7974,7966
7971,7947
7984,7924
7981,7964
7939,7940
7966,7951
7976,7939
7934,7961
7972,7945
7990,7966
7994,7959
7988,7973
7966,7961
7984,7955
7987,7963
7938,7953
7977,7966
7975,7932
7994,7956
8000,7944
7972,7945
7979,7940
8013,7954
7987,7931
7978,7954
7970,7934
7985,7934
7981,7945
7986,7957
7990,7969
7969,7955
7969,7981
7986,7959
7967,7947
7955,7938
7978,7956
7979,7935
7999,7935
7988,7954
7960,7949
7963,7960
7975,7941
7988,7930
7973,7954
7984,7927
7958,7947
7952,7970
7981,7939
7980,7946
7960,7972
7973,7947
7997,7941
7970,7968
7999,7959
7971,7952
7993,7951
7988,7946
7976,7958
7982,7964
7955,7940
7967,7953
7960,7944
7971,7956
7970,7948
7973,7935
8019,7945
7969,7967
7952,7946
7972,7960
7989,7945
7944,7929
8002,7957
7976,7946
7970,7957
7999,7947
7987,7957
7976,7951
7960,7942
7974,7946
7995,7931
7993,7940
7970,7944
7980,7933
7978,7917
7998,7970
7946,7942
7994,7972
7983,7954
7972,7950
8004,7941
7955,7941
7983,7935
7970,7942
7993,7948
7989,7952
7985,7970
7959,7964
7990,7953
7984,7943
7983,7959
7974,7949
7973,7932
7981,7944
7974,7967
7994,7956
7980,7964
7985,7965
7981,7963
8000,7948
7979,7957
7982,7947
7972,7956
7961,7970
7988,7940
7967,7914
7975,7954
7974,7936
7971,7927
7979,7956
7964,7966
7959,7966
7956,7935
7975,7949
7981,7965
7964,7941
7977,7960
7985,7943
7938,7968
8003,7974
7982,7954
7970,7914
7979,7938
7968,7946
7975,7947
7988,7942
7975,7936
7968,7929
7986,7941
7975,7948
7981,7953
7988,7949
7975,7945
7989,7938
7970,7946
8000,7953
7941,7964
7975,7959
7957,7948
7982,7957
7985,7944
7970,7963
7987,7941
7989,7940
7960,7989
7999,7940
7998,7960
7977,7959
7937,7956
7988,7966
7983,7959
7964,7949
7991,7939
7951,7955
7973,7952
7984,7957
7959,7955
7987,7945
7985,7967
8008,7959
7981,7943
8016,7954
7987,7936
7994,7952
7974,7953
7972,7924
7940,7952
7981,7965
7985,7941
7972,7970
7987,7956
7972,7948
7986,7981
7980,7965
7987,7958
7969,7961
7985,7956
7977,7948
7968,7983
7968,7957
7963,7964
7997,7949
7989,7943
7961,7967
7959,7943
7983,7954
7959,7934
7983,7933
7971,7934
7977,7946
7964,7938
7989,7947
8010,7971
7970,7937
7968,7923
7977,7948
7982,7951
7974,7960
7960,7949
7951,7961
7980,7948
7977,7945
7964,7947
7983,7938
7974,7935
7983,7958
7970,7930
7969,7928
7967,7953
7987,7957
7956,7951
8005,7960
7961,7958
7964,7949
7989,7941
7990,7938
7974,7957
7971,7943
7990,7952
7972,7931
7977,7972
7972,7945
7981,7955
7985,7940
7992,7936
7990,7936
7984,7955
7987,7946
7977,7953
7981,7976
7969,7935
7956,7932
7964,7947
7980,7957
7964,7947
7975,7946
7956,7946
7974,7960
7975,7949
7983,7947
7959,7967
7930,7952
7983,7947
7982,7938
7970,7961
7961,7938
7980,7961
7988,7951
7990,7934
7980,7971
7993,7944
7984,7952
7984,7951
7991,7951
7997,7958
7977,7949
7993,7965
8010,7966
8002,7944
7969,7948
7983,7919
7988,7939
7992,7961
7950,7969
7965,7952
7990,7954
7971,7960
8007,7956
7969,7956
7978,7950
7963,7950
7997,7946
7985,7938
7941,7937
7970,7943
7987,7937
7978,7950
7982,7945
7995,7930
7975,7945
7991,7953
7976,7951
7960,7938
7976,7956
7981,7956
7965,7939
7977,7936
7969,7943
7979,7950
7999,7966
7981,7934
7965,7931
7962,7961
7991,7950
7972,7940
7979,7953
7979,7961
8002,7942
7987,7949
7967,7948
7939,7950
7976,7950
7994,7959
7945,7941
7989,7937
7974,7947
7987,7953
7964,7949
7968,7915
7985,7955
7985,7947
7968,7967
7974,7931
7985,7942
7972,7932
7978,7952
7996,7937
7975,7953
7962,7955
7968,7949
7978,7934
7980,7955
7970,7949
7958,7947
7965,7943
7988,7937
7969,7948
7968,7952
7981,7957
7977,7956
7960,7952
7978,7937
7989,7921
7977,7953
7993,7940
7949,7951
7982,7965
7965,7942
7996,7944
7987,7954
7973,7959
7962,7952
7960,7944
7997,7971
8036,7946
7976,7977
7961,7953
7992,7961
7994,7946
7946,7944
7999,7958
7966,7949
7983,7958
7975,7939
7996,7944
7974,7951
7976,7950
7985,7960
7988,7940
7991,7956
7989,7943
7968,7949
7975,7952
7974,7954
7966,7937
7976,7951
7990,7948
7986,7928
7988,7936
7963,7951
7975,7937
7952,7948
7993,7961
7945,7954
7963,7940
7982,7936
7986,7946
7995,7945
8006,7933
7959,7933
7974,7961
7981,7958
8015,7937
7938,7943
7975,7938
7984,7970
7974,7957
7981,7943
7970,7960
7990,7951
7995,7957
7977,7909
7950,7931
7967,7957
7984,7966
7933,7954
7959,7940
7962,7959
8022,7940
7976,7975
7992,7950
7956,7952
7992,7952
7981,7950
7975,7953
7978,7951
7959,7936
7962,7939
7982,7946
7974,7930
7952,7943
7985,7952
7955,7935
7973,7932
7986,7946
7953,7952
7969,7945
7985,7966
7995,7954
7927,7961
7990,7950
7974,7967
7989,7939
7982,7974
7981,7961
7960,7944
7973,7945
7971,7959
7992,7952
7998,7948
7969,7957
7983,7948
7983,7925
7999,7949
7960,7952
7982,7937
7975,7953
7959,7969
7992,7945
7968,7945
7991,7945
7967,7926
7993,7940
7968,7954
7980,7967
7968,7940
7982,7962
7974,7948
7976,7961
7988,7935
7975,7950
7990,7955
7945,7931
7973,7952
7984,7945
7973,7936
7987,7939
7976,7955
7946,7951
7992,7931
7982,7954
7969,7944
7965,7949
7962,7958
7999,7953
7977,7934
7985,7960
7976,7947
7993,7947
7985,7946
7964,7955
7981,7935
7993,7947
7995,7929
8003,7969
7973,7963
7976,7967
7988,7961
7994,7944
7982,7959
7975,7955
7971,7970
7953,7938
7981,7951
8007,7943
7961,7951
7980,7950
7970,7948
7986,7950
7975,7954
7975,7957
7984,7949
7990,7964
7948,7948
7994,7953
7963,7957
7982,7941
7992,7945
7957,7960
7997,7943
7977,7956
7973,7975
7987,7943
7973,7948
7967,7952
7961,7930
7984,7962
7958,7960
7940,7963
7972,7948
8007,7959
7947,7946
7978,7959
7972,7957
7972,7945
7992,7942
7976,7939
7998,7949
7994,7953
7982,7947
7980,7953
7974,7961
7985,7961
7991,7931
7983,7969
7999,7943
7962,7941
7979,7955
7957,7950
7982,7947
7979,7943
7969,7943
7972,7967
7998,7933
7982,7953
7976,7953
7995,7949
7989,7968
7982,7959
7968,7952
7953,7942
7956,7950
7985,7941
7982,7957
7958,7963
7992,7933
7972,7955
7962,7961
7969,7952
7983,7958
7986,7939
7965,7968
7960,7958
7991,7949
7988,7939
7970,7936
7984,7954
7990,7975
7977,7951
7959,7943
7991,7950
8006,7956
7977,7949
7976,7954
7967,7955
8008,7958
7970,7923
8011,7958
7967,7939
7978,7942
7973,7947
7977,7952
7982,7939
7964,7964
7991,7976
7978,7941
7994,7942
7967,7953
7973,7958
7979,7968
7984,7952
7973,7952
7985,7957
7976,7943
7993,7953
7980,7947
7981,7945
7991,7957
7983,7957
7991,7964
7987,7937
7989,7944
7965,7969
7991,7965
7983,7948
7975,7954
7993,7941
7974,7962
7988,7953
7987,7924
7989,7957
7973,7934
7992,7940
7978,7936
7966,7962
7972,7954
7968,7946
7996,7964
7986,7963
7994,7960
7954,7944
7987,7952
7976,7906
7993,7942
7980,7949
7977,7944
7982,7959
7972,7948
7989,7937
7962,7978
7983,7965
7965,7938
7994,7941
7967,7953
7983,7964
7975,7949
7988,7944
7974,7947
7972,7970
7988,7966
7970,7939
8007,7954
7988,7944
7982,7940
7977,7960
7993,7940
7972,7954
7975,7954
7977,7942
7968,7957
7990,7954
7961,7968
7972,7971
7967,7953
8000,7957
7973,7966
7980,7956
7966,7940
7991,7948
7981,7914
7982,7958
7988,7925
7971,7936
7988,7948
7951,7969
7982,7962
7962,7953
7959,7939
7969,7941
7991,7965
8000,7958
7987,7953
7977,7964
7958,7933
7977,7956
7953,7955
7962,7954
7977,7935
7984,7943
7975,7946
7976,7928
7956,7946
7990,7949
7973,7963
7963,7957
7997,7948
8001,7949
7979,7956
7967,7951
7981,7962
7996,7947
8002,7949
7978,7949
7987,7956
7949,7948
7994,7946
7970,7948
7965,7944
7980,7959
7990,7972
7990,7957
7986,7965
7968,7951
7965,7933
7985,7954
7965,7974
7989,7948
7994,7961
7965,7950
7972,7972
7994,7943
7992,7962
7966,7946
7984,7960
7938,7954
7989,7957
7967,7940
7998,7958
7976,7949
7985,7951
7973,7942
7965,7948
7977,7962
7979,7954
7988,7950
7966,7951
7974,7927
7971,7952
7995,7957
7979,7956
7973,7912
7997,7933
7971,7927
7987,7939
7978,7959
7970,7923
7966,7955
7978,7939
7944,7959
8014,7963
7984,7942
7998,7964
7981,7971
7979,7960
7943,7959
7982,7944
7997,7959
7989,7932
7980,7946
7990,7945
7969,7946
8008,7945
7997,7947
7989,7950
7984,7935
7974,7935
7986,7963
7983,7952
7943,7958
7948,7949
7993,7932
7992,7945
7972,7938
7978,7953
7973,7944
7997,7936
7982,7965
7971,7952
7949,7935
7970,7956
7978,7961
7966,7962
7990,7958
7975,7952
7985,7959
7985,7942
7950,7937
7942,7930
7964,7946
7988,7952
7992,7953
7992,7940
7953,7941
8000,7933
8003,7943
7998,7922
7979,7948
7989,7964
7985,7938
7966,7972
7982,7947
7954,7956
7990,7959
7995,7968
7977,7951
7965,7946
7975,7935
7972,7936
7978,7950
8002,7978
7972,7920
7972,7946
7985,7937
7990,7924
7977,7955
