230922-16:39:23
2
torque,speed
7965,7915
7976,7925
7968,7908
7953,7940
7944,7919
7980,7945
7985,7941
7972,7937
7961,7927
7983,7930
7963,7954
7966,7917
7962,7947
7989,7918
7993,7934
7994,7939
7999,7929
7966,7933
7965,7948
7962,7936
7981,7910
7965,7930
7962,7957
7982,7917
7973,7937
7989,7931
7966,7940
7951,7951
7964,7938
7970,7936
7965,7929
7956,7937
7966,7928
7970,7914
7961,7951
7973,7956
7962,7918
7966,7933
7985,7928
7971,7933
7991,7936
7964,7924
7982,7932
7965,7943
7966,7926
7959,7929
7948,7938
7969,7930
7963,7939
7981,7926
7967,7926
7982,7934
7959,7939
7965,7921
7953,7934
7990,7940
7968,7927
7972,7933
7946,7940
7958,7920
7957,7923
7979,7933
7972,7937
7949,7954
7971,7919
7988,7917
7976,7911
7924,7956
7980,7929
7966,7927
7966,7930
7962,7920
7983,7940
7979,7923
7976,7928
7974,7933
7958,7943
7967,7958
7963,7944
7980,7929
7960,7955
7964,7942
7965,7916
7979,7912
7979,7917
7970,7939
7961,7921
7969,7948
7986,7911
7968,7943
7935,7939
7963,7946
7987,7922
7972,7928
7967,7965
7963,7940
7964,7929
7977,7924
7972,7955
7955,7926
7977,7930
7976,7945
7969,7940
7974,7929
7965,7920
7942,7925
7968,7920
7949,7934
7976,7947
7980,7938
7965,7944
7970,7927
7977,7935
7954,7939
7949,7938
7993,7952
7965,7926
7932,7939
7984,7932
7959,7919
7960,7938
7955,7919
7957,7928
7949,7924
7971,7944
7982,7924
7925,7948
7973,7933
7959,7947
7965,7948
7982,7954
7960,7933
7965,7906
7971,7928
7969,7940
7976,7910
7978,7949
7955,7932
7986,7923
7958,7919
7964,7950
7968,7928
7979,7913
7976,7923
7972,7941
7968,7932
7950,7951
7974,7945
7970,7940
7948,7932
7946,7935
7974,7943
7936,7934
7980,7931
7968,7933
7969,7939
7980,7924
7968,7953
7938,7904
7959,7932
7954,7936
7958,7914
7972,7937
7953,7932
7974,7943
7959,7935
7960,7936
7969,7943
7963,7940
7970,7966
7938,7939
7978,7933
7950,7940
7972,7933
7963,7924
7977,7925
7969,7921
7977,7932
7966,7939
7967,7933
7975,7943
7950,7931
7948,7946
7964,7937
7992,7948
7951,7922
7997,7934
7954,7943
8000,7934
7986,7935
7966,7948
7931,7944
7959,7903
7973,7930
7969,7958
7971,7940
7947,7955
7979,7944
7978,7965
7987,7915
7957,7940
7974,7921
7965,7930
7968,7943
7993,7945
7956,7927
7950,7931
7973,7928
7983,7939
7950,7925
7951,7926
7967,7924
7958,7928
7971,7931
7957,7941
7946,7920
7968,7939
7972,7937
7956,7942
7959,7911
7975,7937
7959,7922
7955,7927
7949,7908
7950,7938
7979,7936
7951,7921
7952,7940
7973,7925
7962,7941
7979,7933
7973,7937
7969,7962
7964,7907
7965,7946
7951,7939
7971,7915
7957,7920
7940,7912
7966,7932
7969,7928
7987,7927
7948,7946
7986,7939
7969,7928
7976,7927
7973,7930
7958,7932
7972,7943
7996,7949
7984,7941
7972,7945
7984,7946
7975,7922
7984,7935
7955,7935
7958,7925
7954,7903
7998,7945
7963,7927
7974,7937
7966,7925
7969,7934
7977,7944
7957,7924
7955,7927
7948,7932
7974,7950
7933,7963
7960,7920
7949,7938
7990,7926
7954,7934
7957,7919
7941,7952
7961,7949
7975,7932
7928,7901
7960,7927
7954,7912
7965,7929
7987,7919
7967,7940
7988,7961
7960,7933
7966,7952
7980,7938
7969,7953
7948,7932
7987,7950
7977,7928
7974,7928
7944,7937
7978,7950
7956,7915
7962,7902
7975,7939
7946,7930
7971,7932
7954,7938
7982,7905
7962,7923
7970,7939
7959,7937
7961,7923
7977,7953
7964,7947
7948,7938
7945,7937
7985,7923
7949,7927
7985,7941
7948,7938
7976,7917
7974,7931
7970,7924
7946,7907
7978,7943
7975,7919
7972,7952
7962,7919
7961,7919
7995,7925
7979,7930
7964,7922
7941,7937
7971,7945
7962,7921
7971,7938
7971,7942
7948,7959
7965,7930
7981,7930
7948,7939
7962,7929
7977,7916
7975,7923
7969,7926
7957,7924
7966,7956
7970,7932
7963,7939
7944,7920
7964,7922
7969,7947
7972,7925
7979,7939
7948,7945
7985,7943
7949,7958
7976,7938
7963,7932
7994,7943
7958,7937
7965,7923
7962,7931
7962,7928
7971,7928
7960,7947
7979,7949
7946,7931
7963,7909
7953,7935
7980,7907
7983,7933
7959,7933
7966,7923
7961,7918
7968,7910
7952,7909
7961,7927
7946,7942
7969,7943
7955,7912
7963,7921
7941,7943
7977,7951
7940,7925
7976,7924
7948,7929
7948,7949
7990,7920
7965,7938
7979,7924
7973,7929
7969,7923
7963,7935
7973,7932
7975,7933
7963,7938
7965,7914
7974,7931
7971,7922
7967,7929
7958,7929
7960,7939
7987,7927
7946,7928
7958,7934
7966,7952
7991,7940
7957,7935
7949,7924
7955,7933
7972,7932
7962,7926
7949,7911
7981,7921
7967,7912
7984,7941
7965,7946
7987,7937
7948,7925
7973,7919
7961,7919
7958,7941
7974,7946
7959,7917
7970,7943
7983,7972
7978,7942
7956,7937
7980,7943
7968,7962
7965,7918
7945,7928
7975,7930
7975,7905
7971,7934
7970,7902
7956,7933
8001,7938
7958,7947
7978,7963
7959,7919
7970,7910
7967,7928
7964,7931
7958,7943
7968,7939
7969,7933
7970,7929
7961,7943
7960,7949
7974,7934
7952,7940
7967,7900
7962,7934
7970,7910
7960,7949
7982,7947
7967,7924
7950,7907
7968,7917
7953,7923
7968,7937
7954,7941
7958,7929
7964,7939
7983,7938
7954,7930
7988,7952
7962,7932
7960,7927
7973,7919
7970,7914
7938,7927
7967,7948
7969,7932
7962,7932
7963,7914
7970,7959
7980,7943
7971,7959
7947,7941
7959,7941
7972,7931
7971,7945
7968,7915
7964,7950
7951,7938
7986,7930
7973,7926
7980,7931
7944,7940
7987,7922
7957,7913
7983,7912
7956,7931
7970,7934
7978,7932
7971,7928
7963,7948
7943,7930
7985,7929
7957,7932
7994,7913
7959,7919
7952,7953
7966,7928
7974,7930
7957,7937
7958,7943
7953,7927
7955,7922
7973,7941
7951,7916
7961,7917
7971,7939
7973,7918
7960,7937
7959,7943
7943,7929
7983,7932
7979,7955
7951,7951
7957,7932
7968,7928
7990,7957
7955,7946
7967,7932
7952,7940
7997,7951
7974,7946
7973,7938
7945,7916
7981,7920
7976,7948
7981,7942
7953,7945
7978,7922
7986,7940
7980,7918
7980,7930
7957,7939
7975,7948
7974,7931
7982,7927
7966,7932
7956,7944
7975,7937
7967,7931
7974,7939
7965,7940
7976,7939
7954,7952
7994,7919
7952,7954
7966,7936
7965,7968
7982,7957
7956,7917
7946,7925
7965,7910
7983,7945
7964,7940
7947,7930
7944,7917
7972,7932
7978,7928
7956,7938
7975,7979
7960,7929
7952,7928
7966,7942
7962,7938
7955,7943
7965,7938
7972,7942
7951,7960
7963,7943
7961,7936
7978,7932
8004,7922
7964,7925
7979,7922
7985,7928
7975,7946
7977,7936
7960,7951
7983,7936
7958,7937
7996,7926
7977,7915
7959,7941
7976,7948
7970,7960
7981,7930
7959,7935
7955,7922
7975,7939
7981,7934
7974,7916
7956,7934
7972,7950
7952,7934
7968,7924
7949,7936
7963,7904
7989,7950
7969,7919
7970,7928
7947,7939
7978,7930
7966,7966
7989,7938
7958,7920
7970,7934
7947,7933
7978,7932
7942,7925
7959,7931
7967,7934
7940,7945
7969,7937
7965,7928
7952,7917
7960,7933
7972,7954
7948,7939
7971,7921
7953,7928
7952,7930
7979,7923
7972,7924
7932,7929
7972,7918
7976,7933
7961,7930
7966,7939
7967,7938
7962,7919
7962,7956
7967,7941
7960,7953
7973,7933
7970,7938
7970,7941
7949,7913
7962,7934
7980,7940
7996,7935
7954,7934
7960,7927
7976,7937
7965,7936
7972,7927
7959,7947
7970,7940
7973,7926
7968,7937
7958,7926
7972,7936
7962,7914
7992,7938
7970,7930
7944,7938
7941,7939
7968,7934
7973,7939
7961,7937
7982,7957
7947,7927
7970,7934
7968,7935
7972,7928
7978,7930
7987,7948
7975,7925
7970,7948
7954,7930
7965,7955
7974,7950
7960,7938
7943,7937
7946,7930
7970,7919
7970,7915
7974,7937
7956,7941
8001,7930
7978,7948
7951,7909
7970,7939
7963,7925
7972,7941
7935,7935
7958,7927
7982,7940
7940,7941
7963,7931
7967,7894
7968,7932
7975,7955
7956,7943
7971,7952
7963,7935
7990,7920
7975,7939
7982,7933
7971,7916
7944,7916
7966,7942
7948,7943
7977,7929
7964,7937
7968,7929
7975,7950
7979,7944
7952,7932
7938,7926
7963,7946
7939,7945
7978,7911
7950,7939
7961,7930
7973,7944
7975,7941
7965,7930
7986,7944
7969,7946
7989,7944
7948,7934
7962,7919
7962,7962
7978,7956
7970,7926
7965,7934
7984,7946
7959,7946
7974,7911
7964,7942
7972,7914
7956,7918
7966,7945
7964,7945
7965,7948
7960,7925
7943,7933
7978,7944
7974,7947
7938,7934
7967,7929
