230922-13:13:03
2
torque,speed
7987,7951
7965,7949
7965,7963
7992,7949
7966,7962
8005,7962
7998,7970
7971,7934
7983,7928
7952,7953
7961,7963
7987,7936
7989,7950
7936,7978
7993,7968
7988,7950
7953,7943
7982,7959
7991,7985
7979,7960
7980,7939
7982,7959
7991,7938
7976,7960
7970,7967
7964,7958
7976,7947
7996,7942
7977,7963
7983,7967
7990,7931
7963,7942
7984,7945
7961,7944
7978,7934
7988,7935
7962,7957
7963,7939
7988,7948
7973,7959
7991,7970
7978,7948
7961,7960
7983,7944
7986,7944
7979,7949
7969,7970
7986,7936
7969,7966
7964,7967
7967,7963
7979,7977
7961,7959
7987,7958
7970,7950
7988,7953
7972,7931
7991,7954
8002,7941
7975,7941
8004,7967
7977,7947
7985,7939
7981,7944
7990,7977
7985,7943
7964,7953
7995,7942
7989,7938
7993,7941
7972,7965
7996,7922
7989,7959
7999,7963
7966,7935
8011,7937
8001,7954
8000,7960
7956,7953
7961,7928
7985,7932
7933,7941
7996,7965
7975,7958
7940,7966
7982,7958
7985,7928
7987,7947
7968,7952
7962,7972
7982,7954
7993,7966
7965,7943
7975,7959
7977,7951
7994,7935
7951,7945
7980,7944
7970,7946
7985,7955
7984,7951
7983,7943
7982,7947
7982,7976
8003,7947
7966,7972
7985,7958
7969,7957
7965,7950
7988,7931
7979,7938
7999,7924
7979,7971
7991,7945
7981,7963
7986,7955
7970,7951
7998,7952
8006,7940
7992,7930
7967,7945
7973,7935
7981,7961
7983,7966
7981,7960
7973,7942
8013,7960
7988,7954
7981,7926
7971,7958
7985,7959
7967,7959
7965,7946
7978,7959
7971,7947
7941,7960
7978,7937
7987,7951
7970,7941
7969,7949
7975,7972
7988,7954
7988,7938
7961,7941
7960,7944
7981,7961
7996,7958
7992,7937
7965,7951
7984,7958
7990,7963
7985,7972
7994,7926
7963,7946
7982,7969
7978,7931
7994,7949
7985,7948
7975,7957
7972,7947
8005,7920
7997,7950
7962,7968
7980,7945
7972,7953
7973,7955
7978,7941
7971,7959
7964,7984
7986,7940
7986,7964
7975,7950
7981,7963
