230922-13:06:45
2
torque,speed
7986,7966
7987,7960
8001,7955
7991,7947
7994,7946
8020,7952
7982,7938
8016,7953
8009,7955
7985,7965
7989,7958
8009,7949
8004,7943
8015,7980
7988,7952
8000,7948
8024,7971
8018,7939
7967,7954
7980,7958
8008,7962
7982,7944
8012,7968
7993,7979
8009,7953
8017,7954
8001,7954
7998,7962
8000,7951
8019,7970
8008,7936
8018,7968
7969,7965
8007,7923
7982,7948
8009,7979
8001,7965
8000,7945
7998,7952
8012,7963
8010,7943
7991,7955
8012,7933
7986,7959
8002,7978
7980,7954
8007,7958
7991,7945
8017,7958
8008,7943
8014,7944
8007,7960
7995,7957
8004,7960
7993,7942
7999,7937
7993,7950
7987,7952
8008,7953
7994,7935
7993,7949
7994,7953
8006,7989
8027,7961
8010,7976
7984,7952
8011,7934
8025,7949
8008,7952
7987,7965
8016,7937
7995,7981
7996,7972
7993,7952
8012,7976
7992,7976
7996,7939
7992,7943
7988,7958
8011,7957
8000,7941
8015,7951
8001,7956
7999,7956
7998,7925
7995,7956
8013,7952
8008,7959
7995,7947
8001,7957
8009,7958
8012,7973
8008,7961
7976,7949
8007,7958
7998,7954
8000,7954
7995,7948
7968,7965
8001,7958
7994,7936
8002,7947
7977,7970
8004,7964
8018,7939
7994,7944
7999,7958
7973,7956
7993,7972
8005,7959
8003,7942
7953,7953
8009,7952
7993,7973
8015,7944
8000,7961
7986,7962
7975,7951
8008,7978
8003,7950
8001,7935
8000,7966
7993,7935
8009,7964
7994,7958
8000,7953
7988,7972
8003,7970
8025,7943
8030,7966
8006,7944
7993,7950
8017,7950
8003,7965
7993,7969
7994,7953
8010,7963
7985,7950
8001,7951
8002,7946
8007,7938
8032,7958
7999,7986
7982,7956
7983,7965
8009,7961
7999,7973
8001,7959
8002,7949
7990,7954
8006,7973
8015,7975
8035,7944
7994,7956
8002,7942
7950,7957
8003,7947
7975,7954
7983,7978
7987,7979
8011,7976
7946,7950
7988,7969
8003,7968
8008,7960
8000,7969
7995,7963
7987,7963
7987,7967
8011,7953
7984,7948
8006,7916
8001,7965
8006,7966
8015,7968
7992,7959
7995,7954
7988,7965
8016,7942
8020,7964
8011,7952
7998,7959
8010,7963
8011,7952
7992,7957
7975,7967
8000,7969
8005,7964
7983,7947
7994,7952
7988,7962
7997,7946
8018,7952
7996,7961
8009,7945
7998,7962
7999,7930
8018,7949
8003,7943
7979,7949
8008,7956
8010,7956
8028,7945
7977,7948
8011,7973
7980,7938
8016,7956
7978,7969
7983,7964
7972,7946
8006,7967
7970,7964
7982,7958
8000,7957
8009,7954
8010,7944
7990,7967
7989,7943
7995,7957
8000,7950
7986,7966
8002,7954
8000,7966
7977,7956
8014,7958
7980,7966
7976,7962
7993,7949
7997,7962
7990,7974
7999,7991
7989,7957
8010,7941
8004,7962
8003,7955
8001,7967
7992,7971
8007,7963
7975,7974
7997,7964
7988,7969
7983,7952
8009,7952
8009,7958
8015,7969
7998,7961
7991,7959
8000,7951
8001,7971
7990,7968
8004,7945
8001,7962
8001,7964
7980,7962
7985,7921
7983,7970
7984,7954
8002,7965
7997,7951
8024,7961
7997,7950
8004,7961
7995,7953
8009,7976
7983,7951
7969,7964
7987,7946
8003,7956
7960,7965
7998,7946
7993,7957
8006,7977
8004,7965
7982,7962
8011,7955
8012,7968
8000,7976
7996,7964
8006,7944
8020,7949
8003,7966
7993,7951
7993,7954
8021,7932
8002,7955
7996,7949
7991,7942
8014,7956
8000,7972
8001,7967
8008,7956
8018,7962
8005,7957
8012,7977
7973,7925
8012,7953
7996,7939
8008,7956
8010,7961
7997,7954
8006,7960
8009,7960
8004,7945
8003,7956
8013,7965
8009,7964
7990,7965
7995,7962
7985,7964
8006,7950
8011,7936
8001,7983
7991,7979
7995,7938
8004,7969
7982,7952
7985,7960
8001,7956
7980,7979
8002,7957
8007,7957
7969,7957
8015,7944
7996,7947
7998,7964
7996,7965
7995,7948
7969,7967
7995,7990
7991,7954
8020,7962
8008,7959
7986,7958
8017,7958
8010,7964
7957,7961
7976,7935
8013,7961
8000,7949
7988,7971
7995,7955
7983,7969
8029,7970
8029,7961
7990,7961
7966,7947
8007,7947
8001,7960
8010,7958
8008,7930
7991,7950
8026,7967
8009,7944
8015,7978
7977,7959
8010,7959
7984,7946
7999,7962
7982,7957
7974,7971
7983,7970
8012,7959
8013,7961
7968,7939
8010,7969
8006,7971
7999,7965
7997,7955
7970,7923
7981,7945
7996,7947
7991,7942
7997,7955
7993,7941
7972,7953
8010,7962
8006,7946
7982,7960
7991,7960
8000,7966
8002,7935
7992,7957
7996,7951
7988,7980
8014,7932
8011,7967
7983,7954
7979,7963
8007,7950
7988,7984
8011,7962
7991,7950
7990,7978
8010,7966
8019,7956
8018,7974
7994,7953
8011,7962
8005,7959
8003,7956
7984,7957
8015,7959
8011,7973
8008,7961
8010,7953
7993,7947
8001,7955
7999,7962
8015,7946
7997,7955
8025,7935
7998,7967
8015,7959
7986,7956
7979,7939
8001,7942
7974,7938
8007,7965
7990,7970
8000,7957
7995,7962
8004,7946
7997,7941
8016,7948
8002,7970
7981,7954
8004,7935
7981,7954
7970,7949
7999,7962
8018,7984
8011,7965
7997,7956
7992,7968
7991,7960
8045,7977
8013,7968
8012,7961
8007,7953
7996,7968
8005,7966
8004,7961
7986,7943
7998,7980
8012,7978
8010,7940
8023,7966
7991,7965
7994,7955
8007,7965
8000,7945
7976,7966
8016,7959
7980,7963
8008,7938
7992,7956
8011,7952
8004,7945
8016,7948
7996,7966
7980,7952
7969,7967
7994,7938
8005,7965
8005,7951
7988,7977
7989,7961
8003,7935
8006,7943
8013,7982
7934,7955
7990,7959
7995,7940
7993,7957
7993,7973
8016,7953
8015,7953
8009,7955
8005,7977
7987,7940
8009,7972
7994,7952
7988,7959
8017,7959
7986,7956
7972,7948
7997,7952
8010,7944
7990,7968
7996,7962
8001,7957
8029,7943
8024,7967
7994,7954
7987,7952
8000,7961
8002,7963
7973,7970
8036,7962
7993,7948
8012,7966
7997,7946
8003,7962
8016,7958
8014,7970
8013,7942
8002,7981
8001,7957
8004,7964
8000,7960
7999,7962
7991,7958
7989,7978
7997,7944
8008,7964
8006,7963
7995,7940
7996,7965
8018,7963
7994,7951
8002,7953
7968,7966
8003,7963
7986,7975
7997,7945
7996,7983
7967,7958
8016,7937
8010,7976
8013,7949
7993,7939
8014,7944
7975,7961
8017,7941
7991,7962
8003,7963
8003,7954
8025,7973
7990,7960
8018,7957
8006,7967
7997,7958
8001,7957
7995,7962
7980,7950
7978,7947
8014,7960
7988,7921
8013,7960
8000,7962
7983,7963
8006,7947
8003,7970
7987,7953
8001,7960
8009,7953
7984,7957
8011,7966
8008,7953
8022,7949
8020,7968
7997,7952
7976,7943
8003,7965
7998,7979
7974,7966
7991,7961
7977,7947
8017,7946
7993,7949
8004,7950
7973,7962
8012,7949
8005,7981
7981,7925
7989,7938
7977,7965
8007,7945
8006,7940
8012,7956
7975,7953
8006,7982
7977,7939
7991,7949
7999,7959
8000,7930
7982,7971
7992,7953
8014,7947
7995,7965
8030,7942
7987,7941
8006,7951
7985,7967
7988,7974
7970,7954
8016,7962
7994,7966
