230922-13:09:53
2
torque,speed
7973,7953
7971,7940
7967,7949
7995,7923
7975,7943
7989,7948
7969,7947
7982,7948
7990,7946
7990,7954
7985,7958
7973,7940
7965,7926
7983,7940
7986,7960
7986,7966
8013,7932
7967,7956
7979,7934
7975,7959
7998,7964
7964,7959
7996,7951
7991,7967
7990,7953
7967,7986
7980,7956
7992,7944
7972,7950
8013,7958
7979,7928
7994,7973
7971,7939
7979,7941
7988,7956
7978,7945
7992,7961
7969,7968
7976,7966
7974,7932
7985,7953
7965,7935
7987,7959
7974,7967
7965,7952
7988,7957
7992,7962
7985,7971
7984,7962
8000,7986
7989,7969
7969,7936
7973,7942
7986,7951
7981,7948
7975,7949
7986,7932
7970,7954
8007,7964
7972,7955
7983,7965
7980,7969
7961,7938
7967,7956
7993,7976
7994,7959
7980,7935
7991,7967
7971,7959
8004,7957
7983,7956
7983,7949
7983,7966
7981,7951
7995,7943
7987,7940
7987,7940
7965,7970
7974,7945
7973,7950
7990,7952
7954,7943
7981,7939
7988,7942
7972,7958
7976,7940
7966,7950
7966,7958
7984,7949
7989,7962
7966,7945
7981,7940
7988,7956
7988,7938
7966,7961
7976,7942
7937,7939
7987,7954
7993,7943
7981,7926
8002,7939
7968,7942
7994,7948
7982,7953
7975,7965
7949,7956
8003,7959
7985,7954
7961,7956
7992,7949
7972,7945
7992,7944
7985,7968
7979,7952
7988,7956
7991,7953
7973,7928
7978,7939
7988,7933
7957,7945
7978,7925
7988,7957
7996,7973
7971,7956
7980,7957
7979,7963
7970,7967
7974,7952
7961,7961
7967,7953
7980,7955
7993,7966
7984,7946
7982,7945
7981,7949
8009,7954
7987,7951
7971,7939
7955,7943
7978,7933
7985,7959
7979,7962
7979,7961
7964,7944
8004,7946
7988,7952
8001,7931
7972,7942
8000,7962
7976,7943
7981,7940
7998,7956
7978,7946
7979,7946
8001,7937
7980,7957
7986,7971
8004,7945
7979,7934
7993,7959
7973,7965
7973,7950
7972,7979
7986,7935
7984,7940
7971,7945
8004,7953
7969,7959
7980,7952
7967,7948
7974,7957
7962,7954
7992,7961
7979,7951
7962,7960
7985,7959
7974,7964
8003,7940
7994,7967
7959,7961
7979,7952
7993,7959
7978,7948
7985,7952
8000,7960
7960,7953
7974,7976
7980,7935
7984,7950
7968,7953
7984,7961
7957,7950
7988,7964
7976,7946
7975,7954
7967,7949
7976,7975
7959,7950
7958,7957
7995,7953
7987,7951
7994,7953
7979,7948
7968,7940
7981,7953
7974,7952
7989,7950
7972,7946
8003,7954
7977,7951
7985,7957
7972,7954
7966,7952
7975,7938
7992,7945
7987,7958
7975,7941
7971,7966
7950,7958
8019,7944
7987,7978
7982,7936
7941,7952
7994,7966
7970,7967
8001,7976
7992,7947
7965,7957
7975,7950
7981,7947
7981,7952
7955,7954
7990,7953
7976,7955
8007,7950
7982,7950
7968,7945
7959,7961
7977,7953
7982,7923
7960,7950
8009,7969
7975,7951
7979,7950
7970,7944
7983,7980
7976,7958
7980,7967
7993,7954
7986,7949
7998,7953
7980,7937
7996,7954
8000,7953
7976,7946
7971,7947
7988,7941
7988,7932
7997,7946
7982,7961
7975,7952
7981,7961
7990,7958
7981,7968
7967,7966
7982,7945
7972,7940
7978,7950
7985,7953
7969,7945
7978,7952
7978,7967
7985,7946
7955,7961
7987,7937
7974,7952
7998,7948
7978,7963
7949,7952
7981,7950
7980,7946
7990,7963
7978,7955
7993,7970
7982,7936
7976,7947
7991,7944
7990,7946
7970,7956
7989,7974
7985,7957
7992,7987
7992,7969
