230922-13:16:31
2
torque,speed
7997,7966
7976,7966
7974,7961
7969,7941
7974,7955
7985,7943
7958,7946
7953,7932
7960,7950
7988,7948
7969,7958
7943,7966
7975,7942
7966,7936
7983,7946
7978,7938
7988,7948
7978,7952
7990,7963
7963,7979
7987,7933
7972,7954
7989,7945
7986,7956
7979,7945
7994,7956
7968,7958
7969,7946
7970,7938
7973,7957
7962,7948
7971,7960
7975,7967
7971,7954
7980,7960
7988,7945
7964,7959
7977,7945
7967,7950
7950,7934
7989,7971
7985,7943
7981,7947
7951,7961
7990,7951
7972,7931
7987,7950
7973,7942
7954,7937
7972,7946
7978,7977
7977,7937
7965,7945
7989,7952
7987,7956
7992,7941
7952,7937
7946,7964
7970,7955
7985,7937
7974,7946
7984,7939
7986,7918
7995,7941
7972,7940
7963,7972
7979,7938
7975,7912
7978,7938
7934,7947
7974,7949
7959,7936
7997,7964
7996,7952
7993,7954
7993,7959
7984,7969
7972,7951
7979,7933
7975,7931
7957,7967
7960,7949
8000,7957
7965,7922
7972,7928
7980,7945
7981,7931
7982,7935
7984,7948
7952,7951
7990,7928
7981,7953
7982,7947
7962,7946
8003,7974
7995,7944
7982,7939
7957,7945
7962,7945
7958,7954
7980,7955
7962,7940
7962,7956
7987,7947
7976,7928
7967,7955
7962,7955
7995,7951
7961,7942
7983,7935
7969,7964
7999,7981
7958,7919
7975,7952
7989,7941
7962,7927
7974,7953
7962,7936
7988,7977
7972,7973
7966,7963
7972,7938
7992,7950
7999,7961
7976,7948
7980,7954
7987,7954
7992,7960
7959,7938
7987,7950
7969,7960
7982,7942
7986,7947
7969,7946
8007,7943
7972,7950
7972,7964
7920,7945
7990,7940
7959,7968
7979,7971
7990,7972
8001,7953
7953,7954
7968,7959
7974,7935
7961,7961
7982,7943
7970,7929
7956,7923
7967,7919
7995,7940
7976,7945
7990,7947
7977,7956
7974,7950
7965,7933
7988,7951
7953,7949
7988,7935
7970,7940
7964,7946
7963,7951
7966,7951
7995,7954
7985,7951
7970,7922
7950,7926
7981,7956
7966,7922
7963,7931
7970,7952
7965,7961
7988,7939
7992,7952
7984,7960
7911,7943
7978,7957
7944,7968
8002,7960
7978,7940
7958,7944
7972,7943
7993,7958
7986,7945
7974,7925
7984,7960
7996,7947
7975,7933
7965,7943
7949,7968
7999,7953
7979,7962
7978,7927
7959,7929
7981,7949
7952,7926
7999,7940
7982,7953
7962,7959
7954,7929
7968,7927
7966,7964
7977,7932
7982,7942
7971,7952
7981,7956
7981,7965
7987,7941
7959,7948
7987,7954
7989,7952
7985,7940
7979,7954
7977,7957
7979,7924
7975,7931
7979,7975
7986,7953
7978,7937
7951,7941
7996,7946
7971,7944
7968,7935
7972,7943
7966,7953
7977,7962
7962,7946
7988,7957
7977,7955
7987,7935
7974,7942
7970,7915
7966,7948
7981,7958
7988,7929
7940,7954
7974,7943
7949,7953
7994,7949
7983,7953
7974,7926
7965,7937
7996,7931
7977,7936
8007,7959
7981,7957
7970,7946
7985,7937
7980,7956
7977,7944
7957,7951
7987,7930
7983,7969
7979,7954
7958,7961
7966,7953
7984,7949
7980,7947
7986,7955
7953,7945
7978,7937
7965,7959
7964,7948
7975,7969
7963,7955
7966,7953
7980,7951
7988,7946
7959,7970
7967,7936
7956,7955
7988,7942
7977,7955
7971,7940
7970,7953
7983,7948
7984,7962
7975,7949
7967,7954
7987,7931
8000,7943
7969,7939
7938,7966
7966,7927
7985,7950
7967,7957
7986,7912
7984,7940
8006,7958
8004,7942
7982,7941
7954,7950
7976,7977
7985,7944
7978,7963
7991,7967
7970,7949
7971,7939
7997,7931
7987,7963
7960,7966
7966,7962
7967,7959
7954,7949
7985,7961
7961,7924
7984,7950
8005,7954
7982,7938
8000,7936
7979,7915
7953,7962
7956,7942
7984,7954
7982,7941
7973,7943
7961,7949
8000,7961
7953,7937
7984,7911
7971,7945
7964,7951
7977,7973
7961,7957
7950,7948
7969,7968
7991,7960
7951,7964
7968,7929
7958,7937
7964,7930
7991,7985
7988,7967
7975,7954
7976,7930
7987,7950
7942,7953
7986,7939
7964,7947
7968,7954
7987,7958
7980,7919
7956,7953
7970,7936
7995,7933
7987,7950
7982,7946
7960,7954
7951,7930
7984,7941
7976,7957
7947,7927
7988,7928
7978,7956
7983,7959
7976,7937
7967,7935
7964,7939
7959,7932
7974,7967
7955,7943
7970,7938
7969,7933
7984,7958
7985,7945
7970,7950
7954,7940
7964,7959
7984,7959
7953,7928
7971,7943
7977,7957
7958,7974
7956,7960
7965,7916
7947,7950
7974,7949
7980,7968
7960,7938
7968,7960
7974,7954
7984,7948
7985,7954
7984,7945
7965,7947
7981,7958
7947,7911
7960,7947
7977,7936
7971,7940
7967,7944
7991,7959
7954,7960
7971,7957
7981,7972
7951,7968
7966,7952
7952,7966
7946,7943
8005,7960
7981,7956
7953,7963
7994,7961
7959,7946
7976,7943
7986,7954
7955,7967
7964,7941
7963,7938
7983,7945
7956,7947
7981,7953
7966,7942
7972,7945
7986,7951
7974,7929
7965,7960
7977,7975
7977,7945
7994,7928
7986,7955
7973,7973
7995,7957
7968,7949
7960,7957
7966,7937
7977,7957
7975,7956
7982,7927
7974,7939
7978,7952
7955,7966
7965,7957
7987,7944
7967,7941
7966,7928
7961,7939
7995,7964
7986,7951
7960,7961
7977,7958
7973,7935
7986,7953
7966,7927
7989,7970
7966,7937
7970,7944
7956,7958
7964,7948
7975,7965
7984,7939
7945,7963
7987,7939
8001,7970
7946,7942
7998,7953
7983,7930
7963,7955
7963,7952
7968,7954
7968,7941
7979,7955
7962,7942
7978,7934
7980,7948
7982,7970
7977,7950
7932,7914
7980,7946
7988,7934
7984,7955
7975,7944
7963,7963
7996,7959
7973,7947
7994,7947
7958,7960
7982,7946
7970,7943
7973,7950
7986,7940
7967,7937
7979,7966
7974,7944
7981,7938
7955,7927
8001,7958
7968,7965
7978,7950
7982,7956
7958,7962
7988,7961
7984,7964
7964,7951
7943,7924
7978,7958
7972,7930
7981,7953
7967,7950
7972,7950
7966,7932
7976,7947
7985,7959
8007,7959
7986,7944
7976,7956
7986,7945
7965,7949
7984,7924
7965,7956
7984,7928
7971,7949
7984,7919
7983,7953
7950,7962
7983,7945
7978,7946
7925,7946
7946,7954
7984,7962
7956,7949
7981,7952
7976,7945
7972,7946
7972,7928
7986,7925
7992,7931
7969,7944
7969,7957
7979,7966
7992,7938
7967,7970
7959,7947
7967,7949
7979,7939
