230929-11:41:40
2
torque,speed
7956,7959
7978,7937
7959,7948
7961,7920
7968,7967
7983,7956
7957,7947
7956,7962
7986,7934
7990,7942
7969,7959
7976,7954
7987,7933
7962,7943
7976,7965
7984,7959
7977,7949
7960,7940
7957,7963
7950,7946
7965,7953
7962,7943
7941,7961
7972,7958
7968,7934
7963,7924
7957,7948
7969,7944
7979,7933
7980,7943
7956,7939
7979,7974
7967,7949
7967,7954
7966,7966
7992,7950
7988,7930
7965,7932
7963,7932
7972,7965
7961,7952
7990,7959
7956,7944
7971,7939
7972,7935
7970,7964
7959,7939
7973,7938
7953,7951
7979,7956
7967,7962
7965,7939
7975,7936
7951,7939
7948,7944
7978,7950
7977,7942
7958,7919
7978,7946
7960,7948
7980,7942
7969,7947
7960,7955
7976,7944
7975,7936
7926,7951
7964,7953
7959,7934
7998,7944
7964,7968
7910,7950
7951,7954
7970,7958
7972,7956
7956,7931
7958,7960
7977,7957
7949,7949
7960,7956
7965,7930
7980,7950
7952,7943
7965,7941
7956,7950
7966,7944
7959,7958
7972,7947
7957,7943
7965,7921
7974,7950
7963,7947
7965,7945
7964,7947
7952,7935
7968,7936
7969,7946
7978,7947
7921,7959
7969,7949
7942,7947
7964,7933
7961,7938
7961,7942
7962,7939
7984,7934
7960,7949
7960,7938
7947,7957
7965,7928
7949,7944
7961,7932
7958,7956
7969,7931
7961,7969
7975,7953
7953,7955
7971,7954
7975,7952
7951,7941
7960,7958
7967,7951
7924,7947
7974,7949
7962,7965
7964,7912
7969,7950
7947,7951
7984,7946
7966,7958
7960,7952
7972,7955
7974,7950
7957,7945
7981,7936
7955,7937
7973,7960
7963,7939
7967,7935
7969,7953
7977,7956
7934,7942
7958,7932
7947,7953
7974,7933
7963,7944
7970,7938
7948,7942
7971,7945
7977,7945
7963,7936
7942,7946
7983,7956
7952,7933
7954,7952
7959,7938
7968,7952
7938,7944
7970,7938
7956,7945
7962,7926
7958,7945
7953,7953
7952,7928
7968,7948
7966,7953
7984,7934
7942,7944
7961,7953
7950,7944
7951,7952
7969,7927
7972,7954
7976,7929
7964,7900
7960,7940
7958,7956
7961,7964
7952,7945
7982,7937
7971,7959
7970,7925
7958,7960
7941,7934
7968,7938
7975,7955
7950,7938
7942,7944
7953,7942
7968,7942
7961,7944
7971,7922
7941,7947
7969,7928
7957,7957
7956,7946
7958,7949
7959,7952
7950,7964
7972,7938
7976,7950
7971,7946
7948,7928
7990,7912
7979,7947
7964,7947
7938,7929
7970,7949
7983,7934
7980,7965
7960,7946
7997,7942
7970,7950
7964,7933
7955,7938
7981,7933
7975,7943
7969,7950
7958,7950
7974,7948
7962,7944
7952,7925
7958,7933
7976,7959
7960,7948
7978,7954
7961,7946
7987,7932
7969,7933
7967,7966
7951,7930
7973,7945
7977,7964
7979,7956
7958,7942
7972,7953
7968,7948
7959,7950
7980,7941
7973,7946
7943,7948
7961,7948
7959,7934
7965,7939
7973,7957
7942,7945
7971,7945
7975,7949
7970,7953
7964,7943
7952,7964
7945,7924
7965,7938
7939,7937
7968,7966
7993,7946
7994,7931
7971,7957
7982,7918
7937,7944
7966,7956
7958,7950
7955,7942
7984,7939
7946,7948
7938,7942
7972,7929
7961,7936
7974,7925
7957,7971
7980,7952
7965,7950
7988,7965
7954,7946
7965,7936
7976,7946
7970,7943
