230929-11:35:51
2
torque,speed
7991,7942
7967,7969
7978,7958
7957,7947
7971,7945
7999,7927
7972,7942
7931,7956
7985,7941
7963,7948
7983,7956
7943,7931
7982,7948
7972,7963
7981,7942
7977,7993
7975,7947
7960,7951
7978,7941
7956,7965
7949,7964
7999,7950
7988,7955
7923,7963
7970,7949
7975,7958
7990,7946
7952,7960
7959,7958
7982,7958
7954,7957
7987,7934
7967,7940
7993,7963
7975,7921
7977,7963
7965,7962
7983,7959
7971,7967
7968,7944
7962,7952
7972,7949
7933,7945
7967,7948
7963,7954
7984,7962
7983,7929
7924,7946
7969,7944
7984,7961
7950,7956
7987,7969
7973,7961
7989,7972
7964,7969
7968,7954
7961,7961
7982,7911
7964,7942
7973,7967
7971,7967
7956,7951
7962,7947
7953,7953
7956,7924
7984,7951
7968,7937
7970,7939
7962,7993
7990,7940
7966,7933
7942,7958
7954,7979
7969,7940
7984,7962
7971,7946
7945,7956
7968,7955
7979,7963
7957,7936
7944,7967
7976,7938
7967,7959
7968,7959
7947,7952
7971,7937
7967,7959
7957,7961
7943,7932
7989,7956
7972,7944
7939,7942
7975,7943
7971,7933
7980,7953
7944,7953
7995,7967
7979,7955
7984,7942
7952,7945
7962,7976
7970,7969
7969,7943
7950,7962
7976,7960
7981,7962
7985,7949
7973,7939
7978,7947
7949,7976
7964,7954
7963,7958
7977,7941
7962,7947
7963,7947
7967,7949
7978,7957
7944,7960
7970,7954
7961,7950
7983,7932
7951,7953
7974,7948
7983,7947
7981,7948
7970,7947
7974,7938
7960,7947
7985,7934
7974,7931
7963,7947
7966,7969
7984,7936
7979,7947
7973,7972
7949,7951
7944,7966
7979,7960
7964,7947
7964,7928
7959,7949
7974,7962
7965,7957
7957,7953
7972,7950
7981,7944
7957,7943
7962,7940
7970,7946
7963,7958
7964,7976
7973,7953
7975,7944
7967,7944
7955,7944
7943,7963
7971,7955
7970,7927
7961,7960
7964,7943
7965,7936
7985,7957
7958,7944
7950,7937
8011,7975
7970,7945
7957,7923
7984,7966
7959,7938
7967,7942
7961,7939
7991,7959
7981,7912
7974,7955
7967,7950
7980,7948
7947,7941
7968,7943
7956,7945
7965,7946
7996,7941
7981,7950
7978,7969
7981,7959
7970,7952
7989,7976
7971,7963
7983,7939
7985,7965
7965,7942
7988,7945
7977,7950
7984,7964
7985,7946
7960,7961
7953,7927
8003,7947
7983,7959
7967,7954
7988,7944
7973,7970
7990,7937
7967,7952
7968,7938
7994,7937
7943,7969
7962,7938
7964,7947
7962,7947
7985,7940
7986,7935
7946,7948
7992,7942
7950,7935
7959,7951
7967,7955
7982,7965
7938,7964
7983,7935
7956,7951
7988,7951
7975,7938
7980,7942
7968,7944
7982,7952
7952,7939
7992,7934
7941,7933
7981,7950
7953,7939
7928,7922
7973,7918
7975,7948
7956,7960
7984,7939
7955,7960
7983,7965
7971,7937
7951,7965
7981,7949
7967,7955
7956,7964
7978,7922
7957,7948
7988,7958
7984,7952
7957,7956
7972,7950
7982,7932
7986,7956
7978,7950
7952,7925
7971,7941
7991,7957
7949,7947
7974,7955
7975,7944
7984,7956
7966,7962
7974,7926
7955,7935
7976,7955
7945,7936
7959,7941
7972,7933
7962,7964
7936,7958
7977,7959
7972,7935
7977,7948
7954,7961
7984,7959
7986,7956
7987,7945
7964,7962
7980,7968
7936,7936
7973,7953
7947,7933
7991,7942
7991,7931
7978,7948
7933,7968
7975,7947
7973,7939
7984,7958
7949,7940
7964,7953
7989,7940
7968,7931
7952,7957
7958,7954
7977,7941
7969,7955
7984,7940
7975,7925
7996,7956
7972,7941
7994,7953
7955,7959
7980,7923
7945,7945
7967,7946
7948,7944
7985,7945
7971,7949
7975,7940
7967,7926
7991,7948
7941,7944
7977,7953
7951,7944
7965,7967
7969,7954
7952,7964
7949,7932
7981,7968
7952,7947
7985,7932
7961,7946
7980,7941
7944,7944
7940,7966
7953,7949
7978,7952
7950,7921
7976,7933
7959,7949
