230929-11:51:23
2
torque,speed
7971,7925
7949,7950
7986,7947
7951,7958
7977,7952
7983,7966
7972,7933
7961,7948
7950,7949
7977,7941
7981,7930
7963,7932
7957,7947
7954,7932
7928,7938
7974,7926
7955,7934
7971,7934
7961,7944
7976,7937
7966,7940
7977,7944
7965,7935
7979,7939
7944,7953
7999,7956
7975,7960
7960,7931
7983,7924
7977,7957
7946,7928
7956,7937
7973,7936
7968,7934
7965,7939
7988,7939
7961,7943
7989,7941
7963,7904
7972,7971
7958,7918
7981,7945
7963,7963
7954,7946
7964,7919
7963,7939
7965,7944
7971,7930
7956,7949
7978,7929
7967,7942
7958,7937
7951,7941
7993,7934
7974,7951
7963,7936
7963,7953
7973,7946
7970,7928
7967,7934
7978,7946
7981,7926
7947,7951
7967,7925
7957,7945
7970,7948
7957,7925
7968,7937
7951,7921
7987,7935
7955,7946
7978,7956
7956,7931
7968,7953
7948,7941
7950,7949
7981,7969
7970,7930
7917,7934
7968,7952
7962,7919
7980,7951
7986,7934
7968,7957
7985,7911
7968,7939
7970,7936
7958,7940
7962,7938
7951,7938
7950,7937
7961,7968
7989,7950
7965,7939
7961,7950
7974,7939
7980,7933
7988,7926
7982,7912
7959,7945
7988,7941
7986,7956
7972,7917
7964,7933
7988,7949
7976,7941
7965,7945
7965,7929
7980,7943
7998,7945
7948,7966
7949,7947
7981,7940
7960,7942
7984,7924
7970,7960
7989,7938
7988,7937
7979,7933
7966,7931
7990,7941
7973,7940
7988,7925
7984,7924
7964,7956
7980,7941
7964,7957
7962,7948
7967,7943
7972,7944
7988,7939
7984,7938
7959,7947
7962,7939
7934,7934
7943,7914
7975,7960
7986,7927
7951,7926
7967,7940
7978,7936
7965,7945
7953,7937
7975,7920
7982,7943
7973,7946
7971,7936
7949,7928
7976,7959
7971,7951
7966,7950
7999,7936
7996,7925
7937,7950
7969,7933
7948,7938
7987,7926
7974,7937
7984,7935
7974,7940
7990,7932
7922,7943
7965,7940
7979,7928
