231011-15:49:09
2
torque,speed
7965,7975
7987,7944
7992,7931
7986,7947
7978,7962
7989,7965
8011,7952
7987,7959
7981,7944
8006,7965
7994,7932
7978,7956
7968,7951
8001,7941
7997,7933
7968,7962
7975,7941
7977,7966
7984,7938
7965,7958
7999,7963
8013,7966
7979,7952
7994,7943
7979,7963
7993,7955
7962,7942
8000,7975
8003,7949
8000,7939
7984,7960
7994,7956
7954,7962
8001,7947
7987,7943
7990,7959
7995,7944
7987,7939
7998,7936
8008,7983
8009,7978
8012,7942
7991,7949
7977,7944
8001,7957
7982,7959
7986,7947
7987,7950
7995,7960
7992,7953
7990,7966
7988,7955
7990,7973
7983,7945
7991,7952
8000,7944
7990,7951
7990,7969
7970,7968
7995,7955
7982,7968
8008,7957
7973,7950
7986,7961
8006,7944
7962,7970
7990,7937
8003,7970
7986,7939
7970,7937
7974,7944
7999,7961
7986,7961
7978,7955
7989,7942
7984,7952
7982,7947
7983,7936
7981,7963
7993,7965
7976,7964
7987,7970
7962,7956
7983,7986
7989,7956
7993,7929
7995,7947
7991,7978
8008,7968
7957,7962
7985,7944
7989,7946
7988,7958
7978,7969
7962,7964
7981,7944
7974,7962
7997,7960
7996,7964
7971,7957
8002,7953
7981,7954
7991,7972
7982,7954
7996,7962
7980,7962
7976,7943
8003,7969
7981,7972
8000,7950
7973,7947
7997,7954
7978,7956
7998,7972
7967,7957
7996,7954
7964,7959
7976,7937
7984,7973
8005,7949
7982,7975
7976,7962
7982,7942
7993,7972
7993,7940
7971,7953
7995,7958
7974,7956
7990,7949
7972,7964
7992,7952
7981,7964
8000,7957
7981,7954
7975,7949
8000,7944
8013,7952
8011,7951
7986,7941
7993,7947
7993,7970
8000,7948
7994,7960
7997,7948
7986,7956
8002,7947
7992,7972
7996,7965
7994,7954
8007,7961
7999,7962
7984,7963
7986,7962
7997,7974
7969,7972
7969,7947
7992,7958
7994,7962
7978,7948
8005,7939
7979,7952
7971,7929
7992,7947
7984,7935
7998,7950
7986,7956
7981,7956
7997,7963
7987,7938
7995,7937
7988,7961
7964,7971
7993,7963
8002,7944
7989,7966
7994,7957
7986,7956
7971,7954
7975,7954
8011,7970
7971,7970
7978,7960
7991,7949
7963,7944
7985,7956
7992,7961
7994,7968
7978,7969
7991,7970
7993,7943
7970,7962
7987,7963
7995,7966
7992,7971
7967,7957
8012,7955
7999,7966
7983,7954
7995,7961
7990,7966
7996,7975
7997,7945
8001,7957
7993,7935
7982,7964
7991,7950
7982,7965
7974,7941
7968,7957
8000,7960
7997,7960
7982,7935
8003,7961
7999,7931
7985,7957
7994,7973
8003,7947
7974,7958
7989,7947
7992,7953
7973,7968
7992,7926
7991,7965
7958,7954
7987,7940
7994,7944
7999,7977
7975,7964
7996,7937
7975,7943
7992,7963
7968,7950
7986,7944
7981,7936
7982,7962
7996,7957
7989,7943
7987,7951
7972,7957
7987,7941
7971,7940
7989,7945
7994,7967
8006,7959
7987,7961
8025,7943
8006,7952
7976,7946
7990,7977
8004,7956
7990,7943
7973,7965
8004,7949
7981,7952
8004,7942
8009,7942
7991,7943
7977,7941
7973,7960
7982,7976
7981,7939
8016,7965
7982,7946
7987,7966
8002,7945
7990,7956
7985,7944
7985,7960
7968,7959
7999,7958
7983,7958
7990,7947
7999,7946
8003,7956
7988,7968
7974,7946
8007,7952
7978,7968
7981,7955
7996,7938
8005,7953
7980,7955
7987,7951
7976,7970
7982,7940
7983,7958
7984,7957
7977,7915
7978,7936
7990,7960
8000,7951
7987,7937
7999,7949
7988,7943
7975,7982
8013,7962
7992,7951
7983,7937
7988,7946
8011,7917
7986,7964
7977,7955
8004,7956
7973,7963
7986,7968
7989,7957
7997,7975
7985,7951
7999,7960
7991,7946
7989,7957
8004,7952
8006,7938
8009,7956
7987,7954
8009,7970
7986,7950
7980,7956
7997,7950
8009,7952
7973,7937
7977,7973
7970,7947
8002,7935
8001,7941
7993,7968
7991,7948
7994,7952
7982,7940
7993,7965
8010,7967
7991,7959
7985,7942
7983,7965
7986,7944
7983,7963
8021,7979
7972,7946
7957,7937
8001,7948
7992,7957
8009,7958
7977,7929
8002,7955
7977,7958
8014,7947
7985,7980
8006,7941
7985,7966
7979,7940
7996,7961
7975,7953
8006,7957
7973,7957
7971,7967
7977,7951
7988,7947
8005,7949
7984,7945
7970,7940
8015,7975
7984,7947
8005,7947
7999,7933
7987,7965
7983,7943
7974,7953
7992,7987
7987,7947
8012,7953
7971,7954
7972,7929
7998,7948
7997,7957
7967,7942
7980,7947
7978,7939
7984,7940
7969,7955
7987,7951
7998,7940
7955,7956
7988,7966
7977,7963
7980,7973
7982,7959
7995,7957
7985,7944
7952,7983
7986,7970
7993,7965
7995,7956
7994,7920
8000,7960
7990,7967
8005,7942
8003,7968
7988,7962
7967,7973
7982,7959
7987,7954
8002,7953
7983,7964
8003,7950
7991,7938
7977,7967
7989,7949
7999,7944
7992,7953
7999,7960
8000,7956
7953,7953
7991,7954
7995,7964
7990,7943
7978,7970
8003,7964
7971,7938
7996,7971
7990,7959
7984,7960
8003,7951
7987,7953
7995,7973
7952,7965
7997,7947
7997,7938
7987,7951
7969,7952
8004,7930
8011,7949
7994,7947
7973,7942
7957,7967
7982,7989
7982,7941
8000,7963
7990,7938
7998,7956
7973,7947
8000,7952
7988,7962
8001,7949
7996,7941
7984,7948
7973,7950
7972,7936
7996,7966
8003,7944
7983,7945
7985,7951
7996,7968
7969,7960
8015,7938
7984,7950
7959,7969
7989,7951
7992,7959
7959,7968
8004,7941
7979,7958
7981,7962
7964,7953
7995,7928
8003,7961
7984,7953
7985,7946
7983,7956
7984,7948
7974,7954
7984,7947
7993,7946
8005,7941
7995,7970
7995,7956
8013,7952
8013,7972
7991,7959
7990,7933
7982,7969
8001,7965
7988,7933
8004,7951
7977,7960
7966,7930
7990,7932
7978,7958
7993,7962
7998,7947
7968,7961
7974,7970
7991,7960
7971,7941
7982,7956
7977,7959
7986,7945
7972,7954
7965,7952
7993,7967
7971,7957
7980,7969
8003,7935
7984,7962
7977,7944
8014,7955
8018,7953
7964,7958
7998,7962
7998,7941
7990,7962
7980,7955
7984,7940
7982,7954
7973,7925
7996,7964
7999,7960
7982,7977
8001,7952
7967,7948
7988,7951
7993,7950
7993,7948
7998,7955
7983,7969
8003,7956
7981,7962
8006,7951
7969,7939
8014,7977
7997,7964
8016,7936
7991,7951
7999,7947
7989,7951
7988,7930
7984,7962
