231011-16:52:10
2
torque,speed
7970,7942
7965,7944
7950,7939
7955,7943
7964,7939
7972,7953
7928,7935
7957,7929
7933,7950
7972,7946
7962,7921
7943,7939
7960,7944
7952,7961
7918,7957
7950,7929
7960,7940
7943,7939
7931,7929
7947,7948
7974,7937
7928,7937
7948,7943
7936,7941
7950,7943
7948,7936
7955,7930
7965,7929
7948,7932
7959,7944
7961,7935
7977,7943
7954,7938
7971,7947
7966,7921
7968,7957
7966,7924
7957,7961
7952,7931
7946,7917
7971,7943
7950,7950
7947,7934
7967,7926
7960,7939
7953,7932
7961,7947
7946,7963
7959,7950
7954,7942
7967,7933
7946,7938
7926,7961
7947,7939
7959,7935
7970,7933
7958,7941
7967,7947
7950,7934
7942,7935
7972,7948
7972,7932
7949,7946
7963,7949
7950,7961
7967,7934
7958,7932
7951,7952
7972,7952
7963,7940
7946,7936
7962,7946
7960,7946
7953,7946
7970,7956
7953,7937
7924,7936
7965,7925
7965,7931
7949,7927
7958,7920
7951,7933
7956,7953
7916,7947
7937,7922
7943,7940
7944,7944
7962,7938
7964,7938
7967,7957
7947,7970
7945,7934
7980,7955
7944,7957
7943,7944
7972,7945
7949,7924
7961,7951
7934,7952
7951,7959
7958,7950
7959,7970
7949,7938
7942,7944
7972,7938
7960,7946
7973,7951
7942,7957
7962,7917
7954,7944
7964,7940
7957,7948
7972,7941
7954,7908
7947,7927
7964,7933
7963,7937
7952,7928
7956,7939
7947,7931
7984,7938
7970,7941
7938,7939
7968,7929
7946,7943
7980,7934
7961,7943
7945,7939
7950,7959
7961,7950
7929,7929
7969,7920
7954,7938
7953,7933
7931,7945
7973,7927
7977,7934
7942,7936
7956,7936
7924,7954
7977,7954
7960,7927
7947,7936
7951,7932
7977,7936
7940,7942
7971,7956
7959,7938
7950,7933
7951,7942
7958,7930
7940,7923
7960,7944
7976,7958
7980,7940
7948,7946
7954,7975
7965,7945
7936,7966
7952,7928
7959,7939
7976,7944
7955,7937
7952,7934
7967,7932
7956,7941
7940,7936
7956,7945
7967,7934
7937,7955
7957,7947
7945,7941
7952,7930
7962,7938
7964,7942
7966,7931
7975,7935
7959,7953
7968,7940
7946,7919
7968,7958
7972,7956
7942,7930
7960,7940
7962,7940
7953,7941
7954,7951
7970,7943
7944,7949
7965,7957
7947,7933
7965,7936
7954,7953
7952,7940
7973,7939
7950,7925
7938,7932
7953,7948
7944,7951
7963,7933
7947,7956
7965,7938
7946,7952
7957,7937
7970,7952
7953,7933
7962,7959
7976,7958
7971,7956
7937,7949
7921,7945
7964,7932
7955,7951
7956,7948
7966,7942
7953,7949
7969,7944
7961,7928
7961,7951
7948,7949
7941,7943
7963,7956
7939,7930
7967,7953
7944,7917
7966,7928
7945,7939
7936,7949
7954,7924
7948,7932
7971,7934
7954,7936
7967,7911
7951,7948
7967,7939
7973,7941
7969,7940
7944,7932
7974,7948
7926,7940
7946,7938
7939,7929
7964,7936
7942,7958
7923,7953
7957,7930
7942,7943
7948,7935
7961,7946
7946,7932
7962,7935
7951,7952
7972,7952
7954,7946
7941,7948
7964,7940
7954,7961
7953,7930
7954,7949
7978,7967
7968,7945
7923,7932
7968,7921
7965,7943
7975,7955
7955,7951
7949,7951
7956,7946
7928,7937
7954,7943
7972,7947
7951,7938
7963,7959
7944,7956
7952,7947
7946,7933
7978,7969
7952,7954
7959,7927
7963,7937
7965,7964
7967,7928
7956,7928
7980,7944
7961,7921
7949,7946
7939,7926
7959,7938
7928,7929
7963,7943
7975,7934
7962,7968
7954,7947
7952,7937
7965,7949
7968,7950
7961,7933
7933,7943
7967,7957
7951,7929
7978,7940
7968,7955
7919,7954
7943,7928
7963,7930
7938,7939
7946,7968
7963,7942
7978,7953
7945,7952
7967,7940
7957,7947
7954,7953
7970,7943
7956,7937
7941,7948
7958,7950
7983,7934
7953,7994
7945,7926
7947,7926
7974,7946
7947,7960
7930,7941
7967,7962
7944,7948
7949,7950
7933,7947
7957,7954
7980,7932
7953,7932
7921,7941
7962,7942
7962,7933
7955,7945
7955,7932
7973,7930
7942,7952
7962,7934
7974,7948
7980,7927
7956,7947
7977,7937
7943,7925
7932,7959
7963,7928
7953,7945
7941,7949
7955,7925
7970,7920
7941,7935
7962,7946
7969,7953
7944,7927
7939,7940
7963,7953
7964,7953
7953,7947
7940,7939
7965,7931
7942,7956
7949,7930
7956,7928
7924,7938
7957,7938
7948,7945
7956,7919
7938,7934
7953,7952
7956,7944
7947,7918
7925,7937
7957,7942
7961,7917
7949,7955
7935,7937
7969,7948
7922,7921
7944,7942
7964,7931
7946,7953
7982,7935
7941,7940
7961,7938
7938,7943
7955,7934
