231011-16:41:18
2
torque,speed
7957,7936
7975,7936
7971,7959
7975,7935
7977,7927
7962,7965
7955,7946
7966,7947
7969,7957
7952,7937
7976,7931
7954,7960
7975,7921
7964,7945
7986,7924
7966,7931
7955,7948
7971,7933
7972,7969
7960,7944
7959,7942
7974,7957
7962,7952
7977,7940
7975,7948
7968,7951
7940,7928
7977,7950
7963,7926
7965,7938
7969,7943
7960,7943
7979,7946
7960,7952
7965,7945
7974,7954
7978,7931
7959,7939
7976,7933
7977,7930
7974,7937
7977,7940
7974,7959
7957,7943
7978,7953
7969,7932
7988,7953
7961,7967
7985,7936
7967,7958
7974,7939
7973,7937
7977,7960
7989,7951
7965,7949
7986,7946
7967,7945
7961,7955
7961,7949
7972,7953
7944,7952
7960,7935
7951,7947
7952,7938
7934,7942
7982,7933
7965,7947
7969,7933
7975,7956
7974,7947
7980,7983
7944,7943
7989,7951
7977,7949
7967,7957
7950,7937
7985,7923
7930,7950
7989,7938
7967,7939
7974,7948
7969,7963
7970,7954
7974,7940
7984,7957
7957,7949
7953,7956
7976,7940
7956,7930
7977,7922
7981,7941
7958,7948
7950,7955
7984,7939
7966,7963
7985,7927
7960,7942
7966,7960
7962,7957
7950,7921
7955,7947
7978,7944
7967,7933
7976,7947
7961,7939
7970,7951
7971,7946
7982,7922
7963,7927
7952,7932
7972,7933
7955,7959
7973,7963
7953,7933
7991,7944
7986,7943
7963,7939
7956,7938
7971,7941
7950,7947
7967,7928
7981,7934
7974,7934
7947,7958
7976,7940
7966,7945
7972,7931
7975,7944
7953,7957
7972,7959
7968,7940
7985,7928
7990,7931
7945,7940
7964,7940
7984,7933
7964,7946
7989,7936
7962,7960
7968,7934
7952,7937
7976,7960
7976,7929
7968,7948
7960,7929
7968,7952
7991,7943
7975,7948
7980,7947
7971,7959
7974,7948
7962,7943
7979,7956
7971,7940
7966,7923
7959,7931
7984,7939
7959,7941
7974,7934
7972,7935
7982,7957
7960,7935
7956,7936
7964,7958
7967,7953
7960,7935
7978,7939
7979,7914
7960,7947
7982,7959
7982,7940
7970,7948
7963,7933
7973,7937
7966,7920
7949,7946
7977,7938
7947,7949
7958,7930
7971,7927
7971,7944
7970,7947
7956,7931
7967,7924
7971,7932
7935,7940
7979,7939
7945,7947
7966,7942
7953,7963
7985,7950
7953,7937
7947,7937
7963,7950
7977,7947
7951,7922
7970,7934
7989,7952
7961,7923
7961,7932
7979,7934
7984,7933
7968,7947
7980,7944
7957,7932
7966,7915
7959,7946
7974,7956
7952,7948
7998,7958
7968,7950
7955,7943
7981,7942
7961,7957
7961,7934
7958,7923
7955,7946
7952,7931
7976,7948
7954,7950
7982,7957
7956,7968
7972,7951
7966,7955
7975,7953
7967,7950
7932,7955
7955,7929
7962,7930
7959,7935
7958,7943
7987,7931
7969,7946
7963,7958
7958,7931
7980,7952
7943,7959
7982,7950
7955,7943
7979,7959
7946,7951
7972,7952
7989,7938
7980,7940
7958,7950
7945,7936
7969,7932
7956,7937
7950,7946
7970,7963
7950,7930
7977,7931
7985,7932
7950,7923
7964,7933
7958,7927
7980,7939
7940,7951
7971,7923
7956,7941
7955,7971
7958,7940
7979,7962
7997,7929
7955,7929
7959,7967
7979,7943
7977,7944
7953,7940
7981,7920
7970,7981
7960,7931
7967,7936
7976,7951
7964,7937
7975,7948
7961,7954
7988,7941
7969,7940
7981,7936
7951,7927
7968,7945
7986,7959
7948,7945
7986,7946
7949,7949
7964,7935
7956,7953
7958,7938
7937,7925
7989,7942
7973,7924
7966,7958
7957,7953
7972,7947
7967,7928
7957,7944
7964,7917
7961,7933
7938,7961
7986,7940
7984,7962
7942,7951
7965,7937
7972,7946
7992,7949
7943,7955
7960,7920
7985,7932
7966,7958
7982,7941
7972,7947
7983,7925
7967,7958
7949,7941
7965,7947
7947,7954
7953,7947
7973,7969
7966,7949
7961,7925
7944,7930
7980,7949
7953,7929
7975,7912
7939,7931
7994,7928
7965,7938
7981,7942
7959,7918
7967,7925
7997,7950
7969,7939
7963,7946
7967,7947
7981,7917
7957,7955
