231019-11:19:49
2
torque,speed
8005,7984
7984,7977
7967,7966
7996,7965
7984,7981
8013,7970
8007,7970
7987,7949
7966,7952
7985,7967
7981,7969
7941,7972
7986,7954
7951,7965
7971,7962
7973,7970
7982,7990
7962,7966
7960,7964
7989,7976
7977,7967
7972,7970
7979,7962
7989,7969
7961,7956
7957,7986
8013,7982
7994,7964
7978,7982
7996,7986
7997,7970
7975,7973
7959,7973
7978,7968
7940,7935
7982,7963
8003,7972
7973,7955
7968,7966
7990,7967
7994,7967
7979,7974
7978,7965
7988,7975
7977,7965
7984,7969
7966,7973
8003,7987
7952,7969
7975,7972
7971,7955
7991,7948
7988,7957
7960,7967
7996,7971
7955,7970
7995,7966
7955,7974
7993,7950
7984,7960
7962,7985
7994,7981
7989,7964
7990,7971
7982,7959
7996,7977
7974,7962
7986,7975
7983,7963
7946,7969
8007,7950
7984,7967
7980,7963
7979,7993
7987,7958
7969,7976
7971,7983
7997,7980
7969,7983
7994,7968
7945,7962
7989,7972
7968,7987
7996,7966
7965,7965
8002,7963
7993,7974
7970,7977
7991,7950
7972,7960
7992,7963
7961,7974
8012,7966
7967,7967
7975,7976
7977,7965
7963,7956
7993,7952
7967,7969
7978,7957
7978,7958
7949,7977
7985,7974
7975,7974
7978,7980
7967,7963
7987,7966
7967,7987
8002,7965
7987,7974
7975,7965
7997,7960
7983,7975
7978,7963
7995,7981
7997,7966
7985,7968
7980,7958
7997,7955
7958,7958
7980,7965
7983,7976
7977,7982
7978,7961
7994,7985
7963,7967
7952,7964
7981,7977
7987,7977
7994,7968
7986,7982
7976,7968
7990,7959
7986,7950
7999,7957
8019,7977
7995,7960
7987,7977
7974,7962
7966,7968
7989,7973
7978,7974
7985,7997
7984,7960
7993,7972
7936,7960
7986,7976
7992,7968
7974,7980
7961,7975
7974,7970
7980,7954
7978,7968
8004,7964
8001,7971
7987,7955
7971,7973
8000,7960
7961,7967
7997,7954
7973,7992
7978,7968
7990,7961
7955,7970
7974,7977
7982,7964
7997,7958
7967,7974
7960,7977
7979,7973
7967,7960
7986,7963
7982,7983
7983,7963
7972,7972
7975,7967
7976,7980
7965,7948
7999,7959
7991,7951
7987,7984
7987,7955
7977,7972
7964,7972
7973,7969
7974,7969
7972,7972
7995,7968
7955,7966
7975,7979
7975,7971
7994,7977
7989,7957
7967,7969
7999,7958
7962,7976
7983,7965
7967,7957
8002,7956
7961,7956
8015,7963
7992,7966
7967,7963
7993,7961
7977,7947
7977,7960
7954,7963
7979,7960
7975,7969
7996,7947
7995,7971
7994,7970
7978,7959
7968,7961
7968,7949
7983,7968
7994,7965
7992,7964
7985,7952
7984,7971
7977,7980
7982,7957
8001,7966
7997,7967
7966,7967
7973,7959
7968,7953
8013,7973
7965,7974
7990,7972
7956,7963
7972,7964
7955,7975
7985,7952
7963,7975
7968,7966
8003,7961
7950,7969
7969,7967
7981,7975
7985,7949
7985,7962
7981,7954
7987,7961
7963,7955
7988,7963
7937,7976
7994,7970
7965,7968
7998,7966
7979,7964
7973,7954
7971,7980
7995,7949
7994,7958
7999,7947
7991,7969
7975,7966
8004,7958
7972,7966
7974,7951
8000,7979
7968,7958
7979,7950
7980,7980
7973,7963
7962,7978
7969,7962
7992,7972
7936,7960
7963,7969
7996,7954
7978,7973
7960,7985
7985,7970
7959,7977
7957,7943
7969,7983
7980,7979
7972,7969
7983,7994
8004,7967
7974,7965
8005,7963
8003,7972
7984,7964
7981,7968
7973,7984
7956,7967
7984,7952
7961,7962
7987,7961
7963,7955
7992,7970
7993,7977
7956,7971
7972,7967
8001,7941
7978,7972
