231012-14:43:39
2
torque,speed
7976,4842
7957,5306
7960,5408
7963,5172
7977,4650
7970,4407
7951,4114
7969,4298
7965,4573
7945,5134
7960,5368
7983,5277
7969,4875
7959,4645
7984,4151
7947,4216
7960,4410
7974,4972
7961,5324
7968,5332
7980,5118
7959,4507
7960,4308
7977,4234
7924,4386
7975,4640
7966,5152
7971,5291
7960,5298
7959,4851
7965,4289
7960,4131
7977,4290
7964,4625
7960,5091
7952,5406
7991,5198
7946,5068
7992,4431
7979,4106
7940,4270
7956,4459
7959,5075
7995,5256
7962,5224
7991,5070
7976,4790
7956,4182
7958,4244
7954,4316
7973,4718
7958,5260
7973,5388
7949,5211
7961,4695
7976,4435
7942,4085
7980,4303
7926,4544
7992,5072
7954,5323
7977,5259
7981,4938
7956,4718
7973,4225
7940,4228
7963,4367
7945,4908
7966,5294
7953,5367
7951,5170
7949,4591
7951,4416
7961,4166
7976,4342
7972,4633
7958,5177
7967,5294
7965,5275
7970,4912
7965,4292
7955,4159
7964,4298
7978,4602
7981,5022
7953,5377
7969,5239
7952,5115
7973,4476
7974,4103
7911,4241
7953,4405
7937,5019
7985,5190
7961,5294
7979,5064
7985,4865
7934,4278
7964,4213
7986,4292
7978,4688
7973,5215
7966,5417
7951,5184
7960,5043
7978,4462
7958,4094
7966,4272
7973,4519
7951,5071
7955,5263
7985,5255
7968,4966
7938,4795
7964,4208
7977,4259
7964,4331
7970,4829
7972,5246
7942,5397
7950,5199
7968,4634
7965,4381
7964,4150
7961,4323
7980,4588
7983,5126
7977,5300
7965,5295
7947,4937
7992,4326
7965,4195
7970,4238
7967,4551
7966,4932
7953,5324
7964,5217
7952,5169
7953,4564
7977,4152
7977,4242
7957,4383
7977,4973
7978,5204
7979,5275
7987,5114
7988,4898
7964,4263
7966,4184
7964,4310
7988,4608
7962,5199
7970,5392
7953,5211
7953,5096
7965,4471
7966,4081
7976,4290
7959,4478
7962,5013
7946,5255
7949,5290
7980,5012
7966,4868
7948,4238
7981,4206
7958,4329
7966,4701
7949,5239
7974,5393
7973,5224
7965,4718
7982,4480
7954,4085
7978,4288
7969,4561
7969,5098
7953,5323
7961,5299
7952,4985
7968,4372
7996,4229
7948,4250
7987,4554
7959,4895
7959,5242
7978,5254
7967,5187
7954,4597
7963,4186
7966,4211
7956,4320
7979,4865
7959,5171
7966,5290
7952,5104
7951,4891
7982,4304
7908,4193
7971,4295
7964,4584
7960,5172
7950,5375
7971,5216
7945,5149
7943,4564
7968,4066
7976,4241
7990,4450
7957,4979
7969,5202
7952,5320
7969,5055
7993,4923
7965,4313
7964,4179
7957,4351
7964,4661
7956,5174
7973,5432
7976,5255
7958,4814
7965,4483
7946,4160
7964,4263
7968,4521
7985,5077
7966,5372
7948,5320
8000,4979
7987,4376
7949,4270
7984,4269
7945,4516
7987,4816
7978,5250
7983,5203
7957,5228
7956,4684
7979,4217
7939,4175
7966,4301
7942,4863
7974,5166
7945,5325
7973,5191
7966,4989
7952,4335
7957,4181
7938,4314
7982,4552
7961,4930
7972,5323
7954,5234
7961,5184
7983,4601
7969,4117
7966,4248
7975,4414
7968,4892
7937,5213
7973,5328
7967,5057
7945,4898
7975,4344
7954,4167
7952,4307
7963,4654
7959,5169
7957,5407
7970,5214
7969,4854
7958,4540
7949,4103
7983,4292
7987,4511
7996,5045
7966,5368
7961,5345
7981,5030
7967,4434
7971,4289
7964,4230
7946,4448
7968,4751
7950,5199
7991,5248
7980,5250
7970,4765
7968,4236
7971,4170
7953,4263
7960,4751
7968,5087
7967,5391
7960,5181
7949,4994
7991,4417
7953,4135
7983,4276
7967,4505
7971,4853
7961,5322
7958,5201
7940,5203
7964,4700
7981,4152
7954,4187
7977,4369
7956,4883
7954,5191
7993,5338
7994,5168
7969,4961
7954,4365
7966,4165
7958,4342
7980,4603
7972,5109
7965,5381
7952,5273
7957,4864
7950,4591
7937,4159
7977,4268
7958,4445
7978,4988
7952,5341
7979,5346
7955,5065
7938,4491
7978,4359
7949,4177
7959,4418
7966,4680
7956,5161
7965,5275
7971,5242
7971,4798
7957,4286
7956,4125
7968,4288
7978,4696
7953,5102
7975,5334
7948,5237
7956,5065
7990,4393
7946,4277
7966,4300
7971,4474
7967,4779
7967,5251
7957,5218
7981,5278
7974,4726
7953,4211
7974,4207
7967,4329
7983,4788
7968,5106
7969,5364
7967,5161
7988,5005
7968,4409
7950,4111
7965,4308
7994,4581
7974,5134
7956,5313
7973,5262
7941,4884
7973,4667
7958,4147
7969,4231
7978,4448
7957,4884
7973,5292
7952,5341
7980,5100
7965,4541
7958,4346
7973,4194
7941,4411
7968,4640
7954,5139
7972,5313
7953,5259
7968,4839
7980,4336
7938,4140
7975,4298
7966,4647
7983,5065
7974,5371
7985,5197
7950,5051
7969,4446
7973,4392
7956,4241
7973,4437
7963,4696
7977,5245
7956,5229
7991,5260
7964,4809
7982,4217
7971,4137
7944,4320
7970,4728
7977,5108
7964,5386
7945,5205
7963,5035
7948,4412
7971,4136
7989,4329
7969,4518
7952,5035
7960,5322
7972,5225
7954,4912
7963,4710
7964,4207
7970,4265
7963,4370
7934,4859
7974,5281
7950,5350
7970,5132
7970,4624
7970,4385
7949,4141
7964,4356
7941,4610
7944,5114
7975,5308
7948,5248
7948,4898
7951,4308
7977,4160
7938,4289
7973,4618
7975,4980
7961,5318
7946,5356
7968,5109
7918,4505
7944,4323
7968,4245
7937,4394
7972,4664
7953,5179
7974,5256
7950,5272
7964,4864
7972,4278
7962,4183
7967,4320
7937,4637
7957,5107
7979,5398
7971,5166
7933,5079
7976,4449
7970,4102
7964,4258
7959,4490
7978,5088
7961,5260
7951,5209
7991,5007
7942,4802
7980,4203
7983,4261
7945,4328
7973,4735
7958,5236
7956,5381
7958,5190
7971,4660
7977,4399
7936,4133
7959,4351
7964,4561
7950,5106
7962,5344
7975,5296
7950,4921
7963,4380
7968,4242
7941,4260
7974,4415
7967,4930
7973,5302
7941,5384
7981,5140
7960,4557
7939,4386
7971,4200
7958,4385
7980,4649
7967,5209
