231012-14:55:59
2
torque,speed
7970,7944
7959,7921
7966,7944
7966,7959
7993,7955
7962,7932
7959,7961
7973,7928
7957,7963
7982,7938
7956,7932
7985,7928
7970,7933
7977,7943
7973,7961
7977,7949
7971,7948
7971,7962
7954,7945
7937,7949
7982,7942
7966,7959
7963,7918
7964,7957
7986,7944
7961,7946
7968,7955
7953,7956
7993,7956
7973,7958
7991,7944
7982,7961
7953,7952
7981,7916
7965,7954
7992,7944
7949,7934
7956,7965
7958,7938
7979,7949
7983,7955
7937,7952
7969,7954
7967,7948
7961,7951
7966,7953
7990,7945
7958,7943
7969,7939
7970,7945
7944,7960
7971,7957
7975,7955
7975,7945
7960,7956
7961,7954
8005,7942
7950,7956
7978,7951
7993,7933
7962,7951
7966,7943
7977,7935
7953,7937
7950,7939
7968,7964
7991,7952
7960,7937
7969,7960
7968,7946
7969,7932
7984,7948
7972,7944
7977,7950
7960,7946
7960,7942
7957,7945
7980,7960
7970,7950
7976,7950
7961,7955
7971,7957
7978,7945
7944,7944
7969,7953
7965,7936
7965,7956
7954,7949
7972,7928
7968,7937
7964,7949
7980,7963
7943,7947
7960,7962
7961,7941
7958,7944
7948,7935
7969,7928
7976,7948
7968,7932
7980,7943
7993,7945
7983,7916
7947,7948
7977,7950
7954,7928
7954,7965
7966,7932
7978,7962
7973,7943
7962,7953
7967,7958
7964,7961
7969,7952
7973,7961
7955,7928
7959,7950
7966,7938
7971,7954
7973,7940
7977,7952
7958,7943
7995,7949
7985,7949
7957,7941
7962,7924
7967,7942
7969,7951
7966,7954
7963,7947
7938,7936
7948,7942
7960,7964
7973,7942
7955,7941
7961,7947
7969,7924
7962,7941
7985,7957
7980,7935
7954,7941
7965,7939
7967,7949
7946,7947
7976,7951
7986,7952
7993,7951
7974,7940
7997,7947
7988,7940
7941,7945
7990,7948
7962,7941
7958,7967
7953,7962
7975,7930
7960,7939
7949,7964
7972,7965
7956,7943
7978,7945
7944,7944
7981,7962
7957,7942
7987,7953
