231012-13:51:04
2
torque,speed
7964,7956
7955,7939
7972,7947
7959,7956
7979,7953
7959,7953
7962,7959
7977,7945
7953,7963
7978,7958
7968,7940
7969,7949
7964,7940
7955,7938
7963,7962
7978,7952
7978,7967
7977,7977
7981,7928
7947,7969
7981,7948
7939,7936
7977,7963
7985,7955
7946,7967
7981,7964
7969,7954
7965,7964
7958,7931
7984,7948
7968,7940
7959,7966
7972,7949
7965,7957
7968,7964
7969,7943
7989,7968
7933,7954
7953,7951
7969,7942
7938,7968
7960,7955
7937,7964
7968,7946
7976,7960
7977,7959
7947,7946
7984,7948
7980,7951
7926,7943
7974,7954
7991,7967
7977,7968
7965,7973
7968,7952
7961,7934
7937,7948
7971,7952
7977,7954
7969,7942
7970,7957
7950,7977
7939,7963
7999,7967
7976,7942
7950,7939
7975,7957
7974,7953
7976,7987
7968,7954
7957,7964
7944,7958
7972,7947
7969,7957
7944,7975
7980,7958
7984,7947
7978,7941
7943,7945
7980,7964
7972,7940
7960,7956
7981,7940
7954,7962
7970,7964
7965,7967
7964,7941
7963,7974
7984,7951
7959,7955
7950,7957
7979,7950
7947,7960
7997,7942
7966,7944
7967,7958
7942,7939
7955,7959
7979,7958
7961,7943
7972,7956
7956,7949
7964,7954
7954,7961
7961,7953
7967,7941
7966,7974
7984,7955
7975,7947
7987,7950
7942,7954
7954,7970
7939,7962
7983,7962
7976,7962
7962,7948
7978,7966
7951,7943
7971,7941
7952,7952
7978,7945
7952,7966
7923,7955
7971,7977
7960,7961
7984,7940
7943,7944
7976,7970
7965,7942
7974,7957
7956,7948
7958,7955
7980,7962
7961,7962
7969,7953
7968,7969
7976,7973
7959,7962
7980,7960
7989,7958
7968,7970
7964,7948
7983,7947
7962,7957
7967,7947
7978,7940
7957,7954
7972,7965
7972,7941
7945,7959
7973,7943
7958,7961
7963,7957
7967,7937
7962,7951
7965,7949
7946,7935
7966,7938
7977,7950
7982,7959
7962,7965
7965,7959
7955,7976
7963,7954
7952,7952
7963,7953
7976,7966
7960,7935
7969,7955
7947,7925
7993,7942
7946,7973
7987,7968
7966,7950
7941,7969
7969,7945
7954,7969
7980,7956
7949,7953
8002,7963
7971,7954
7969,7936
7962,7953
7964,7952
7968,7954
7963,7956
7959,7945
7957,7941
7987,7942
7973,7958
7968,7970
7970,7946
7980,7952
7980,7948
7971,7940
7987,7945
7963,7952
7939,7962
7963,7943
7979,7952
7955,7959
7941,7950
7983,7956
7978,7958
7989,7962
7968,7964
7955,7952
7967,7963
7981,7974
7985,7968
7977,7954
7965,7957
7978,7943
7965,7958
7979,7964
7967,7972
7960,7962
7979,7959
7978,7953
7962,7959
7951,7953
7978,7963
7953,7971
7977,7952
7972,7962
7959,7976
7963,7961
7948,7958
7968,7954
7967,7972
7959,7963
7979,7965
7965,7944
7983,7954
7954,7954
7987,7945
7995,7932
7984,7947
7954,7969
7987,7950
7987,7959
7969,7937
7961,7962
7943,7935
7976,7939
7947,7955
7977,7944
7952,7964
7942,7961
7976,7981
7943,7957
7954,7934
7960,7966
7973,7950
7959,7949
7982,8004
7991,7951
7967,7935
7975,7943
7961,7969
7985,7984
7947,7956
7958,7940
7951,7955
7929,7947
7972,7936
7977,7964
7960,7942
7955,7964
7993,7940
7946,7952
7992,7953
7954,7958
7962,7949
7956,7946
7968,7956
7948,7976
7967,7949
7985,7930
7945,7969
7960,7945
7985,7958
7988,7933
7968,7938
7966,7950
7979,7952
7949,7941
7933,7956
7962,7950
7946,7944
7966,7957
7968,7963
7946,7949
7961,7967
7976,7953
7971,7952
7962,7932
7984,7955
7968,7940
7962,7963
7999,7962
7951,7981
7958,7953
7967,7953
7982,7953
7971,7942
7960,7931
7966,7944
7949,7959
7966,7955
7950,7949
7960,7943
7961,7943
7965,7965
7952,7969
7957,7963
7981,7974
7956,7965
7984,7961
7949,7964
7967,7955
7961,7958
7965,7936
7978,7953
7969,7956
7974,7943
7951,7950
7982,7963
7989,7953
7969,7967
7967,7947
7964,7960
7961,7962
7969,7960
7961,7947
7962,7951
7986,7953
7954,7953
7996,7963
7973,7949
7978,7945
7971,7960
7967,7952
7993,7952
7947,7970
7959,7945
7942,7944
7973,7972
7976,7976
7928,7959
7957,7946
7970,7972
7970,7974
7948,7941
7997,7931
7960,7962
7956,7950
7960,7948
7976,7947
7981,7945
7978,7958
7980,7950
7941,7966
7986,7955
7979,7961
7960,7965
7964,7955
7975,7957
7969,7964
7954,7964
7977,7950
7971,7924
7956,7966
7968,7961
7977,7966
7945,7961
7948,7944
7976,7966
7972,7964
7972,7949
7983,7954
7966,7962
7942,7958
7981,7967
7963,7955
7972,7962
7943,7932
7948,7955
7945,7978
7976,7952
7971,7940
7970,7968
7984,7953
7971,7951
7966,7940
7981,7953
7977,7942
7942,7956
7960,7948
7966,7964
7961,7956
7962,7945
7944,7942
7975,7949
7961,7970
7982,7962
7977,7959
7948,7963
7980,7967
7966,7947
7978,7963
7959,7949
7958,7960
7944,7956
7964,7980
7984,7947
7930,7950
7974,7962
7937,7963
7965,7950
7964,7968
7989,7955
7967,7933
7940,7958
7981,7965
7973,7963
7981,7949
7983,7962
7977,7946
7934,7931
7956,7949
7980,7970
7935,7954
7979,7946
7982,7937
7957,7966
7956,7960
7958,7959
7939,7974
7973,7942
7979,7953
7969,7963
7975,7961
7921,7964
7968,7954
7956,7970
7979,7963
7970,7973
7958,7944
7971,7952
7954,7956
7966,7971
7958,7962
7974,7978
7949,7967
7966,7959
7974,7968
7969,7939
7956,7953
7967,7954
7957,7954
7949,7961
7976,7952
7966,7950
7967,7981
7954,7967
7995,7959
7966,7945
7970,7951
7983,7955
7952,7932
7979,7966
7977,7960
7978,7972
7944,7951
7968,7936
7928,7969
7967,7960
7981,7953
7980,7959
7954,7953
7975,7942
7973,7957
7925,7961
7963,7968
7974,7940
7947,7952
7967,7957
