231101-12:19:50
2
torque,speed
8029,7967
8031,7950
8010,7958
8049,7958
8032,7940
8025,7944
8012,7954
8038,7962
8043,7967
8024,7954
8034,7951
8005,7957
8040,7960
8007,7933
8018,7951
8020,7969
8023,7952
8037,7945
8021,7965
8035,7973
8035,7927
8037,7951
8023,7967
8025,7950
8026,7952
8028,7943
8025,7967
8022,7947
8045,7930
8035,7964
8013,7975
8046,7960
8040,7973
8034,7972
8005,7948
8040,7965
8026,7953
8046,7955
8007,7955
8037,7961
8052,7958
8015,7944
8019,7937
8037,7946
8035,7950
8054,7961
8046,7957
8033,7971
8016,7950
8047,7954
8038,7946
8023,7946
8036,7952
8039,7952
8030,7946
8023,7961
8028,7959
8048,7950
8042,7960
8046,7957
8042,7941
8053,7948
8023,7938
8016,7972
8020,7961
8066,7960
8044,7936
8012,7961
8040,7958
8010,7972
8020,7959
8037,7959
8019,7965
8034,7938
8059,7949
8018,7962
8038,7960
8055,7943
8014,7958
8073,7962
8013,7979
8011,7940
8039,7963
8038,7957
8052,7962
8050,7962
8052,7955
8037,7954
8016,7976
8047,7961
8019,7955
8056,7942
8017,7972
8024,7956
8015,7953
8019,7952
8021,7980
8029,7966
8047,7950
8007,7942
8058,7955
8010,7963
8015,7938
8035,7982
8028,7941
8013,7976
8029,7948
8040,7955
8036,7929
8046,7954
8035,7967
8035,7949
8066,7949
8018,7950
7999,7954
8037,7951
8021,7942
8019,7952
8047,7966
8042,7949
8031,7946
8036,7958
8037,7973
8040,7964
8028,7955
8019,7972
8049,7957
8028,7940
8056,7961
8047,7957
8051,7959
8036,7955
8036,7948
8042,7944
8018,7958
8055,7973
8059,7969
8047,7971
8016,7943
8044,7971
8018,7960
8036,7934
8031,7976
8019,7953
8035,7940
8018,7971
8009,7954
8037,7969
8024,7941
8032,7954
8031,7966
8019,7940
8044,7971
8016,7960
8036,7972
8033,7955
8038,7948
8042,7950
8005,7937
8022,7974
8024,7938
8030,7952
8001,7954
8038,7954
8038,7951
8005,7956
8053,7934
8026,7980
8036,7961
8026,7951
8022,7947
8013,7951
8045,7955
8059,7955
8018,7955
8057,7958
8021,7958
8038,7936
8053,7953
8022,7946
8038,7961
8057,7943
8030,7946
8041,7942
8029,7973
8026,7943
8017,7953
8042,7966
8043,7953
8026,7960
8004,7974
8036,7952
8001,7953
8022,7959
8030,7965
8020,7962
8047,7972
8034,7941
8041,7972
8048,7957
8035,7961
8041,7939
8027,7965
8034,7972
8033,7956
8040,7950
8050,7952
8015,7960
8049,7944
8040,7948
8022,7953
8016,7938
8019,7968
8017,7963
8034,7950
8039,7948
8029,7930
8041,7944
8030,7947
8043,7936
8041,7956
8034,7941
8044,7946
8043,7947
8053,7950
8035,7942
8036,7946
8045,7954
8023,7958
8008,7945
8003,7960
8056,7957
8023,7949
8042,7957
8038,7966
8031,7956
