231101-11:33:38
2
torque,speed
8013,7959
7993,7984
7999,7965
8025,7971
7977,7966
8012,7987
8001,7974
8007,7969
7986,7960
7998,7962
8013,7976
7990,7941
8010,7972
8011,7952
7994,7981
8002,7949
7965,7972
7994,7957
8012,7949
8013,7964
8006,7959
7987,7941
7998,7973
8006,7960
8007,7956
7976,7967
7984,7941
7999,7960
8002,7963
7975,7954
7983,7966
7998,7954
7992,7964
8003,7956
7999,7962
7989,7984
8007,7975
8000,7968
7998,7972
7992,7957
7988,7955
7991,7940
7997,7957
7997,7982
8001,7952
7999,7947
7996,7949
7963,7956
8023,7939
7992,7966
7978,7944
8003,7953
7989,7962
7981,7970
7980,7977
8005,7979
7971,7971
8002,7978
7992,7963
8012,7961
8001,7957
8015,7970
8010,7973
8000,7951
7991,7954
8000,7947
8016,7955
8009,7960
8001,7975
8002,7954
8010,7933
7997,7963
8002,7958
8004,7964
8003,7932
7990,7966
7990,7973
7996,7961
8007,7959
7991,7978
8019,7949
8001,7934
8006,7972
7986,7973
7980,7985
7987,7952
7994,7977
7997,7950
8002,7960
8005,7955
7989,7949
8003,7958
8006,7965
7976,7953
8005,7948
7983,7956
7976,7959
7985,7967
7982,7950
7986,7962
7982,7956
7984,7967
7985,7966
8006,7951
8000,7941
7978,7951
8006,7962
7996,7955
7997,7974
7989,7964
8017,7954
7969,7949
8011,7970
7980,7976
7987,7969
7981,7964
7989,7956
7992,7964
7992,7963
8019,7948
7984,7954
8024,7966
7997,7947
7987,7956
7996,7958
8020,7939
7988,7964
7963,7974
8009,7960
7993,7953
7990,7967
7975,7955
7972,7966
7960,7945
7989,7950
8002,7957
7985,7961
7981,7951
7991,7950
7985,7948
8012,7956
8011,7935
7997,7959
8000,7956
8005,7960
7972,7963
7988,7975
8014,7976
7999,7965
7958,7963
7994,7949
7994,7975
7982,7953
8004,7960
8009,7934
8011,7944
7993,7966
7966,7966
8001,7957
7993,7949
7979,7968
7999,7951
7983,7943
7990,7958
7976,7963
8002,7952
7989,7947
8006,7959
8006,7970
8010,7968
7991,7945
7978,7959
7994,7952
7981,7972
8013,7966
7994,7973
7976,7969
7997,7957
7989,7957
7989,7981
7988,7962
8020,7964
8000,7943
8004,7968
7980,7975
7960,7985
8006,7947
7981,7990
8002,7962
7994,7952
8006,7974
7974,7960
7967,7958
8013,7958
7997,7978
8005,7964
7990,7948
8004,7966
8001,7961
7999,7957
7990,7961
7983,7970
8002,7952
7994,7970
8003,7975
7998,7966
7982,7957
8017,7959
8002,7961
7997,7966
7984,7962
8020,7975
8003,7951
8003,7955
8004,7968
8005,7955
7987,7953
7994,7966
8017,7963
7977,7954
7990,7955
7983,7964
7995,7979
8016,7983
7968,7940
7986,7947
7969,7938
8009,7946
7971,7959
7985,7961
7990,7968
7991,7973
8027,7969
7983,7952
7999,7961
7999,7951
8004,7970
8009,7965
7989,7965
7999,7955
7989,7948
7981,7964
8003,7982
8020,7960
7980,7947
7965,7963
7990,7950
7993,7959
8014,7968
7981,7941
7965,7945
7992,7951
7968,7950
7991,7962
8016,7975
7998,7958
7989,7958
7998,7951
8004,7959
7954,7965
8002,7968
7985,7951
8003,7953
7987,7945
8005,7957
7986,7960
7982,7945
8005,7948
7997,7957
8002,7951
7986,7962
8001,7957
7994,7930
8015,7969
7958,7945
8001,7972
7983,7974
7961,7971
8005,7949
7977,7982
7987,7968
7979,7946
8000,7949
7978,7970
7985,7952
7974,7954
7990,7980
8000,7939
7973,7949
8006,7958
7967,7971
7991,7984
8001,7944
7978,7956
7992,7962
7980,7968
8029,7964
8009,7952
7981,7944
7971,7982
7991,7964
8006,7973
7987,7961
8023,7973
7993,7970
7995,7947
7968,7938
7999,7960
7977,7958
7998,7930
7992,7944
7987,7952
8000,7970
8014,7933
8002,7956
7990,7971
7999,7962
8001,7961
8000,7974
8018,7965
8003,7958
8003,7967
8002,7973
7988,7971
7998,7958
7990,7971
8006,7962
7975,7957
8006,7954
8004,7949
7999,7953
7978,7971
8023,7958
7985,7936
7990,7963
8008,7952
7996,7959
7988,7970
7971,7963
7980,7941
7995,7980
7985,7970
8003,7965
8009,7974
7975,7947
7993,7960
8001,7979
7999,7947
7993,7956
7988,7981
8033,7958
7947,7945
7974,7967
7989,7956
8016,7950
7993,7968
7992,7979
7985,7968
7992,7991
8007,7960
7984,7956
8007,7977
7993,7975
7982,7958
7984,7949
8001,7951
7978,7947
