231101-14:21:22
2
torque,speed
7973,7954
7981,7950
7985,7957
8005,7933
7990,7975
7992,7981
7990,7955
7996,7947
7987,7956
7952,7957
7996,7953
7970,7943
8001,7959
7986,7945
7984,7961
7999,7958
7995,7931
8014,7936
7991,7943
7991,7944
7990,7974
7989,7928
7989,7955
7972,7954
8000,7943
7947,7944
7970,7949
7988,7938
7974,7944
7983,7970
7979,7966
7992,7947
7985,7960
7996,7974
7969,7952
7993,7974
7980,7943
7981,7937
7983,7945
7988,7958
7980,7961
7985,7963
7967,7942
7958,7945
7981,7939
7980,7967
7999,7943
7989,7950
7970,7943
7967,7971
7995,7962
7988,7934
7975,7943
7992,7949
7965,7943
7999,7956
8008,7954
7994,7946
7965,7937
7989,7964
7965,7983
7994,7959
8000,7954
7960,7960
7979,7948
7969,7964
7987,7928
7973,7932
7987,7937
7992,7956
7984,7947
8000,7974
7991,7956
7976,7943
7999,7927
7986,7951
7964,7945
7998,7966
8005,7959
7980,7951
7988,7953
7986,7949
7975,7952
7996,7954
7973,7951
7980,7942
7990,7953
7973,7950
7992,7929
7988,7953
7983,7942
7997,7952
7973,7960
7975,7967
7982,7949
7999,7971
8005,7963
7955,7942
7988,7967
7979,7951
7987,7944
7983,7927
7974,7970
8001,7957
7999,7947
7990,7950
7973,7942
8012,7958
7979,7940
7983,7944
7987,7928
7987,7933
7995,7939
7952,7955
7979,7946
7987,7974
7983,7952
7984,7952
7965,7945
7978,7969
7978,7946
7986,7968
7970,7976
7969,7951
8012,7960
7982,7936
7966,7958
7971,7958
8003,7933
7970,7959
7952,7946
7994,7962
7967,7961
8016,7937
7973,7969
8007,7954
7987,7944
7984,7954
7987,7924
7979,7961
7996,7957
7992,7957
8012,7940
7987,7951
7977,7923
8007,7940
8003,7953
7967,7960
7988,7952
8003,7947
7970,7969
7983,7939
7963,7961
7963,7947
7987,7941
7967,7952
7988,7981
7980,7934
7980,7965
7960,7948
7997,7965
7963,7967
7971,7962
7995,7963
7969,7963
7984,7939
8005,7954
8012,7934
7973,7918
7991,7947
7979,7962
7992,7958
7962,7953
7989,7944
7977,7954
7992,7957
7993,7938
7974,7963
7982,7962
7962,7948
8005,7957
7981,7960
8003,7953
7993,7952
7989,7946
7993,7954
7977,7958
7994,7955
7963,7957
7991,7954
7999,7941
7968,7943
7976,7962
7971,7922
7963,7932
7966,7935
7994,7936
7990,7954
7993,7956
8001,7946
7974,7926
7977,7966
8003,7953
7973,7948
7979,7962
7991,7944
7985,7944
7973,7943
7982,7940
7968,7963
7978,7962
7990,7962
7979,7959
7985,7942
7982,7964
7983,7943
7960,7953
7991,7939
8003,7940
7990,7945
7977,7976
7965,7963
7961,7945
7982,7962
7961,7945
7979,7955
7990,7959
8001,7939
7987,7951
7993,7952
7978,7933
7991,7943
7994,7947
7961,7944
7998,7946
7974,7949
7969,7947
7978,7930
7975,7944
7985,7959
7982,7943
8004,7943
7978,7947
7967,7953
7998,7948
7934,7954
7985,7953
7999,7944
7988,7969
7990,7942
7987,7945
7986,7954
7964,7960
7988,7947
7972,7951
7992,7940
7989,7962
7979,7932
7993,7947
7989,7963
7991,7963
7980,7958
7997,7934
7974,7940
7974,7955
7981,7974
7989,7939
8001,7943
7987,7949
7946,7963
7990,7945
7977,7955
7977,7951
7983,7948
7979,7941
7987,7943
7966,7958
8010,7942
7986,7947
7990,7950
7984,7949
7985,7950
7988,7957
7983,7949
7948,7947
7984,7962
7976,7973
7978,7933
7982,7957
7978,7959
7987,7965
7993,7963
7972,7950
7993,7968
7984,7938
7991,7932
7992,7932
7985,7963
7988,7959
7956,7960
8010,7968
7987,7979
7990,7937
8006,7955
7996,7962
7996,7952
7999,7954
7998,7966
7990,7945
7974,7933
7978,7961
7978,7957
8001,7961
7982,7946
7991,7949
8003,7948
7982,7948
7955,7962
7987,7957
8001,7944
7972,7962
7986,7951
7966,7974
7986,7939
7990,7959
7982,7967
7982,7956
7982,7950
7992,7974
7978,7963
7993,7966
7979,7965
7988,7958
7992,7962
7989,7962
7990,7955
7993,7953
7998,7952
8005,7938
7959,7965
7992,7956
7973,7969
7970,7948
7981,7944
7959,7937
8001,7949
7981,7946
8006,7971
7989,7951
7988,7969
7976,7944
7977,7944
7973,7944
7997,7977
7999,7951
7993,7952
7966,7947
7970,7967
7977,7938
7969,7957
7981,7930
7996,7958
7979,7952
7985,7953
7995,7937
7970,7958
7998,7948
7982,7944
8015,7963
7989,7956
7988,7961
7980,7963
7965,7954
7993,7977
7964,7948
7997,7945
7972,7957
7941,7952
7982,7952
7959,7956
8001,7967
7978,7952
7982,7951
7973,7934
8006,7947
7968,7950
7952,7955
8004,7961
7950,7955
7980,7970
7978,7945
7993,7967
7962,7964
7999,7965
7974,7948
7989,7944
7986,7948
7997,7959
7963,7958
7986,7940
7961,7944
8024,7962
7991,7937
7976,7962
7961,7946
7980,7947
7983,7960
7964,7957
7986,7940
7975,7960
7976,7950
7986,7967
7990,7943
7988,7971
7988,7967
7999,7970
7987,7945
8007,7973
7981,7959
7963,7940
7997,7948
7963,7947
7976,7964
7974,7951
7991,7933
8001,7939
7992,7964
7977,7959
7978,7919
7978,7960
7982,7962
7999,7933
7978,7957
8002,7946
7990,7943
8001,7958
7991,7966
7989,7959
8007,7956
8002,7954
7977,7959
8002,7950
7990,7939
7968,7963
7985,7939
7980,7926
7999,7963
7982,7958
7979,7951
7966,7954
8003,7956
7982,7940
7954,7967
7995,7955
7988,7951
7965,7954
7947,7971
7978,7965
7980,7968
7976,7939
7976,7942
7970,7975
7995,7943
7950,7950
7984,7956
7982,7962
7982,7950
7983,7934
8008,7958
7980,7944
7985,7947
7972,7957
7997,7965
7967,7954
7998,7952
7993,7947
7982,7950
7953,7962
7994,7954
7961,7958
7984,7944
8005,7954
7991,7955
8020,7945
7966,7962
7980,7960
7978,7947
7993,7946
7980,7957
7964,7959
7986,7944
7977,7949
7976,7954
7980,7942
7967,7960
7980,7956
7971,7956
7998,7942
7995,7938
7985,7945
7974,7949
7992,7945
7944,7940
7987,7965
7985,7952
7985,7952
7971,7949
8001,7961
7977,7957
8011,7960
8000,7946
7987,7947
8006,7960
7989,7948
8001,7965
7963,7946
7986,7960
7976,7962
7994,7949
8003,7963
7942,7958
7982,7960
7969,7926
7979,7944
7976,7951
8012,7953
7965,7936
7971,7940
7988,7965
7963,7947
7997,7948
7993,7922
7993,7945
7999,7959
7971,7934
7997,7952
7986,7950
7985,7955
7971,7955
7991,7971
7962,7960
7968,7942
8000,7942
7985,7934
7962,7963
7975,7955
7992,7943
8004,7933
7983,7955
8002,7952
7962,7933
7989,7952
7972,7963
7968,7928
8003,7960
7958,7947
7994,7943
7989,7938
7982,7953
7999,7948
7983,7957
8005,7973
7982,7959
7993,7948
8015,7945
7981,7940
7993,7944
7972,7941
7977,7929
7962,7967
7981,7960
7986,7945
7959,7962
7962,7970
7980,7953
8009,7948
7986,7947
7970,7968
7992,7955
7948,7941
7987,7962
7984,7957
8007,7961
7955,7941
7962,7952
7989,7958
7986,7956
7977,7958
7990,7952
7984,7960
7990,7945
7996,7932
7977,7961
7990,7946
7994,7955
7953,7953
7997,7957
8001,7958
8001,7933
7989,7938
7968,7934
7959,7946
8012,7936
8001,7942
7987,7946
7986,7960
7968,7951
7974,7933
7991,7938
7974,7952
7990,7967
8001,7956
7985,7946
7989,7951
7962,7962
7986,7961
7988,7938
8017,7956
7989,7962
7930,7926
7983,7949
7969,7948
7985,7948
