230901-14:41:26
2
torque,speed
7950,7948
7940,7930
7958,7934
7924,7946
7913,7928
7929,7953
7926,7938
7917,7928
7927,7938
7900,7955
7966,7945
7932,7945
7919,7969
7953,7960
7944,7937
7943,7960
7942,7958
7950,7953
7935,7952
7933,7935
7912,7955
7941,7932
7907,7947
7936,7959
7932,7950
7941,7953
7922,7958
7913,7933
7929,7962
7943,7950
7948,7957
7926,7961
7932,7932
7909,7959
7926,7938
7942,7961
7937,7944
7938,7956
7938,7925
7931,7945
7933,7917
7939,7958
7948,7937
7942,7966
7964,7955
7929,7942
7952,7911
7935,7937
7933,7928
7969,7944
7926,7915
7934,7937
7944,7936
7934,7938
7927,7923
7948,7941
7949,7956
7939,7970
7925,7956
7908,7962
7943,7936
7894,7941
7931,7930
7938,7929
7922,7927
7952,7953
7930,7975
7954,7936
7933,7929
7923,7955
7950,7934
7948,7941
7906,7927
7941,7942
7929,7944
7928,7952
7931,7929
7929,7946
7946,7952
7936,7965
7948,7968
7934,7959
7948,7925
7937,7934
7920,7920
7938,7945
7952,7930
7945,7956
7928,7931
7937,7943
7920,7956
7922,7946
7945,7937
7938,7932
7943,7925
7943,7928
7933,7951
7948,7943
7933,7938
7960,7936
7921,7936
7950,7935
7935,7964
7943,7935
7927,7929
7936,7970
7909,7963
7948,7964
7952,7944
7948,7931
7934,7968
7906,7937
7935,7902
7940,7945
7911,7948
7957,7936
7938,7934
7955,7921
7925,7957
7916,7930
7952,7981
7920,7928
7920,7932
7943,7933
7923,7951
7950,7958
7925,7954
7940,7949
7942,7944
7934,7957
7921,7932
7935,7954
7902,7933
7940,7982
7927,7928
7953,7941
7941,7935
7951,7926
7932,7929
7947,7958
7896,7943
7923,7924
7935,7939
7959,7964
7931,7966
7927,7927
7933,7952
7942,7943
7940,7946
7938,7915
7940,7955
7938,7929
7915,7952
7921,7948
7926,7924
7939,7959
7926,7949
7913,7930
7942,7952
7933,7970
7950,7963
7926,7917
7935,7940
7929,7914
7927,7930
7944,7945
7892,7959
7942,7953
7915,7916
7946,7951
7929,7936
7912,7955
7929,7956
7958,7935
7924,7938
7933,7957
7913,7958
7942,7933
7959,7965
7928,7928
7934,7949
7942,7929
7924,7947
7940,7935
7955,7944
7943,7946
7932,7921
7945,7938
7937,7935
7949,7956
7928,7932
7948,7944
7947,7933
7934,7937
7934,7955
7935,7913
7927,7953
7945,7925
7933,7942
7932,7959
7931,7927
7951,7933
7910,7938
7940,7920
7922,7947
7941,7940
7925,7964
7928,7919
7913,7937
7937,7954
7930,7958
7946,7940
7941,7955
7919,7948
7933,7945
7946,7948
7936,7944
7935,7957
7939,7947
7951,7933
7939,7940
7961,7930
7939,7941
7944,7925
7920,7942
7933,7936
7927,7927
7953,7933
7944,7959
7893,7954
7946,7955
7948,7942
7918,7913
7928,7956
7952,7933
7961,7948
7926,7930
7905,7962
7930,7942
7958,7947
7922,7929
7930,7969
7923,7959
7919,7921
7938,7963
7953,7942
7934,7944
7910,7941
7949,7930
7920,7936
7941,7912
7936,7933
7925,7944
7942,7955
7935,7938
7923,7957
7934,7952
7941,7945
7939,7947
7938,7945
7923,7946
7934,7936
7938,7957
7946,7962
7939,7955
7939,7937
7949,7939
7928,7927
7960,7924
7938,7933
7931,7940
7919,7929
7953,7976
7933,7945
7943,7932
7918,7955
7943,7916
7936,7946
7930,7972
7926,7926
7939,7947
7895,7967
7954,7922
7921,7935
7933,7943
7934,7933
7935,7929
7950,7946
7959,7945
7937,7942
7948,7954
7915,7961
7939,7947
7915,7929
7915,7944
7948,7952
7906,7935
7934,7943
7944,7942
7900,7932
7928,7954
7934,7934
7936,7958
7941,7943
7908,7970
7929,7940
7954,7921
7905,7938
7942,7949
7913,7930
7939,7953
7950,7941
7907,7953
7925,7937
7969,7925
7940,7945
7929,7943
7898,7946
7918,7950
7929,7946
7926,7927
7944,7942
7940,7954
7932,7925
7930,7952
7933,7960
7936,7946
7932,7949
7940,7937
7954,7943
7941,7943
7939,7943
7901,7950
7931,7952
7931,7960
7943,7944
7952,7951
7937,7933
7914,7949
7938,7933
7960,7937
7940,7953
7938,7958
7959,7946
7966,7952
7935,7932
7935,7937
7937,7940
7918,7948
7933,7919
7961,7944
7934,7944
7959,7952
7935,7945
7945,7929
7954,7940
7942,7958
7931,7909
7946,7932
7948,7927
7939,7931
7930,7951
7932,7913
7949,7941
7929,7958
7931,7949
7940,7966
7943,7938
7941,7967
7935,7930
7952,7957
7967,7940
7921,7942
7932,7940
7902,7956
7937,7960
7933,7960
7966,7952
7947,7937
7938,7963
7943,7955
7942,7965
7941,7958
7936,7937
7920,7926
7920,7931
7933,7950
7934,7967
7939,7906
7948,7942
7951,7950
7957,7952
7931,7929
7937,7913
7953,7928
7918,7944
7935,7937
7969,7929
7916,7951
7946,7927
7925,7956
