230901-14:51:44
2
torque,speed
7994,7956
7996,7904
8039,7948
8034,7963
7985,7970
8035,7927
8009,7946
8023,7913
8018,7942
8025,7965
8037,7912
8010,7953
8006,7926
8038,7948
8057,7984
8027,7940
8011,7927
8037,7943
8013,7934
8021,7924
8000,7939
8030,7931
7995,7904
8030,7951
8006,7931
8027,7941
8033,7934
8023,7955
8043,7928
8011,7937
8033,7963
7991,7938
8015,7950
7993,7946
8034,7933
8039,7929
8017,7928
7998,7947
8012,7945
8009,7906
8015,7917
7982,7943
8029,7937
8020,7915
8010,7950
7996,7962
8022,7953
8023,7915
8012,7932
8002,7952
8011,7947
8010,7950
8021,7931
8008,7936
8028,7958
8025,7925
7979,7911
8025,7935
8026,7934
7985,7920
8026,7928
8032,7924
8014,7942
7997,7934
8025,7953
8006,7936
8024,7934
8003,7920
8030,7939
8013,7940
8035,7913
8012,7930
8027,7974
8021,7939
8008,7930
8034,7959
8022,7928
8038,7943
8016,7924
7992,7934
8044,7961
8014,7943
7999,7932
8021,7955
8013,7912
8001,7918
8028,7924
8018,7932
8030,7942
7996,7927
8016,7981
8008,7945
8014,7934
8030,7934
8042,7959
7995,7955
8009,7952
8015,7966
8029,7934
8016,7917
7990,7925
8009,7904
8016,7968
8031,7942
8008,7924
8019,7935
8023,7941
8011,7924
7989,7920
8017,7935
8052,7928
8029,7958
8015,7927
8026,7934
8034,7942
8016,7952
8027,7948
8047,7952
8014,7958
7997,7944
8010,7924
8031,7944
8003,7970
8025,7932
8017,7956
8032,7943
8013,7957
8017,7901
8018,7945
8045,7967
8011,7914
8036,7939
8027,7950
8026,7938
8016,7911
8012,7910
8024,7918
8027,7920
8009,7934
8033,7930
8020,7949
7999,7925
8000,7949
8025,7946
8027,7941
8025,7949
8008,7957
8018,7923
8010,7938
8023,7937
8018,7950
8025,7947
8019,7938
8016,7924
8026,7940
8012,7952
8010,7926
8031,7924
8026,7925
8000,7929
8002,7923
8012,7935
8035,7942
8019,7938
8028,7940
8022,7943
8015,7931
8014,7947
8014,7920
7988,7956
8007,7925
8000,7925
8014,7955
8022,7926
8019,7935
8017,7943
8023,7943
8013,7920
8028,7947
8007,7936
8002,7938
8023,7933
8042,7934
8018,7910
8027,7928
8002,7942
8015,7932
8006,7938
7998,7931
8010,7938
8021,7930
8001,7926
8027,7922
8012,7927
8010,7955
8021,7938
8035,7941
8020,7951
8035,7949
8013,7923
8024,7929
8038,7962
8000,7923
8033,7940
8025,7922
7999,7964
8017,7936
8018,7946
8031,7965
8020,7953
8004,7956
8038,7917
8030,7966
8021,7948
8021,7921
8031,7932
8007,7938
8014,7954
8024,7937
7994,7912
8030,7934
8025,7938
8030,7931
8044,7939
8022,7926
8011,7934
8014,7932
8011,7928
8021,7935
8029,7938
8034,7930
8002,7944
8008,7942
8012,7941
8014,7954
8008,7923
8017,7938
8017,7947
8026,7927
8025,7909
8016,7943
8032,7937
8015,7928
8014,7943
8006,7940
8007,7937
7996,7941
8003,7923
8013,7928
8015,7930
8016,7936
8026,7942
8064,7949
8023,7957
8025,7957
8018,7933
8044,7915
8017,7924
7989,7950
8010,7945
8009,7927
8037,7928
8004,7936
8022,7910
8006,7941
8004,7923
8010,7920
8047,7960
8014,7959
8026,7934
8003,7924
8015,7943
8020,7937
8009,7925
8019,7967
8030,7942
8033,7924
8036,7976
8046,7952
8036,7944
8006,7947
8034,7925
8008,7934
8030,7939
7994,7958
8016,7936
8020,7925
8030,7935
8011,7934
8039,7924
8032,7944
