230901-14:56:52
2
torque,speed
7976,7925
7979,7925
7984,7953
7993,7936
7993,7950
7989,7935
7981,7931
7997,7938
7990,7919
7982,7912
7998,7944
8015,7952
7993,7935
7988,7919
7991,7940
7977,7961
7971,7939
7992,7931
7993,7910
7972,7923
8004,7956
7982,7949
7980,7946
7977,7951
7975,7944
7996,7928
8001,7919
7972,7961
7980,7933
7970,7946
7997,7912
7978,7957
8010,7961
8005,7914
8003,7931
7992,7961
7989,7942
8010,7978
8010,7934
7986,7926
8009,7929
8006,7937
7976,7925
7997,7944
8002,7950
7990,7939
7996,7945
8000,7932
8024,7955
7991,7926
7999,7928
7988,7932
8002,7936
7974,7924
7982,7939
8002,7957
7980,7917
7955,7944
7963,7944
7992,7962
7996,7932
7992,7938
7985,7912
7985,7922
8006,7936
8010,7925
7998,7939
7994,7929
8011,7910
7993,7934
7965,7963
7994,7917
7990,7919
7995,7930
7994,7938
7998,7939
7982,7941
7997,7956
8005,7950
7974,7952
7983,7906
7994,7951
7987,7943
7981,7946
7977,7899
8005,7958
8012,7926
7982,7982
7996,7961
7979,7930
7982,7962
7975,7960
7983,7931
7985,7936
7989,7922
7982,7941
7980,7899
8001,7942
7952,7950
8017,7948
7997,7914
7978,7916
7980,7915
8003,7916
8000,7964
7985,7923
7987,7930
7991,7919
7995,7937
7960,7956
7997,7932
7985,7953
7993,7950
7987,7935
7988,7932
7977,7933
8019,7949
7967,7940
7990,7930
7998,7949
7962,7931
7978,7931
8020,7939
7973,7955
8009,7923
7986,7956
7992,7936
8014,7933
7984,7923
7956,7969
7998,7920
7981,7943
7965,7907
7987,7934
7975,7904
7966,7955
8001,7966
7968,7928
7964,7923
7982,7907
8010,7942
8001,7931
7985,7947
7969,7954
8008,7939
7958,7946
7994,7906
7997,7947
7979,7947
7982,7909
8004,7947
7987,7932
7992,7957
7961,7927
7976,7927
7979,7936
8011,7948
7974,7956
7987,7946
7996,7928
8007,7936
7967,7911
7996,7938
7989,7930
7979,7913
7985,7945
8001,7948
7993,7916
7977,7948
7987,7918
8003,7959
7976,7952
7985,7939
7987,7925
7997,7940
7976,7927
7970,7920
7980,7936
7993,7945
7984,7945
8025,7967
7978,7936
7983,7953
7989,7912
7991,7940
7994,7914
7987,7934
7997,7919
7982,7941
8006,7904
8005,7928
7975,7926
7974,7973
7988,7976
7983,7945
7996,7955
7960,7933
7974,7912
7991,7940
7980,7947
8000,7919
7991,7927
7946,7968
8005,7950
7996,7919
8005,7941
7977,7935
8018,7951
7989,7928
7994,7917
7980,7917
8001,7941
7961,7946
8007,7947
7995,7945
8027,7944
7978,7947
7944,7972
7984,7928
7974,7921
7990,7936
7994,7913
7988,7927
7984,7962
7953,7901
7985,7960
7993,7945
7989,7943
7990,7934
7988,7952
7986,7943
7984,7936
8011,7948
8007,7911
8000,7921
7985,7932
7997,7941
7996,7938
8015,7923
7989,7913
8023,7933
7998,7928
7943,7977
7977,7941
7986,7922
7977,7938
8005,7938
7972,7965
7999,7936
7978,7942
7956,7935
7974,7929
7964,7932
7948,7956
7987,7937
7992,7925
7979,7974
7975,7919
7957,7960
8012,7940
7991,7949
7989,7945
7978,7918
7994,7933
8013,7920
7993,7957
8002,7954
7996,7930
7950,7934
7988,7912
7967,7937
7998,7959
8006,7956
8019,7952
7990,7957
7995,7946
7991,7935
7995,7948
7979,7948
7978,7949
7988,7948
7997,7944
7993,7948
7953,7943
8002,7969
8004,7942
7979,7939
7989,7929
7999,7945
8015,7948
7967,7932
7996,7935
8003,7935
8015,7927
7974,7929
7995,7925
7972,7910
7989,7940
7968,7941
7992,7950
7989,7915
7998,7918
7992,7920
7996,7957
7989,7946
7988,7907
7981,7927
8027,7933
7978,7920
7980,7925
7976,7917
7997,7944
7964,7932
7980,7951
7979,7931
7990,7931
7983,7960
7946,7916
7971,7923
7981,7934
7988,7950
7984,7948
7984,7939
8002,7916
7974,7921
7983,7941
8002,7943
7988,7952
7979,7934
7999,7928
7980,7909
8001,7917
7972,7943
7989,7935
7990,7919
7971,7924
7978,7938
7992,7932
7986,7942
8000,7951
8010,7932
8010,7949
7968,7970
7973,7921
7985,7920
7999,7944
8005,7932
7998,7943
8016,7920
7987,7951
7971,7933
7992,7944
7989,7950
7981,7944
7979,7936
8000,7930
7986,7945
7988,7948
8002,7932
7998,7933
8024,7933
7991,7943
7999,7938
8010,7940
7998,7952
7993,7940
7990,7944
8004,7929
7958,7916
7969,7939
7996,7940
7960,7934
7996,7940
7981,7943
7996,7938
7969,7965
7975,7942
7996,7916
7959,7936
7965,7924
7997,7935
8001,7933
7995,7943
7985,7938
7927,7934
7998,7945
7997,7926
7974,7955
7975,7930
8001,7943
7986,7955
7979,7930
7980,7926
8005,7943
7978,7928
7994,7927
7992,7941
8025,7921
7994,7943
8005,7933
8029,7925
8001,7919
7969,7960
7990,7937
7964,7962
8019,7952
7986,7944
7994,7921
7992,7958
7999,7935
