230830-13:41:08
2
torque,speed
7975,7974
7978,7922
8000,7945
8003,7915
7995,7959
7984,7933
8006,7929
7962,7931
7968,7949
7976,7937
7989,7950
7994,7952
7966,7939
7978,7943
7985,7943
8005,7968
7995,7933
7989,7914
7972,7947
7979,7955
7977,7940
7974,7936
7973,7929
7989,7933
7967,7953
7994,7927
8001,7963
7978,7940
8006,7966
8007,7961
8009,7948
8002,7947
8011,7945
8017,7948
7994,7945
8033,7926
8008,7940
7966,7950
7973,7951
7997,7954
8022,7953
8000,7902
8000,7950
7999,7922
8013,7940
7985,7961
7993,7940
7987,7967
8006,7935
7995,7936
7993,7967
7992,7944
7965,7911
7967,7911
7974,7949
8005,7939
7974,7956
7998,7912
7992,7954
8007,7946
7972,7936
7993,7964
8000,7931
7996,7953
7973,7950
7995,7931
7971,7973
7999,7929
8005,7944
8010,7949
7996,7935
7989,7939
7978,7969
7987,7924
7964,7940
7998,7916
7990,7940
8011,7924
7987,7946
7990,7921
7983,7920
8004,7970
7988,7923
7977,7950
8002,7952
7995,7950
7978,7951
7969,7936
7983,7938
7995,7954
7982,7953
7982,7919
7994,7957
7992,7950
7968,7941
8006,7947
8009,7922
8019,7965
7996,7942
8006,7972
7971,7940
7992,7945
7991,7946
7975,7916
7980,7934
7980,7915
8005,7929
8009,7933
8009,7939
7995,7974
7985,7941
8012,7948
8014,7962
7976,7956
7987,7934
7986,7927
8004,7896
7989,7970
7983,7940
7967,7941
7988,7959
8016,7957
7995,7936
7978,7928
7983,7930
8006,7935
8016,7955
7974,7936
7987,7944
7989,7976
8010,7939
7945,7918
8002,7930
8000,7947
8008,7943
7990,7938
8004,7933
7995,7939
7945,7914
7980,7945
7997,7932
7974,7975
7995,7936
7987,7935
8001,7948
8004,7955
7988,7926
7991,7960
7996,7937
7971,7932
8000,7943
7982,7924
7976,7931
7984,7933
7914,7938
7988,7935
8000,7944
8015,7943
7997,7956
7984,7954
8008,7947
7980,7936
7975,7934
7981,7953
7998,7961
7985,7950
8015,7952
7970,7946
8024,7942
7962,7930
8005,7931
8009,7955
7959,7944
7994,7938
8015,7947
7988,7946
8012,7939
7985,7926
8014,7953
7990,7949
7996,7913
8003,7967
8024,7933
8018,7952
7992,7936
7964,7924
7999,7944
7973,7943
7995,7928
8002,7953
