230830-13:39:38
2
torque,speed
7191,7140
7324,7148
7429,7144
7387,7148
7454,7143
7410,7176
7404,7175
7384,7169
7349,7200
7553,7192
7411,7201
7435,7207
7400,7238
7428,7216
7433,7238
7494,7239
7530,7268
7438,7249
7541,7261
7467,7282
7561,7267
7489,7263
7517,7287
7494,7296
7551,7300
7470,7312
7544,7318
7529,7332
7492,7338
7615,7379
7475,7369
7557,7371
7565,7386
7601,7392
7628,7383
7519,7385
7563,7406
7569,7410
7670,7441
7653,7425
7528,7450
7658,7435
7633,7453
7685,7456
7747,7460
7660,7487
7618,7490
7722,7497
7639,7490
7725,7509
7716,7506
7568,7530
7636,7542
7747,7546
7616,7549
7595,7568
7671,7548
7787,7585
7699,7603
7734,7591
7792,7585
7745,7611
7776,7623
7755,7629
7840,7647
7692,7615
7731,7648
7794,7631
7862,7662
7779,7663
7750,7678
7734,7711
7791,7668
7877,7704
7876,7722
7827,7709
7736,7760
7800,7746
7785,7748
7823,7743
7878,7759
7790,7782
7794,7759
7759,7763
7764,7782
7797,7791
7877,7810
7926,7803
7891,7841
7885,7805
7894,7827
7903,7842
7933,7822
7845,7863
7835,7889
7824,7899
7846,7870
7834,7907
7894,7914
7902,7894
7858,7927
7835,7928
7853,7949
7840,7917
7834,7900
7836,7950
7750,7933
7779,7919
7780,7899
7736,7926
7754,7949
7763,7940
7772,7976
7787,7939
7759,7947
7695,7940
7709,7931
7751,7931
7773,7939
7758,7917
7808,7920
7779,7905
7777,7939
7759,7920
7780,7942
7780,7915
7761,7950
7750,7945
7787,7931
7786,7929
7771,7920
7794,7967
7779,7919
7761,7939
7776,7945
7792,7945
7762,7957
7774,7920
7769,7953
7784,7950
7745,7916
7783,7936
7763,7943
7805,7917
7784,7957
7776,7953
7802,7926
7748,7922
7779,7945
7744,7934
7792,7925
7815,7909
7781,7915
7787,7938
7784,7954
7762,7948
7784,7936
7785,7950
7803,7924
7799,7938
7789,7959
7780,7952
7788,7963
7800,7923
7778,7928
7798,7954
7792,7924
7841,7952
7801,7924
7795,7925
7790,7918
7811,7931
7808,7945
7783,7940
7802,7921
7808,7960
7810,7960
7783,7965
7810,7927
7775,7925
7756,7964
7808,7935
7796,7985
7810,7927
7817,7958
7819,7928
7787,7928
7808,7958
7811,7908
7798,7943
7796,7926
7802,7924
7789,7957
7801,7913
7795,7962
7821,7950
7810,7934
7779,7931
7788,7950
7800,7914
7810,7954
7798,7952
7795,7950
7786,7965
7793,7926
7811,7925
7808,7931
7834,7928
7798,7960
7838,7921
7820,7956
7813,7893
7808,7941
7795,7930
7794,7934
7800,7966
7835,7940
7835,8001
7795,7942
7828,7960
7822,7948
7810,7903
7819,7950
7812,7954
7795,7933
7804,7939
7813,7953
7830,7913
7822,7951
7800,7960
7832,7940
7834,7925
7833,7936
7812,7933
7840,7923
7828,7948
7832,7952
7842,7921
7779,7948
7840,7959
7808,7943
7811,7933
7815,7956
7840,7956
7806,7961
7810,7963
7804,7931
7820,7961
7810,7949
7836,7933
7808,7962
7823,7966
7834,7956
7868,7945
7788,7971
7831,7953
7822,7945
7819,7922
7762,7953
7834,7918
7856,7957
7846,7930
7869,7936
7819,7962
7818,7940
7856,7916
7834,7974
7810,7917
7826,7922
7838,7920
7835,7912
7809,7954
7842,7957
7834,7927
7859,7959
7849,7957
7792,7940
7858,7926
7826,7941
7846,7922
7806,7930
7827,7956
7825,7912
7830,7950
7782,7945
7856,7969
7841,7943
7812,7921
7852,7950
7829,7935
7801,7949
7829,7946
7846,7915
7839,7928
7812,7962
7844,7923
7847,7956
7828,7964
7823,7937
7831,7952
7832,7930
7849,7950
7819,7947
7832,7952
7859,7976
7810,7917
7841,7934
7836,7930
7822,7946
7831,7953
7825,7953
7836,7941
7826,7922
7838,7942
7839,7946
7846,7964
7801,7925
7808,7936
7797,7916
7868,7931
7829,7950
7844,7943
7821,7941
7817,7936
7853,7934
7788,7966
7844,7929
7838,7938
7844,7945
7879,7981
7852,7938
7818,7964
7853,7933
7844,7936
7859,7945
7824,7938
7843,7953
7855,7923
7784,7948
7832,7968
7831,7949
7809,7936
7845,7965
7834,7935
7808,7937
7828,7938
7831,7978
7819,7945
7838,7949
7820,7930
7847,7951
7903,7946
8015,7944
8106,7939
8162,7969
8280,7921
8303,7960
8344,7975
8325,7985
8292,8022
8304,8007
8323,8015
8312,8015
8283,8005
8342,8028
8348,8041
8368,8048
8405,8050
8400,8048
8451,8068
8479,8063
8455,8102
8442,8079
8422,8084
8327,8126
8422,8110
8396,8103
8454,8143
8494,8138
8531,8123
8372,8151
8390,8159
8408,8166
8448,8161
8535,8179
8533,8174
8511,8195
8431,8223
8531,8198
8557,8226
8594,8234
8501,8201
8469,8248
8503,8259
8618,8273
8527,8263
8563,8273
8555,8279
8650,8289
8513,8299
8502,8311
8589,8316
8605,8310
8522,8326
8583,8336
8623,8367
8548,8363
8537,8366
